,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,35.0,35.1252,34.6252,35.0,1.4127,2059200
1,1984-11-06,35.5,35.6252,35.1252,35.5,1.4328,1794000
2,1984-11-07,35.3752,35.6252,35.1252,35.3752,1.4278,1590000
3,1984-11-08,35.1252,35.5,35.0,35.1252,1.4177,3225600
4,1984-11-09,34.25,35.5,34.25,34.25,1.3824,2233200
5,1984-11-12,34.1252,34.3752,34.0,34.1252,1.3773,498000
6,1984-11-13,32.8752,34.0,32.25,32.8752,1.3269,3646800
7,1984-11-14,32.6252,33.0,32.25,32.6252,1.3242,3087600
8,1984-11-15,33.1252,33.1252,32.3752,33.1252,1.3445,2415600
9,1984-11-16,32.75,33.75,32.75,32.75,1.3293,2006400
10,1984-11-19,32.25,33.0,32.25,32.25,1.309,1141200
11,1984-11-20,32.3752,32.8752,32.25,32.3752,1.3141,1848000
12,1984-11-21,32.25,32.75,32.1252,32.25,1.309,1026000
13,1984-11-23,34.1252,34.1252,32.5,34.1252,1.3851,2838000
14,1984-11-26,34.25,35.0,34.1252,34.25,1.3902,1819200
15,1984-11-27,34.3752,34.6252,34.1252,34.3752,1.3953,2559600
16,1984-11-28,33.25,34.0,33.0,33.25,1.3496,2392800
17,1984-11-29,32.8752,33.3752,32.8752,32.8752,1.3344,1340400
18,1984-11-30,33.1252,33.3752,32.75,33.1252,1.3445,829200
19,1984-12-03,32.5,33.25,32.5,32.5,1.3192,1455600
20,1984-12-04,32.5,32.8752,32.3752,32.5,1.3192,2097600
21,1984-12-05,31.6252,32.6252,31.6252,31.6252,1.2837,1844400
22,1984-12-06,32.25,32.5,31.6252,32.25,1.309,3892800
23,1984-12-07,32.5,33.0,32.1252,32.5,1.3192,1604400
24,1984-12-10,32.75,33.0,32.25,32.75,1.3293,716400
25,1984-12-11,32.5,32.8752,32.25,32.5,1.3192,2211600
26,1984-12-12,31.75,32.75,31.5,31.75,1.2887,3010800
27,1984-12-13,32.1252,32.1252,31.5,32.1252,1.304,1944000
28,1984-12-14,32.0,32.5,31.8752,32.0,1.2989,3699600
29,1984-12-17,32.75,32.75,31.75,32.75,1.3293,1836000
30,1984-12-18,32.75,33.25,32.3752,32.75,1.3293,3423600
