Date,Open,High,Low,Close,Adjusted_close,Volume
1987-05-05,23,23.126,23,23,1.2457,1141900
1987-05-06,23,23.126,22.875,23,1.2457,716800
1987-05-07,22.5,22.875,22.125,22.5,1.2186,154400
1987-05-08,22.001,22.5,21.626,22.001,1.1916,122100
1987-05-11,21.75,22.625,21.75,21.75,1.1775,71100
1987-05-12,21.251,22.001,21.125,21.251,1.1512,57000
1987-05-13,22.125,22.376,21.251,22.125,1.1977,61600
1987-05-14,22.875,23,22.125,22.875,1.2386,157200
1987-05-15,22.5,22.875,22.376,22.5,1.2186,42500
1987-05-18,21,22.376,21,21,1.1372,28300
1987-05-19,21.5,22.001,20.75,21.5,1.1643,20600
1987-05-20,21.875,21.875,20.876,21.875,1.1844,35200
1987-05-21,22.001,22.001,21.875,22.001,1.1916,11800
1987-05-22,21.875,22.376,21.875,21.875,1.1844,19000
1987-05-26,21.875,22.001,21.5,21.875,1.1844,6500
1987-05-27,22.125,22.25,21.875,22.125,1.1977,22200
1987-05-28,22.001,22.125,21.875,22.001,1.1916,5000
1987-05-29,21.75,22.25,21.75,21.75,1.1775,18400
1987-06-01,21.375,21.875,21.375,21.375,1.1573,7700
1987-06-02,21.626,22.001,21.125,21.626,1.1713,20500
1987-06-03,22.25,22.25,22.001,22.25,1.2052,11100
1987-06-04,22.376,22.5,22.001,22.376,1.212,34000
1987-06-05,22.751,22.751,22.376,22.751,1.2316,4800
1987-06-08,22.625,22.875,22.625,22.625,1.2252,6200
1987-06-09,22.751,22.751,22.625,22.751,1.2316,5400
1987-06-10,23,23,22.875,23,1.2457,37800
1987-06-11,22.875,22.875,22.875,22.875,1.2386,12600
1987-06-12,22.875,23,22.751,22.875,1.2386,13700
1987-06-15,22.875,22.875,22.625,22.875,1.2386,8900
1987-06-16,22.751,23,22.5,22.751,1.2316,18200
1987-06-17,22.5,22.751,22.5,22.5,1.2186,11600
1987-06-18,22.875,22.875,22.25,22.875,1.2386,13900
1987-06-19,22.875,22.875,22.751,22.875,1.2386,4900
1987-06-22,23,23,22.5,23,1.2457,16300
1987-06-23,23.25,23.625,22.875,23.25,1.2591,30100
1987-06-24,22.875,23.25,22.751,22.875,1.2386,3100
1987-06-25,22.875,23,22.875,22.875,1.2386,1100
1987-06-26,22.751,23.126,22.751,22.751,1.2316,11100
1987-06-29,23.126,23.126,22.751,23.126,1.2527,13600
1987-06-30,23.25,23.375,23,23.25,1.2591,31300
1987-07-01,23.625,23.75,23.25,23.625,1.2795,22400
1987-07-02,23.126,23.501,23.126,23.126,1.2527,2900
1987-07-06,23.375,23.501,23.126,23.375,1.266,14100
1987-07-07,23.375,23.375,23,23.375,1.266,15300
1987-07-08,23.126,23.375,23.126,23.126,1.2527,27600
1987-07-09,23.126,23.25,23.126,23.126,1.2527,6200
1987-07-10,23.375,23.501,23.126,23.375,1.266,26400
1987-07-13,23.501,23.625,23.375,23.501,1.2724,18400
1987-07-14,23.501,23.501,23.126,23.501,1.2724,14400
1987-07-15,23.375,23.501,23.25,23.375,1.266,18600
1987-07-16,25.625,25.751,23.625,25.625,1.3879,144700
1987-07-17,26,26.501,25.5,26,1.4074,147400
1987-07-20,26.75,27.5,25.001,26.75,1.4488,100400
1987-07-21,26.75,27.251,26.501,26.75,1.4488,50400
1987-07-22,26.75,27.5,26.375,26.75,1.4488,31400
1987-07-23,26.75,27.125,26.501,26.75,1.4488,12300
1987-07-24,27.5,27.5,26.25,27.5,1.4892,50400
1987-07-27,27.125,27.375,27,27.125,1.4694,66900
1987-07-28,29.25,29.25,26.75,29.25,1.5849,152000
1987-07-29,29,29.126,28.5,29,1.5701,34100
1987-07-30,28.751,29,28.5,28.751,1.5568,17900
1987-07-31,29.25,29.25,28.625,29.25,1.5849,88200
1987-08-03,30,30.5,29.126,30,1.625,86500
1987-08-04,30.75,31.376,30.251,30.75,1.6646,119700
1987-08-05,30.375,30.75,30.251,30.375,1.645,32500
1987-08-06,30.251,30.5,29.876,30.251,1.6383,19400
1987-08-07,29.75,30,29,29.75,1.6107,33400
1987-08-10,30,30.251,29.75,30,1.625,39600
1987-08-11,30,30,29.75,30,1.625,21600
1987-08-12,29.75,29.876,29.501,29.75,1.6107,39200
1987-08-13,32,32.375,30,32,1.7328,212200
1987-08-14,34.001,34.001,31.751,34.001,1.8412,115500
1987-08-17,34.875,35,33.875,34.875,1.8886,49000
1987-08-18,34.751,35,34.25,34.751,1.8818,36700
1987-08-19,34.875,34.875,34.125,34.875,1.8886,78100
1987-08-20,35.75,36,34.875,35.75,1.9356,37300
1987-08-21,37.125,37.25,36,37.125,2.0107,36800
1987-08-24,37.5,37.751,36.875,37.5,2.031,30700
1987-08-25,39.5,41,37.625,39.5,2.1387,120300
1987-08-26,39.875,40.751,39.5,39.875,2.1596,68700
1987-08-27,38,39.75,38,38,2.0579,47100
1987-08-28,36.5,37.751,35.126,36.5,1.9769,55100
1987-08-31,37.875,38.126,36.75,37.875,2.0511,43700
1987-09-01,37.001,38.501,37.001,37.001,2.0038,32200
1987-09-02,36.626,37.125,36.5,36.626,1.9839,37200
1987-09-03,36,37.376,35.876,36,1.9498,48900
1987-09-04,36.251,36.251,35.75,36.251,1.9628,15000
1987-09-08,35.375,36.5,34.625,35.375,1.9155,30000
1987-09-09,35.375,35.501,35.25,35.375,1.9155,10000
1987-09-10,35.375,35.501,35.25,35.375,1.9155,13100
1987-09-11,37.5,37.5,35.625,37.5,2.031,25400
1987-09-14,37.25,38.375,37.25,37.25,2.0171,27200
1987-09-15,36.5,37.376,36.5,36.5,1.9769,13200
1987-09-16,36.125,37.25,36.125,36.125,1.9562,15600
1987-09-17,36.5,36.5,36.125,36.5,1.9769,4800
1987-09-18,35.625,36.75,35.625,35.625,1.9297,10200
1987-09-21,34.625,35.75,34.5,34.625,1.8753,52100
1987-09-22,34.5,34.625,33.75,34.5,1.8686,47700
1987-09-23,35.25,35.375,34.875,35.25,1.9091,12100
1987-09-24,36.125,36.125,35.25,36.125,1.9562,6200
1987-09-25,36.626,36.875,36.375,36.626,1.9839,7000
1987-09-28,37.001,37.25,36.875,37.001,2.0038,47800
1987-09-29,36.626,37.001,36.626,36.626,1.9839,7300
1987-09-30,36,36.626,35.501,36,1.9498,20800
1987-10-01,34.751,35.75,34.751,34.751,1.8818,25800
1987-10-02,34.875,35.126,34.5,34.875,1.8886,16500
1987-10-05,33.5,35.126,33.5,33.5,1.8144,78600
1987-10-06,33.626,33.875,33.5,33.626,1.821,35000
1987-10-07,34.001,34.5,33.75,34.001,1.8412,37500
1987-10-08,32.876,33.875,32.75,32.876,1.7805,32800
1987-10-09,32.25,32.876,32.126,32.25,1.7466,7600
1987-10-12,32.25,32.375,31.875,32.25,1.7466,8700
1987-10-13,31.625,32.126,31.625,31.625,1.7125,7500
1987-10-14,31.25,31.5,31.25,31.25,1.6921,32700
1987-10-15,28.875,31.001,28.875,28.875,1.5638,28200
1987-10-16,25.751,28.875,25.625,25.751,1.395,47400
1987-10-19,21.626,24.75,21.251,21.626,1.1713,100900
1987-10-20,18.125,22.751,18,18.125,0.9816,73200
1987-10-21,20,21.375,19.5,20,1.0828,300900
1987-10-22,20.375,20.501,18,20.375,1.1032,258800
1987-10-23,19.25,20.25,19.25,19.25,1.0427,26400
1987-10-26,16.25,18.125,15.75,16.25,0.8801,46400
1987-10-27,15.5,17,15.5,15.5,0.8391,26500
1987-10-28,15.375,16.001,14.501,15.375,0.8331,40600
1987-10-29,16.5,16.625,15.125,16.5,0.8939,20500
1987-10-30,18.251,18.75,16.875,18.251,0.9886,58900
1987-11-02,18.375,18.5,17.75,18.375,0.9953,43300
1987-11-03,17.25,18.375,16.751,17.25,0.934,35700
1987-11-04,16.875,17.25,16.751,16.875,0.9141,10600
1987-11-05,17.75,17.876,16.751,17.75,0.9611,19400
1987-11-06,18.125,18.5,17.876,18.125,0.9816,51200
1987-11-09,18.125,18.375,17.25,18.125,0.9816,39200
1987-11-10,18,18.251,17.501,18,0.9748,26500
1987-11-11,19.875,20.25,18.251,19.875,1.0765,31300
1987-11-12,20.126,20.75,20,20.126,1.0904,47200
1987-11-13,19.875,20.126,19.625,19.875,1.0765,18500
1987-11-16,19.625,20,19.5,19.625,1.0627,21200
1987-11-17,19.25,19.875,19.001,19.25,1.0427,16200
1987-11-18,19.125,19.376,18.875,19.125,1.0354,7600
1987-11-19,19.25,19.25,18.875,19.25,1.0427,8100
1987-11-20,19.625,19.751,18.626,19.625,1.0627,14600
1987-11-23,19.875,20.25,19.751,19.875,1.0765,30600
1987-11-24,20.25,20.25,19.625,20.25,1.0967,77800
1987-11-25,20.126,20.25,20,20.126,1.0904,24200
1987-11-27,20.126,20.375,20.126,20.126,1.0904,18800
1987-11-30,19.001,19.376,18.375,19.001,1.0288,36200
1987-12-01,19.25,19.25,19.001,19.25,1.0427,8700
1987-12-02,19.376,19.5,19.25,19.376,1.0489,12600
1987-12-03,18.75,19.625,18.75,18.75,1.0159,46600
1987-12-04,18.875,18.875,18.626,18.875,1.0224,29700
1987-12-07,18.875,19.001,18.875,18.875,1.0224,14300
1987-12-08,18.75,19.001,18.75,18.75,1.0159,66100
1987-12-09,19.875,19.875,19.001,19.875,1.0765,30900
1987-12-10,19.751,19.751,19.125,19.751,1.0698,9800
1987-12-11,19.625,19.875,19.625,19.625,1.0627,4100
