Date,Open,High,Low,Close,Adjusted_close,Volume
2003-09-11,42,42.11,41.67,41.81,16.6222,390100
2003-10-01,40.47,41.55,40.47,41.55,16.5189,323800
2003-10-02,41.6,41.67,41.35,41.55,16.5189,315800
2003-10-03,41.9,42.06,41.6,41.67,16.5666,298800
2003-10-06,41.74,41.98,41.61,41.81,16.6222,257800
2003-10-07,41.81,42,41.52,41.95,16.6779,323500
2003-10-08,41.95,42.13,41.82,41.88,16.65,364500
2003-10-09,41.88,42.29,41.69,41.81,16.6222,208600
2003-10-10,41.91,42.04,41.74,42,16.6978,334500
2003-10-13,42,42.57,42,42.48,16.8886,198200
2003-10-14,42.48,42.72,42.45,42.62,16.9442,320400
2003-10-15,42.75,42.83,42.32,42.8,17.0158,504500
2003-10-16,42.7,43.06,42.58,42.69,16.972,446000
2003-10-17,42.75,42.9,42.4,42.67,16.9642,185400
2003-10-20,42.29,42.5,41.95,42.19,16.7733,521000
2003-10-21,42.16,42.31,41.89,42.24,16.7931,257200
2003-10-22,42.16,42.16,41.42,41.55,16.5189,163500
2003-10-23,41.55,42.75,41.52,42.61,16.9403,424700
2003-10-24,42.61,43.57,42.51,43.1,17.135,547900
2003-10-27,43.35,43.5,43.2,43.47,17.2822,496200
2003-10-28,43.46,43.83,43.35,43.83,17.4253,342500
2003-10-29,43.65,43.97,43.37,43.9,17.4531,233000
2003-10-30,43.98,44,43.28,43.45,17.2742,325600
2003-10-31,43.49,43.96,43.49,43.88,17.4452,393900
2003-11-03,43.89,44.28,43.86,44.23,17.5843,254641
2003-11-04,44.05,44.05,43.54,43.82,17.4213,367622
2003-11-05,43.81,43.82,43.33,43.54,17.31,305400
2003-11-06,43.55,43.7,43.21,43.54,17.31,273700
2003-11-07,43.7,43.76,43.55,43.61,17.3378,450600
2003-11-10,43.47,43.78,43.36,43.67,17.3617,417200
2003-11-11,43.64,43.74,43.48,43.74,17.3895,550000
2003-11-12,43.74,44.09,43.65,44.05,17.5128,533000
2003-11-13,44.11,44.33,44.01,44.3,17.6122,321000
2003-11-14,44.2,44.5,44.04,44.12,17.5406,256700
2003-11-17,44,44.1,43.61,44.05,17.5128,389100
2003-11-18,43.9,44.3,43.65,43.69,17.3697,194600
2003-11-19,43.92,44.14,43.65,44.01,17.4969,205500
2003-11-20,43.76,44.14,43.64,43.73,17.3855,179200
2003-11-21,43.85,44,43.69,43.76,17.3975,179300
2003-11-24,43.68,44.01,43.61,43.66,17.3578,393700
2003-11-25,43.78,44.15,43.59,44.06,17.5167,224200
2003-11-26,44.04,44.2,43.75,44.17,17.5605,235300
2003-11-28,44.17,44.23,44.03,44.1,17.5326,74000
2003-12-01,44.27,44.92,44.19,44.69,17.7672,257500
2003-12-02,44.54,44.71,44.35,44.54,17.7075,345200
2003-12-03,44.72,44.91,44.52,44.63,17.7433,380800
2003-12-04,44.75,44.8,44.52,44.56,17.7156,344200
2003-12-05,44.55,44.71,44.22,44.26,17.5962,184600
2003-12-08,44.26,44.62,44.25,44.5,17.6917,157400
2003-12-09,44.65,44.65,44.2,44.23,17.5843,193900
2003-12-10,44.23,44.35,44.09,44.3,17.6122,359100
2003-12-11,44.43,44.93,44.32,44.89,17.8467,271700
2003-12-12,44.85,45.14,44.78,44.96,17.8745,243700
2003-12-15,45.3,45.3,44.26,44.27,17.6002,306800
2003-12-16,44.35,44.88,44.1,44.88,17.8428,300600
2003-12-17,44.94,44.94,44.32,44.69,17.7672,208300
2003-12-18,44.69,44.99,44.51,44.96,17.8745,166600
2003-12-19,45,45,44.42,45,17.8905,425200
2003-12-22,45,45,44.58,44.63,17.7433,303000
2003-12-23,44.73,44.9,44.68,44.78,17.803,190700
2003-12-24,44.78,44.81,44.6,44.76,17.795,100200
2003-12-26,44.95,44.99,44.53,44.6,17.7314,63700
2003-12-29,44.57,45.17,44.47,45.1,17.9303,158000
2003-12-30,45.14,45.54,45.02,45.45,18.0694,142200
2003-12-31,45.63,45.75,45.35,45.54,18.1051,148200
2004-01-02,45.65,45.97,45.4,45.56,18.1131,190600
2004-01-05,45.65,45.91,45.36,45.77,18.1966,271300
2004-01-06,45.75,45.86,45.5,45.65,18.1489,280700
2004-01-07,45.5,45.63,45.3,45.6,18.129,389300
2004-01-08,45.47,45.83,45.281,45.6,18.129,213700
2004-01-09,45.59,45.75,45.51,45.57,18.117,195800
2004-01-12,45.55,45.72,45.31,45.45,18.0694,283300
2004-01-13,45.6,45.7,44.84,45.11,17.9342,247000
2004-01-14,45.03,45.45,45.03,45.4,18.0495,238400
2004-01-15,45,45.29,44.61,45.19,17.966,511700
2004-01-16,45.4,45.75,45.23,45.35,18.0296,285600
2004-01-20,45.23,45.71,45.19,45.7,18.1687,291700
2004-01-21,45.8,46.6,45.63,46.52,18.4947,277300
2004-01-22,46.25,46.78,46.21,46.78,18.5981,257900
2004-01-23,46.8,47.23,46.61,46.8,18.6061,237500
2004-01-26,46.93,47.14,46.42,47.12,18.7333,353500
2004-01-27,47,47.21,46.77,47.02,18.6936,205900
2004-01-28,46.95,47.33,46.49,46.56,18.5106,284900
2004-01-29,46.56,47,46.41,47,18.6856,395100
2004-01-30,46.85,47.44,46.8,47.44,18.8606,285800
2004-02-02,47.44,48.3,47.3,47.88,19.0354,329800
2004-02-03,47.78,48.49,47.71,48.19,19.1587,242200
2004-02-04,48.15,48.24,47.4,47.88,19.0354,350400
2004-02-05,47.77,48.05,47.6,47.92,19.0514,213700
2004-02-06,47.75,48.5,47.75,48.5,19.2819,201100
2004-02-09,48.32,48.78,48.3,48.65,19.3415,265100
2004-02-10,49.05,50.2,49.05,49.9,19.8385,656600
2004-02-11,49.7,50.45,49.45,50.32,20.0056,375400
2004-02-12,49.7,50.46,49.7,50.15,19.9379,302800
2004-02-13,49.9,50.28,49.79,50.05,19.8982,365200
2004-02-17,50.3,51.38,50.18,51.14,20.3315,384600
2004-02-18,51.34,51.62,51.2,51.57,20.5025,509000
2004-02-19,51.57,51.57,51,51.1,20.3156,569700
2004-02-20,51.25,51.35,50.97,51.32,20.4031,518300
2004-02-23,51.42,51.67,51.03,51.47,20.4627,460200
2004-02-24,51.47,51.85,51.13,51.6,20.5144,457300
2004-02-25,51.83,51.85,51.5,51.66,20.5382,220900
2004-02-26,51.7,51.95,51.27,51.87,20.6217,296800
2004-02-27,51.8,52.4,51.78,52.12,20.7212,380200
2004-03-01,52.5,52.69,52.19,52.19,20.7489,309000
2004-03-02,52.19,52.61,52.09,52.41,20.8364,273700
2004-03-03,52.3,53.15,52.3,53.11,21.1148,418600
2004-03-04,52.99,53.04,52.62,53,21.0709,254400
2004-03-05,52.65,53.07,52.62,52.98,21.0631,371700
2004-03-08,52.98,53.4,52.96,53.25,21.1704,321700
2004-03-09,53.35,53.35,53.06,53.23,21.1624,372500
2004-03-10,53.23,53.24,52.21,52.36,20.8165,409100
2004-03-11,52.26,52.36,51.35,51.42,20.4428,414400
2004-03-12,51.28,52.22,51.2,52.21,20.7569,448400
2004-03-15,52.1,52.1,51.75,51.83,20.6058,454600
2004-03-16,51.82,52.75,51.82,52.6,20.912,440000
2004-03-17,52.59,53.31,52.57,53.2,21.1505,286500
2004-03-18,53.28,53.48,53.09,53.26,21.1743,472600
2004-03-19,53.1,53.33,52.82,52.82,20.9994,317800
2004-03-22,52.5,52.79,52.04,52.66,20.9359,343300
2004-03-23,52.66,52.97,52.37,52.6,20.912,244300
2004-03-24,52.38,52.68,51.88,51.97,20.6615,274300
2004-03-25,52.3,53.01,52.04,52.98,21.0631,301700
2004-03-26,52.98,53.25,52.8,52.85,21.0114,279900
2004-03-29,53.1,53.53,52.9,53.3,21.1903,238100
2004-03-30,53.25,53.83,53.16,53.67,21.3373,320400
2004-03-31,53.54,53.84,53.26,53.79,21.3851,239400
2004-04-01,53.79,54.48,53.6,54.43,21.6395,453100
2004-04-02,54.68,55,54.15,54.45,21.6474,407100
2004-04-05,54.55,54.95,54.39,54.89,21.8223,335100
2004-04-06,54.89,55.07,54.75,54.83,21.7985,270000
2004-04-07,54.83,54.85,54.29,54.42,21.6355,203500
2004-04-08,54.62,54.9,54.23,54.41,21.6315,188600
2004-04-12,54.4,54.91,54.4,54.5,21.6673,221100
2004-04-13,54.8,54.8,53.52,53.63,21.3214,298500
2004-04-14,53.73,54,52.97,53.2,21.1505,280900
2004-04-15,53.4,53.47,52.59,52.96,21.0551,246200
2004-04-16,53.3,53.46,52.79,53.33,21.2022,337400
2004-04-19,52.9,53.04,52.14,52.51,20.8762,576600
2004-04-20,52.66,52.74,51.56,51.57,20.5025,429100
2004-04-21,51.36,51.59,51.02,51.15,20.3355,400700
2004-04-22,51.3,51.43,50.8,51.24,20.3712,743700
2004-04-23,51.1,51.59,50.92,51.34,20.411,493700
2004-04-26,51.17,51.45,50.85,50.89,20.2321,489400
2004-04-27,50.89,51.97,50.89,51.6,20.5144,506300
2004-04-28,51.61,51.61,50.75,50.84,20.2122,563200
2004-04-29,50.94,51.72,50.68,50.89,20.2321,652700
2004-04-30,51,52.17,50.86,52.04,20.6893,727700
2004-05-03,52.04,52.56,52.04,52.23,20.7648,511600
2004-05-04,52.18,52.4,51.9,52.05,20.6933,352000
2004-05-05,51.4,52.3,51.4,52.01,20.6773,448500
2004-05-06,51.6,52.15,51.5,51.82,20.6018,736700
2004-05-07,51.76,51.91,50.02,50.02,19.8862,677100
2004-05-10,50.02,50.02,49.22,49.79,19.7948,551100
2004-05-11,49.5,49.83,49.37,49.55,19.6994,492500
2004-05-12,49.7,51.04,49.6,50.95,20.256,687100
2004-05-13,50.9,51.59,50.7,51.42,20.4428,417900
2004-05-14,51.42,52.1,51.12,51.78,20.5859,500100
2004-05-17,51.48,51.49,50.9,51.28,20.3872,285000
2004-05-18,51.29,52.25,51.27,51.82,20.6018,466500
2004-05-19,51.95,52.37,51.35,51.39,20.4309,434600
2004-05-20,51.51,51.51,50.89,51.08,20.3076,454000
2004-05-21,51.3,51.7,51.02,51.3,20.3951,353200
2004-05-24,51.37,51.74,51.1,51.7,20.5542,303400
2004-05-25,51.7,51.93,50.87,51.8,20.5939,541100
2004-05-26,51.81,52.48,51.69,52.15,20.7331,431900
2004-05-27,52.3,53.39,52.3,53.26,21.1743,573300
2004-05-28,53.26,54.36,53.23,54.19,21.5441,1808700
2004-06-01,54.2,54.3,53.64,54.17,21.5361,637800
2004-06-02,54.5,54.88,54.11,54.71,21.7508,353100
2004-06-03,54.85,54.85,54.02,54.02,21.4765,390100
2004-06-04,54.22,54.53,54.06,54.2,21.5481,320500
2004-06-07,54.35,54.81,54.35,54.65,21.727,312200
2004-06-08,54.6,54.95,54.3,54.95,21.8462,344100
2004-06-09,54.9,55.2,53.86,53.86,21.4129,345000
2004-06-10,54.02,54.35,53.8,54.06,21.4924,274700
2004-06-14,54.06,54.06,53.19,53.4,21.23,420400
2004-06-15,53.6,53.91,53.4,53.6,21.3095,450700
2004-06-16,53.78,53.84,53.3,53.36,21.2141,232600
2004-06-17,53.16,53.63,52.85,53.49,21.2658,247100
2004-06-18,53.3,53.54,52.82,53.04,21.0868,473600
2004-06-21,53.2,53.22,52.92,53,21.0709,237200
2004-06-22,53.1,53.44,52.88,53,21.0709,658500
2004-06-23,53,53.44,52.5,53.34,21.2062,494600
2004-06-24,53.54,53.86,53.23,53.32,21.1982,369500
2004-06-25,53.34,53.83,53.01,53.15,21.1306,374600
2004-06-28,53.25,53.95,53.1,53.24,21.1664,449500
2004-06-29,53.09,53.7,53.09,53.59,21.3056,282100
2004-06-30,53.35,53.99,53.28,53.8,21.389,289700
2004-07-01,54.15,54.25,53.32,53.85,21.4089,343200
2004-07-02,54.05,54.05,53.47,53.64,21.3254,238300
2004-07-06,53.64,53.64,52.91,53.24,21.1664,272400
2004-07-07,53.26,53.94,52.72,53.84,21.4049,595700
2004-07-08,53.95,54.37,53.7,53.71,21.3532,623200
2004-07-09,53.85,53.97,53.43,53.76,21.3731,277700
2004-07-12,53.7,54.15,53.55,53.87,21.4168,257600
2004-07-13,53.85,53.85,53.3,53.54,21.2856,297300
2004-07-14,53.4,53.53,52.91,53.1,21.1107,212500
2004-07-15,53.04,53.05,52.22,52.37,20.8205,455800
2004-07-16,52.6,52.8,51.96,51.99,20.6695,454100
2004-07-19,52.1,52.38,52.1,52.22,20.7609,380400
2004-07-20,52.12,52.39,51.63,52.11,20.7171,580400
2004-07-21,52.35,52.82,52.2,52.3,20.7927,367200
2004-07-22,52.3,52.54,51.06,51.94,20.6496,529700
2004-07-23,51.96,51.96,51.04,51.56,20.4984,757500
2004-07-26,51.38,51.69,50.37,50.55,20.097,818400
2004-07-27,50.7,51.32,50.36,51.17,20.3434,627200
2004-07-28,51.18,51.75,50.54,51.63,20.5263,617500
2004-07-29,51.64,52.34,51.47,52.26,20.7768,642600
2004-07-30,52.17,52.66,52.04,52.28,20.7847,524600
2004-08-02,52.29,52.59,51.85,52.47,20.8603,334100
2004-08-03,52.55,52.8,52.18,52.69,20.9478,527600
2004-08-04,52.6,52.6,51.9,52.4,20.8324,612300
2004-08-05,52.3,52.4,51.51,51.63,20.5263,447600
2004-08-06,51.58,51.58,50.76,50.8,20.1964,470900
2004-08-09,50.7,50.9,50.35,50.36,20.0214,642700
2004-08-10,50.58,50.96,50.4,50.9,20.2361,679500
2004-08-11,50.9,50.99,50.46,50.57,20.1048,665000
2004-08-12,50.8,51,50.46,50.49,20.0731,549100
2004-08-13,50.64,50.81,50.42,50.55,20.097,529100
2004-08-16,50.75,51.21,50.72,51.15,20.3355,214400
2004-08-17,51.14,51.6,51.01,51.11,20.3195,290100
