,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2020-06-26,0.36,0.3924,0.244,0.26,0.26,13450142
1,2020-06-29,0.2601,0.3,0.2051,0.2061,0.2061,22149622
2,2020-06-30,0.2,0.219,0.1503,0.168,0.168,19601583
3,2020-07-01,0.195,0.2101,0.148,0.1848,0.1848,29598128
4,2020-07-02,0.208,0.279,0.185,0.186,0.186,16074026
5,2020-07-06,0.2075,0.25,0.2,0.22,0.22,15035536
6,2020-07-07,0.22,0.247,0.1711,0.1762,0.1762,13292215
7,2020-07-08,0.2,0.2075,0.1672,0.1991,0.1991,15896131
8,2020-07-09,0.199,0.208,0.17,0.1886,0.1886,5840261
9,2020-07-10,0.176,0.225,0.1632,0.2162,0.2162,10236212
10,2020-07-13,0.215,0.24,0.1406,0.1487,0.1487,8872903
11,2020-07-14,0.1511,0.19,0.1508,0.1677,0.1677,11250804
12,2020-07-15,0.16,0.179,0.135,0.1463,0.1463,7111830
13,2020-07-16,0.134,0.1375,0.1,0.111,0.111,13024491
14,2020-07-17,0.1097,0.1489,0.1018,0.14,0.14,8553017
15,2020-07-20,0.135,0.1685,0.1203,0.1632,0.1632,9249178
16,2020-07-21,0.175,0.175,0.1275,0.129,0.129,16720203
17,2020-07-22,0.1232,0.167,0.0924,0.0924,0.0924,17643768
18,2020-07-23,0.1032,0.1153,0.076,0.0864,0.0864,18068527
19,2020-07-24,0.087,0.108,0.069,0.09,0.09,16254261
20,2020-07-27,0.087,0.1581,0.0701,0.121,0.121,22564125
