,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1990-07-20,10.3752,11.75,10.25,10.3752,1.7292,15891000
1,1990-07-23,9.5,10.25,9.25,9.5,1.5833,4676400
2,1990-07-24,9.5,9.75,9.0,9.5,1.5833,934200
3,1990-07-25,9.25,9.5,9.25,9.25,1.5417,349800
4,1990-07-26,9.75,9.75,9.1252,9.75,1.625,2488800
5,1990-07-27,9.5,9.75,9.25,9.5,1.5833,963600
6,1990-07-30,9.25,9.75,9.25,9.25,1.5417,445200
7,1990-07-31,9.25,9.6248,9.25,9.25,1.5417,337800
8,1990-08-01,9.0,9.5,9.0,9.0,1.5,712200
9,1990-08-02,8.5,9.25,8.5,8.5,1.4167,634800
10,1990-08-03,8.25,9.0,8.25,8.25,1.375,487800
11,1990-08-06,7.5,8.25,7.5,7.5,1.25,575400
12,1990-08-07,8.25,8.25,7.75,8.25,1.375,838200
13,1990-08-08,8.0,8.25,7.75,8.0,1.3333,67200
14,1990-08-09,8.25,8.25,7.75,8.25,1.375,165600
15,1990-08-10,8.25,8.25,8.0,8.25,1.375,46800
16,1990-08-13,8.25,8.25,7.75,8.25,1.375,307800
17,1990-08-14,7.75,8.25,7.75,7.75,1.2917,250800
18,1990-08-15,8.0,8.0,7.75,8.0,1.3333,178800
19,1990-08-16,7.5,8.0,7.5,7.5,1.25,297600
20,1990-08-17,7.75,7.75,7.0,7.75,1.2917,250800
21,1990-08-20,7.0,7.75,7.0,7.0,1.1667,117600
22,1990-08-21,7.0,7.5,7.0,7.0,1.1667,108000
23,1990-08-22,7.0,7.5,7.0,7.0,1.1667,244800
24,1990-08-23,7.25,7.25,6.5,7.25,1.2083,135000
25,1990-08-24,6.75,7.25,6.75,6.75,1.125,130200
26,1990-08-27,6.75,7.25,6.75,6.75,1.125,180600
27,1990-08-28,6.75,7.25,6.75,6.75,1.125,151200
28,1990-08-29,6.75,7.25,6.75,6.75,1.125,134400
29,1990-08-30,6.5,7.0,6.5,6.5,1.0833,125400
30,1990-08-31,6.8752,6.8752,6.5,6.8752,1.1458,217800
31,1990-09-04,6.5,6.8752,6.5,6.5,1.0833,158400
32,1990-09-05,6.25,6.75,6.25,6.25,1.0417,680400
33,1990-09-06,6.25,6.6252,6.25,6.25,1.0417,247800
34,1990-09-07,6.0,6.5,5.75,6.0,1.0,219000
35,1990-09-10,5.75,6.25,5.75,5.75,0.9583,241800
36,1990-09-11,6.1252,6.25,5.75,6.1252,1.0208,642000
37,1990-09-12,5.75,6.25,5.75,5.75,0.9583,57000
38,1990-09-13,6.0,6.25,5.75,6.0,1.0,551400
39,1990-09-14,6.0,6.25,5.8752,6.0,1.0,451200
40,1990-09-17,7.0,7.0,6.0,7.0,1.1667,607200
41,1990-09-18,6.5,7.0,6.5,6.5,1.0833,273000
42,1990-09-19,6.75,7.0,6.25,6.75,1.125,394800
43,1990-09-20,6.5,7.0,6.5,6.5,1.0833,215400
44,1990-09-21,7.0,7.0,6.5,7.0,1.1667,133800
45,1990-09-24,6.5,7.0,6.5,6.5,1.0833,60000
46,1990-09-25,6.75,7.0,6.5,6.75,1.125,132600
47,1990-09-26,6.75,7.0,6.75,6.75,1.125,48600
48,1990-09-27,6.5,7.0,6.25,6.5,1.0833,208800
49,1990-09-28,6.75,6.75,6.0,6.75,1.125,212400
50,1990-10-01,6.75,7.0,6.3752,6.75,1.125,259200
51,1990-10-02,7.0,7.0,6.75,7.0,1.1667,174600
52,1990-10-03,6.5,6.75,6.5,6.5,1.0833,102600
53,1990-10-04,7.75,7.75,6.5,7.75,1.2917,849000
54,1990-10-05,7.5,7.5,7.0,7.5,1.25,68400
55,1990-10-08,7.0,7.5,7.0,7.0,1.1667,26400
56,1990-10-09,6.6252,7.5,6.6252,6.6252,1.1042,136800
57,1990-10-10,6.5,7.0,6.5,6.5,1.0833,119400
58,1990-10-11,6.75,7.25,6.5,6.75,1.125,255000
59,1990-10-12,6.75,7.5,6.75,6.75,1.125,80400
60,1990-10-15,7.0,7.25,6.75,7.0,1.1667,106200
61,1990-10-16,6.75,7.5,6.75,6.75,1.125,83400
62,1990-10-17,6.75,7.5,6.75,6.75,1.125,45600
63,1990-10-18,7.0,7.5,6.75,7.0,1.1667,229200
64,1990-10-19,7.25,7.75,7.25,7.25,1.2083,1089000
65,1990-10-22,7.5,8.0,7.5,7.5,1.25,87600
66,1990-10-23,8.0,8.0,7.25,8.0,1.3333,138000
67,1990-10-24,8.0,8.0,7.25,8.0,1.3333,40200
68,1990-10-25,7.5,8.0,7.5,7.5,1.25,203400
69,1990-10-26,7.25,8.0,7.25,7.25,1.2083,77400
70,1990-10-29,7.0,8.0,7.0,7.0,1.1667,468000
71,1990-10-30,7.1252,7.5,7.0,7.1252,1.1875,285600
72,1990-10-31,7.0,7.5,7.0,7.0,1.1667,50400
73,1990-11-01,7.0,7.25,7.0,7.0,1.1667,49800
74,1990-11-02,7.0,7.5,7.0,7.0,1.1667,44400
75,1990-11-05,7.1252,7.5,7.0,7.1252,1.1875,82800
76,1990-11-06,7.0,7.25,7.0,7.0,1.1667,112200
77,1990-11-07,7.0,7.25,6.75,7.0,1.1667,1558200
78,1990-11-08,6.75,7.0,6.75,6.75,1.125,93600
79,1990-11-09,7.0,7.0,7.0,7.0,1.1667,12000
80,1990-11-12,7.0,7.25,6.75,7.0,1.1667,63600
81,1990-11-13,7.0,7.25,7.0,7.0,1.1667,163800
82,1990-11-14,7.25,7.25,7.0,7.25,1.2083,75000
83,1990-11-15,7.0,7.25,7.0,7.0,1.1667,39600
84,1990-11-16,6.75,7.25,6.75,6.75,1.125,187800
85,1990-11-19,7.25,7.25,6.75,7.25,1.2083,156000
86,1990-11-20,7.0,7.25,6.75,7.0,1.1667,34800
87,1990-11-21,7.0,7.25,6.75,7.0,1.1667,127200
88,1990-11-23,6.75,7.25,6.75,6.75,1.125,18600
89,1990-11-26,6.75,7.25,6.75,6.75,1.125,135000
90,1990-11-27,7.1252,7.25,6.75,7.1252,1.1875,57600
91,1990-11-28,7.1252,7.1252,6.8752,7.1252,1.1875,135600
92,1990-11-29,7.0,7.1252,6.8752,7.0,1.1667,61200
93,1990-11-30,7.1252,7.1252,6.8752,7.1252,1.1875,36600
94,1990-12-03,7.1252,7.1252,6.8752,7.1252,1.1875,31200
95,1990-12-04,7.1252,7.1252,6.8752,7.1252,1.1875,162000
96,1990-12-05,7.1252,7.1252,6.8752,7.1252,1.1875,91800
97,1990-12-06,7.25,7.25,6.8752,7.25,1.2083,146400
98,1990-12-07,7.5,7.5,6.8752,7.5,1.25,186000
99,1990-12-10,7.25,7.75,7.1252,7.25,1.2083,74400
100,1990-12-11,7.3752,7.6252,7.25,7.3752,1.2292,112200
101,1990-12-12,7.75,7.75,7.25,7.75,1.2917,231600
102,1990-12-13,8.0,8.0,7.5,8.0,1.3333,487800
103,1990-12-14,7.8752,8.0,7.75,7.8752,1.3125,204600
