,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1986-04-02,25.7504,26.2496,25.6256,25.7504,0.2901,40921600
1,1986-04-03,29.0,30.2496,25.7504,29.0,0.3267,20761600
2,1986-04-04,29.0,30.0,28.7504,29.0,0.3267,10419200
3,1986-04-07,28.5008,29.0,28.0,28.5008,0.3211,6387200
4,1986-04-08,29.0,29.2496,27.7504,29.0,0.3267,2768000
5,1986-04-09,29.5008,29.7504,29.0,29.5008,0.3324,2454400
6,1986-04-10,31.0,31.5008,29.5008,31.0,0.3493,5267200
7,1986-04-11,32.0,32.0,31.2496,32.0,0.3605,2464000
8,1986-04-14,33.2496,33.2496,31.7504,33.2496,0.3746,2601600
9,1986-04-15,33.5008,33.7504,32.7504,33.5008,0.3774,1648000
10,1986-04-16,35.7504,35.7504,33.5008,35.7504,0.4028,1993600
11,1986-04-17,36.2496,36.2496,35.5008,36.2496,0.4084,1296000
12,1986-04-18,37.0,37.5008,36.0,37.0,0.4169,3625600
13,1986-04-21,40.7504,41.2496,37.0,40.7504,0.4591,4800000
14,1986-04-22,42.2496,45.0,40.2496,42.2496,0.476,6912000
15,1986-04-23,42.2496,42.7504,41.0,42.2496,0.476,3430400
16,1986-04-24,42.5008,43.2496,42.2496,42.5008,0.4788,1353600
17,1986-04-25,42.7504,43.0,42.0,42.7504,0.4817,1228800
18,1986-04-28,42.5008,43.2496,42.5008,42.5008,0.4788,454400
19,1986-04-29,42.7504,42.7504,42.0,42.7504,0.4817,3337600
20,1986-04-30,38.5008,42.7504,38.5008,38.5008,0.4338,4256000
21,1986-05-01,37.2496,38.5008,37.0,37.2496,0.4197,2880000
22,1986-05-02,37.5008,37.6256,37.2496,37.5008,0.4225,838400
23,1986-05-05,37.5008,37.7504,37.2496,37.5008,0.4225,886400
24,1986-05-06,37.5008,37.7504,37.2496,37.5008,0.4225,1043200
25,1986-05-07,35.2496,37.5008,34.5008,35.2496,0.3972,3372800
26,1986-05-08,34.7504,35.5008,33.2496,34.7504,0.3915,3769600
27,1986-05-09,35.7504,36.3744,35.0,35.7504,0.4028,2182400
28,1986-05-12,34.7504,35.7504,34.5008,34.7504,0.3915,889600
29,1986-05-13,32.7504,34.7504,32.0,32.7504,0.369,1440000
30,1986-05-14,33.7504,33.7504,32.5008,33.7504,0.3803,1078400
31,1986-05-15,33.5008,33.7504,33.5008,33.5008,0.3774,304000
32,1986-05-16,33.0,33.7504,32.7504,33.0,0.3718,1712000
33,1986-05-19,32.2496,33.0,32.0,32.2496,0.3634,707200
34,1986-05-20,32.2496,32.5008,32.0,32.2496,0.3634,118400
35,1986-05-21,32.7504,33.2496,32.2496,32.7504,0.369,419200
36,1986-05-22,33.2496,33.2496,32.7504,33.2496,0.3746,188800
37,1986-05-23,35.7504,36.0,33.2496,35.7504,0.4028,1968000
38,1986-05-27,38.2496,38.2496,35.7504,38.2496,0.431,1472000
39,1986-05-28,39.0,39.5008,38.7504,39.0,0.4394,1164800
40,1986-05-29,38.2496,39.2496,37.0,38.2496,0.431,1625600
41,1986-05-30,37.2496,37.7504,37.0,37.2496,0.4197,614400
42,1986-06-02,36.5008,37.7504,36.2496,36.5008,0.4112,886400
43,1986-06-03,36.2496,36.2496,36.0,36.2496,0.4084,320000
44,1986-06-04,36.6256,36.7504,36.0,36.6256,0.4126,905600
45,1986-06-05,37.5008,37.7504,36.5008,37.5008,0.4225,1014400
46,1986-06-06,37.5008,37.5008,37.5008,37.5008,0.4225,19200
47,1986-06-09,36.5008,37.5008,36.2496,36.5008,0.4112,944000
48,1986-06-10,36.0,36.5008,35.2496,36.0,0.4056,998400
49,1986-06-11,36.7504,37.0,36.0,36.7504,0.4141,720000
50,1986-06-12,36.7504,37.2496,36.7504,36.7504,0.4141,214400
51,1986-06-13,37.0,37.0,36.7504,37.0,0.4169,147200
52,1986-06-16,37.2496,37.7504,37.0,37.2496,0.4197,336000
53,1986-06-17,37.2496,37.7504,37.2496,37.2496,0.4197,121600
54,1986-06-18,36.7504,37.2496,36.7504,36.7504,0.4141,403200
55,1986-06-19,37.0,37.0,36.5008,37.0,0.4169,115200
56,1986-06-20,36.5008,36.7504,36.5008,36.5008,0.4112,28800
57,1986-06-23,36.7504,36.7504,36.5008,36.7504,0.4297,268800
58,1986-06-24,36.5008,36.7504,36.5008,36.5008,0.4268,102400
59,1986-06-25,36.0,36.5008,35.7504,36.0,0.421,297600
60,1986-06-26,35.2496,35.7504,35.2496,35.2496,0.4122,108800
61,1986-06-27,35.0,35.5008,35.0,35.0,0.4093,182400
62,1986-06-30,34.7504,35.5008,34.7504,34.7504,0.4063,147200
63,1986-07-01,33.7504,35.2496,33.5008,33.7504,0.3946,793600
64,1986-07-02,33.5008,33.7504,33.2496,33.5008,0.3917,1040000
65,1986-07-03,33.5008,33.7504,33.2496,33.5008,0.3917,243200
66,1986-07-07,32.7504,33.2496,32.6256,32.7504,0.383,1472000
67,1986-07-08,32.2496,32.7504,32.2496,32.2496,0.3771,1068800
68,1986-07-09,32.7504,32.7504,32.2496,32.7504,0.383,246400
69,1986-07-10,32.5008,32.7504,32.5008,32.5008,0.38,371200
70,1986-07-11,32.0,32.2496,32.0,32.0,0.3742,76800
71,1986-07-14,30.5008,32.0,30.5008,30.5008,0.3566,1200000
72,1986-07-15,30.2496,30.5008,30.2496,30.2496,0.3537,246400
73,1986-07-16,31.0,31.0,30.2496,31.0,0.3625,1062400
74,1986-07-17,31.0,31.0,30.5008,31.0,0.3625,291200
75,1986-07-18,30.5008,31.0,30.5008,30.5008,0.3566,2208000
76,1986-07-21,30.7504,31.0,30.7504,30.7504,0.3596,364800
77,1986-07-22,30.7504,31.2496,30.7504,30.7504,0.3596,704000
78,1986-07-23,30.7504,31.2496,30.7504,30.7504,0.3596,83200
79,1986-07-24,31.0,31.0,30.7504,31.0,0.3625,144000
80,1986-07-25,30.7504,31.0,30.7504,30.7504,0.3596,118400
81,1986-07-28,32.0,32.0,31.0,32.0,0.3742,931200
82,1986-07-29,31.5008,32.0,31.5008,31.5008,0.3683,147200
83,1986-07-30,31.5008,31.5008,31.2496,31.5008,0.3683,41600
84,1986-07-31,31.7504,31.7504,31.2496,31.7504,0.3713,22400
85,1986-08-01,31.0,31.7504,31.0,31.0,0.3625,864000
86,1986-08-04,30.7504,31.0,30.7504,30.7504,0.3596,688000
87,1986-08-05,31.0,31.2496,30.7504,31.0,0.3625,259200
88,1986-08-06,31.0,31.2496,31.0,31.0,0.3625,166400
89,1986-08-07,31.2496,31.2496,31.0,31.2496,0.3654,390400
90,1986-08-08,31.0,31.0,31.0,31.0,0.3625,332800
91,1986-08-11,31.0,31.5008,31.0,31.0,0.3625,12800
92,1986-08-12,31.5008,31.5008,31.0,31.5008,0.3683,134400
93,1986-08-13,31.0,31.5008,31.0,31.0,0.3625,92800
94,1986-08-14,31.2496,31.5008,31.0,31.2496,0.3654,640000
95,1986-08-15,31.5008,31.5008,31.2496,31.5008,0.3683,108800
96,1986-08-18,31.5008,31.7504,31.2496,31.5008,0.3683,185600
97,1986-08-19,31.5008,31.5008,31.2496,31.5008,0.3683,316800
98,1986-08-20,31.7504,31.7504,31.5008,31.7504,0.3713,19200
99,1986-08-21,31.7504,31.7504,31.5008,31.7504,0.3713,112000
100,1986-08-22,31.5008,31.7504,31.5008,31.5008,0.3683,25600
101,1986-08-25,31.5008,31.5008,31.5008,31.5008,0.3683,268800
102,1986-08-26,31.5008,31.7504,31.5008,31.5008,0.3683,83200
103,1986-08-27,31.5008,31.8752,31.5008,31.5008,0.3683,131200
104,1986-08-28,31.7504,31.7504,31.5008,31.7504,0.3713,672000
105,1986-08-29,31.5008,32.0,31.5008,31.5008,0.3683,51200
106,1986-09-02,31.5008,32.0,31.5008,31.5008,0.3683,60800
107,1986-09-03,32.0,32.0,31.5008,32.0,0.3742,57600
108,1986-09-04,32.2496,32.5008,31.7504,32.2496,0.3771,883200
109,1986-09-05,32.5008,32.7504,32.2496,32.5008,0.38,515200
110,1986-09-08,32.7504,32.7504,32.5008,32.7504,0.383,627200
111,1986-09-09,32.7504,32.7504,32.5008,32.7504,0.383,265600
112,1986-09-10,32.5008,32.5008,32.5008,32.5008,0.38,70400
113,1986-09-11,32.0,32.5008,31.7504,32.0,0.3742,1408000
114,1986-09-12,31.5008,31.7504,31.2496,31.5008,0.3683,1804800
115,1986-09-15,31.2496,31.7504,30.7504,31.2496,0.3654,1116800
116,1986-09-16,31.0,31.0,30.5008,31.0,0.3625,1043200
