Date,Open,High,Low,Close,Adjusted_close,Volume
2003-09-11,8.95,9.06,8.9,8.98,3.808,321700
2003-10-01,8.56,8.85,8.56,8.8,3.7317,935100
2003-10-02,8.9,8.95,8.73,8.85,3.7529,1106700
2003-10-03,8.93,9,8.89,8.95,3.7953,980500
2003-10-06,8.9,9.04,8.9,8.98,3.808,581100
2003-10-07,8.99,9.24,8.98,9.15,3.8801,1188800
2003-10-08,9.15,9.24,9.07,9.23,3.914,839100
2003-10-09,9.25,9.47,9.15,9.18,3.8928,865400
2003-10-10,9.25,9.75,9.23,9.7,4.1133,1152900
2003-10-13,9.7,9.95,9.64,9.8,4.1558,522900
2003-10-14,9.85,9.95,9.68,9.85,4.177,842100
2003-10-15,9.9,10.09,9.85,10.05,4.2618,624900
2003-10-16,10,10.35,9.98,10.3,4.3678,978800
2003-10-17,10.3,10.42,10.24,10.36,4.3932,904700
2003-10-20,10.45,10.47,10.11,10.31,4.372,992600
2003-10-21,10.31,10.48,9.95,10.48,4.4441,1002900
2003-10-22,10.38,10.45,10.28,10.41,4.4144,1374800
2003-10-23,10.41,10.57,10.24,10.5,4.4526,968300
2003-10-24,10.51,10.51,10.21,10.23,4.3381,451100
2003-10-27,10.3,10.58,10.3,10.47,4.4399,552100
2003-10-28,10.6,11,10.59,10.78,4.5713,636000
2003-10-29,10.84,11.21,10.84,11.05,4.6858,563900
2003-10-30,11.22,11.35,10.8,11.32,4.8003,512600
2003-10-31,11.32,11.52,11.32,11.4,4.8342,688400
2003-11-03,11.6,11.7,11.4,11.69,4.9572,487260
2003-11-04,11.85,12.13,11.77,11.9,5.0463,715663
2003-11-05,12.1,13.01,11.87,12.32,5.2244,1727000
2003-11-06,12.42,12.5,12.27,12.42,5.2668,1006000
2003-11-07,12.42,12.45,12.12,12.24,5.1905,859800
2003-11-10,12.3,12.4,12.25,12.4,5.2583,722900
2003-11-11,12.31,12.32,11.25,11.79,4.9996,1227400
2003-11-12,11.75,12.14,11.67,12.07,5.1184,538600
2003-11-13,12.13,12.25,11.98,12.23,5.1862,611100
2003-11-14,12.3,12.55,12.19,12.46,5.2837,877500
2003-11-17,12.46,12.46,11.97,12.06,5.1141,928400
2003-11-18,12.06,12.4,12.03,12.4,5.2583,927800
2003-11-19,12.4,12.47,12.21,12.22,5.182,668700
2003-11-20,12.24,12.71,12.22,12.4,5.2583,876900
2003-11-21,12.41,12.5,12.3,12.35,5.2371,491400
2003-11-24,12.36,12.61,12.31,12.61,5.3474,503100
2003-11-25,12.7,12.72,12.52,12.7,5.3855,547600
2003-11-26,12.72,12.8,12.51,12.74,5.4025,631400
2003-11-28,12.74,12.8,12.65,12.68,5.377,204800
2003-12-01,12.78,13.36,12.76,13.24,5.6145,709400
2003-12-02,13.26,13.3,13.07,13.2,5.5975,1193300
2003-12-03,13.27,13.57,13.25,13.5,5.7248,586600
2003-12-04,13.5,13.81,13.35,13.8,5.852,771900
2003-12-05,13.75,13.79,13.45,13.59,5.7629,618800
2003-12-08,13.6,14.12,13.56,14.02,5.9453,871600
2003-12-09,14.1,14.14,13.79,13.8,5.852,507600
2003-12-10,13.8,13.85,13.19,13.47,5.712,845500
2003-12-11,12.8,13.19,12.5,13.18,5.5891,1099700
2003-12-12,12.98,13.64,12.97,13.64,5.7841,810600
2003-12-15,13.9,13.91,13.15,13.15,5.5763,586100
2003-12-16,13.1,13.75,12.77,13.69,5.8053,1041600
2003-12-17,13.52,13.87,13.45,13.87,5.8817,708600
2003-12-18,13.86,14.29,13.76,14.2,6.0216,1297000
2003-12-19,14.2,14.25,14.1,14.19,6.0174,800600
2003-12-22,14.17,14.62,13.95,14.59,6.187,833700
2003-12-23,14.85,14.85,14.2,14.42,6.1149,969100
2003-12-24,14.52,14.55,14.43,14.5,6.1488,559200
2003-12-26,14.51,14.7,14.5,14.67,6.2209,153600
2003-12-29,14.85,14.85,14.65,14.73,6.2464,518700
2003-12-30,14.75,15.12,14.75,15.12,6.4117,631400
2003-12-31,15,15,14.25,14.57,6.1785,803000
2004-01-02,14.56,14.99,14.56,14.81,6.2803,653500
2004-01-05,15.2,15.5,15.19,15.4,6.5305,974000
2004-01-06,15.4,15.44,15.16,15.17,6.4329,908500
2004-01-07,15.19,15.19,14.76,14.9,6.3184,721700
2004-01-08,14.88,14.88,14.29,14.5,6.1488,1356700
2004-01-09,14.52,15.07,14.31,14.78,6.2676,1097300
2004-01-12,14.88,15.07,14.55,14.83,6.2888,755500
2004-01-13,14.72,15.44,14.56,15.29,6.4838,1509200
2004-01-14,15.28,15.28,14.81,15.21,6.4499,725900
2004-01-15,15.11,15.55,15.06,15.22,6.4541,615800
2004-01-16,15.22,15.43,15.12,15.25,6.4669,595200
2004-01-20,15.27,15.7,15.22,15.65,6.6365,1050800
2004-01-21,15.72,16.35,15.65,16.2,6.8697,982700
2004-01-22,16.35,16.35,15.83,15.88,6.734,468900
2004-01-23,15.89,16.15,15.75,16.04,6.8019,426600
2004-01-26,16.02,16.88,15.74,16.88,7.1581,1068400
2004-01-27,16.88,16.95,16.68,16.92,7.175,700700
2004-01-28,16.92,16.98,15.81,15.95,6.7637,758500
2004-01-29,15.95,16.52,15.93,16.07,6.8146,833400
2004-01-30,16.05,16.05,15.04,15.2,6.4457,1075600
2004-02-02,15.24,15.62,15.2,15.24,6.4626,455300
2004-02-03,14.761,14.86,14,14.02,5.9453,2029400
2004-02-04,14.02,14.82,14.01,14.36,6.0895,1329700
2004-02-05,14.37,14.63,14.3,14.53,6.1615,1032700
2004-02-06,14.45,15.1,14.44,15,6.3608,752200
2004-02-09,14.6,15.58,14.57,15.3,6.4881,948500
2004-02-10,15.68,16,15.56,15.8,6.7001,946900
2004-02-11,15.8,16.29,15.67,16.12,6.8358,690500
2004-02-12,16.14,16.68,16.1,16.46,6.98,1231500
2004-02-13,16.5,16.5,15.95,16.03,6.7976,673800
2004-02-17,16.25,16.72,16.14,16.71,7.086,1139300
2004-02-18,16.96,17.25,16.83,17.2,7.2938,1007900
2004-02-19,17.21,17.29,16.5,16.55,7.0181,664000
2004-02-20,16.75,16.97,16.37,16.5,6.9969,957800
2004-02-23,16.6,17.5,16.4,17.04,7.2259,1149100
2004-02-24,17,17.16,16.31,16.97,7.1962,1349300
2004-02-25,16.9,17.53,16.68,17.44,7.3955,1052500
2004-02-26,17.44,17.96,17.2,17.93,7.6033,691900
2004-02-27,17.97,18.6,17.82,18.25,7.739,865700
2004-03-01,18.1,18.3,17.8,18.27,7.7475,736600
2004-03-02,18.27,18.3,17.71,17.74,7.5228,894300
2004-03-03,17.95,18.7,17.85,18.53,7.8578,1098400
2004-03-04,18.53,19.12,18.5,19.07,8.0868,703200
2004-03-05,18.8,19.35,18.69,19.17,8.1292,778700
2004-03-08,19.22,19.22,18.81,18.9,8.0147,571600
2004-03-09,18.98,19.09,18.05,18.37,7.7899,822800
2004-03-10,18.32,18.32,17.36,17.6,7.4634,1262700
2004-03-11,17.5,17.5,16.86,16.86,7.1496,935100
2004-03-12,16.95,17.47,16.87,17.44,7.3955,899400
2004-03-15,17.4,17.43,16.3,16.79,7.1199,647500
2004-03-16,16.84,16.99,16.51,16.86,7.1496,595700
2004-03-17,16.87,17.6,16.74,17.6,7.4634,1053800
2004-03-18,17.6,17.99,17.18,17.73,7.5185,530000
2004-03-19,17.85,18.33,17.8,17.95,7.6118,604200
2004-03-22,17.92,17.93,17.56,17.56,7.4464,641100
2004-03-23,17.73,18.21,17.7,18.11,7.6797,977200
2004-03-24,18.12,18.71,17.86,17.98,7.6245,1231100
2004-03-25,17.95,18,17.46,17.95,7.6118,691700
2004-03-26,17.95,18.15,17.75,17.98,7.6245,660300
2004-03-29,18.1,18.5,18.1,18.5,7.845,418900
2004-03-30,18.5,18.69,17.94,18.64,7.9044,659200
2004-03-31,18.65,18.97,18.65,18.79,7.968,723400
2004-04-01,18.93,18.99,17.75,17.86,7.5737,1486000
2004-04-02,17.87,18.46,17.86,18.13,7.6881,796100
2004-04-05,18.2,18.75,18.2,18.66,7.9129,620100
2004-04-06,18.7,18.89,18.36,18.53,7.8578,351000
2004-04-07,18.58,18.99,18.21,18.85,7.9935,483000
2004-04-08,18.98,19.19,18.86,19.01,8.0613,577600
2004-04-12,19.06,19.89,19.01,19.77,8.3836,741800
2004-04-13,21.69,22.55,21.35,22.25,9.4353,3507800
2004-04-14,22.2,22.25,21.16,21.3,9.0324,1181400
2004-04-15,21.31,21.84,21.13,21.34,9.0494,778500
2004-04-16,21.27,21.56,21.2,21.25,9.0112,673800
2004-04-19,21.26,21.5,20.84,20.99,8.9009,796600
2004-04-20,21,21.24,20.6,20.7,8.778,1449300
2004-04-21,20.7,20.72,20.2,20.27,8.5956,833300
2004-04-22,20.37,21.16,20.17,21.14,8.9646,2604300
2004-04-23,21.3,21.48,20.8,20.9,8.8628,468000
2004-04-26,20.9,21.5,20.87,21.35,9.0536,638200
2004-04-27,21.51,21.9,21.24,21.38,9.0663,659400
2004-04-28,21.51,21.76,21.25,21.45,9.096,858700
2004-04-29,21.5,21.7,20.5,20.64,8.7525,690200
2004-04-30,20.7,21.06,20.22,20.31,8.6126,640200
2004-05-03,20.4,21.01,20.35,20.85,8.8416,644100
2004-05-04,21.1,21.55,21.09,21.32,9.0409,560700
2004-05-05,21.33,21.55,20.9,21.48,9.1087,754600
2004-05-06,21.53,21.6,20.85,21.35,9.0536,628000
2004-05-07,21.36,21.5,20.51,20.51,8.6974,432000
2004-05-10,20.1,20.1,19.25,19.77,8.3836,1380500
2004-05-11,19.89,20.74,19.89,20.67,8.7653,843200
2004-05-12,20.67,21.57,20.4,21.18,8.9815,1012500
2004-05-13,21.16,21.51,20.95,21.16,8.973,775700
2004-05-14,21.4,22.38,21.3,22.07,9.3589,1059000
2004-05-17,21.97,22.68,21.6,22.12,9.3801,1114400
2004-05-18,22.13,22.14,21.5,21.62,9.1681,955700
2004-05-19,21.73,22.17,21.58,21.7,9.202,647400
2004-05-20,21.58,22.05,21.23,21.33,9.0451,752800
2004-05-21,21.3,21.88,21.3,21.85,9.2656,688600
2004-05-24,21.89,22.54,21.89,22.29,9.4522,857000
2004-05-25,22.49,24.23,22.44,24.1,10.2198,1656200
2004-05-26,24.11,24.73,23.56,23.6,10.0077,913500
2004-05-27,23.7,23.94,23.1,23.55,9.9865,1036800
2004-05-28,23.5,24.11,23.5,23.82,10.101,451600
2004-06-01,24.1,25.9,24.1,25.81,10.9449,1488600
2004-06-02,26.1,26.1,24.3,24.42,10.3555,1286000
2004-06-03,24.5,24.9,23,23,9.7533,2256500
2004-06-04,23.2,23.44,22.35,22.91,9.7151,1652900
2004-06-07,23.18,24.23,22.92,24.11,10.224,853600
2004-06-08,24.1,24.5,22.95,23.15,9.8169,1004200
2004-06-09,23.15,23.47,22.56,23.31,9.8848,1093700
2004-06-10,23.4,23.6,22.76,22.9,9.7109,838800
2004-06-14,22.65,22.79,22.1,22.16,9.3971,780000
2004-06-15,22.35,23.25,22.35,23.21,9.8424,878800
2004-06-16,23.42,24.18,23.341,23.96,10.1604,842700
2004-06-17,24.12,24.48,23.64,24.26,10.2876,1036700
2004-06-18,24.27,24.67,24.1,24.55,10.4106,652900
2004-06-21,24.97,25.25,24.77,25.08,10.6353,1242300
2004-06-22,25.1,25.82,25.08,25.8,10.9407,1341200
2004-06-23,25.88,26.97,25.8,26.93,11.4198,1902700
2004-06-24,27,27.75,26.52,26.53,11.2502,1573400
2004-06-25,26.6,27.14,25.95,26.5,11.2375,758700
2004-06-28,26.9,26.91,26,26.33,11.1654,1149100
2004-06-29,26.37,27.12,26.37,27.01,11.4538,625800
2004-06-30,27.2,27.61,26.82,27.6,11.704,976800
2004-07-01,27.4,27.9,27.33,27.77,11.7761,650100
2004-07-02,27.92,28.2,27.8,28.01,11.8778,511800
2004-07-06,28.4,28.5,28.1,28.1,11.916,925600
2004-07-07,28.11,29,28.02,28.71,12.1747,1105600
2004-07-08,28.95,29.43,28.3,28.46,12.0687,1283200
2004-07-09,28.93,29.02,28.46,28.9,12.2552,791100
2004-07-12,29,29.4,28.61,28.8,12.2128,631700
2004-07-13,28.8,28.85,28.45,28.6,12.128,816400
2004-07-14,28.6,29.2,28.52,29.12,12.3485,844600
2004-07-15,29.37,29.7,29.05,29.35,12.4461,660000
2004-07-16,29.6,31.7,29.6,30.83,13.0737,1774500
2004-07-19,30.87,31,30,30.65,12.9973,909700
2004-07-20,30.8,31.31,30.27,30.79,13.0567,926200
2004-07-21,31,31.09,28.32,28.8,12.2128,1868000
2004-07-22,28.7,29.03,27.47,28.08,11.9075,1450400
2004-07-23,27.94,28,27.51,27.88,11.8227,626200
2004-07-26,27.58,27.92,26.6,27.2,11.5343,893000
2004-07-27,27.16,28.37,26.57,28.2,11.9584,669400
2004-07-28,28.45,28.75,27.79,28.08,11.9075,676000
2004-07-29,28.66,29.12,27.78,28.81,12.2171,965100
2004-07-30,28.95,29.59,28.95,29,12.2976,517400
2004-08-02,29.2,29.2,27.88,28.4,12.0432,828400
2004-08-03,28.46,28.79,27.9,28.07,11.9033,965900
2004-08-04,29.15,29.2,24.75,26.4,11.1951,3488700
2004-08-05,25.35,25.36,22.17,22.65,9.6049,5545900
2004-08-06,22.65,23.19,21.76,22.61,9.5879,2170300
2004-08-09,22.75,23.83,22.04,23.5,9.9653,2020900
2004-08-10,23.5,23.64,22.84,23.25,9.8593,1315100
2004-08-11,23.05,23.05,22.13,22.52,9.5498,1476500
2004-08-12,22.55,23.44,22.54,23.08,9.7872,1263700
2004-08-13,23.08,24.2,23.08,23.75,10.0713,1344300
2004-08-16,23.8,24.08,23.48,23.62,10.0162,906200
2004-08-17,23.72,23.72,22.4,22.41,9.5031,1342000
2004-08-18,22.41,23.45,22.4,23.41,9.9272,1395100
2004-08-19,23.61,24.59,23.59,24.18,10.2537,1275900
2004-08-20,24.25,24.49,23.35,23.52,9.9738,1221700
2004-08-23,23.47,23.86,23.25,23.31,9.8848,855100
2004-08-24,23.4,23.44,22.75,23.02,9.7618,804800
2004-08-25,23.1,23.35,22.72,23.3,9.8805,926300
2004-08-26,23.25,23.38,22.73,23.07,9.783,1137200
2004-08-27,23.24,23.78,23.13,23.71,10.0544,547100
2004-08-30,23.75,23.75,22.76,23.24,9.8551,774100
2004-08-31,23.24,23.75,23.02,23.68,10.0417,727800
2004-09-01,23.58,24.59,23.54,24.31,10.3088,1272100
2004-09-02,24.5,24.69,24.18,24.35,10.3258,950200
2004-09-03,24.4,24.55,24.1,24.25,10.2834,582100
2004-09-07,24,24.71,23.4,24.67,10.4615,1083200
2004-09-08,24.67,24.83,24.32,24.5,10.3894,810700
2004-09-09,24.51,25.91,24.51,25.83,10.9534,1005600
2004-09-10,26.71,26.71,24.93,25.17,10.6735,889400
2004-09-13,25.7,26.06,25.558,25.95,11.0043,499900
2004-09-14,26.1,26.92,26.09,26.62,11.2884,833800
2004-09-15,28,28,27.2,27.37,11.6064,2136200
2004-09-16,27.37,27.73,27,27.56,11.687,949400
2004-09-17,27.9,27.95,27.6,27.81,11.793,636600
2004-09-20,28,28.25,27.62,27.65,11.7252,540400
2004-09-21,27.72,29.87,27.72,29.85,12.6581,1395200
2004-09-22,29.98,29.99,28.85,28.92,12.2637,1363500
2004-09-23,28.95,29.47,28.33,29.23,12.3952,1216700
2004-09-24,29.43,30.16,29.32,29.85,12.6581,905200
2004-09-27,29.95,30.19,29.2,29.25,12.4037,889000
2004-09-28,30,30.35,29.64,29.91,12.6835,1088500
2004-09-29,29.8,29.95,28.04,28.43,12.0559,1760600
2004-09-30,28.47,29.73,28.46,29.53,12.5224,907100
2004-10-01,29.53,30.1,29.34,30.1,12.7641,844800
2004-10-04,30.35,30.61,30.03,30.17,12.7938,780500
2004-10-05,31.7,33.61,31.4,32.73,13.8794,2519900
2004-10-06,32.78,34.25,32.78,33.53,14.2186,1936900
2004-10-07,33.9,34.65,32.09,32.18,13.6461,1633300
2004-10-08,32.38,32.43,30.64,31.38,13.3069,1952700
2004-10-11,31.5,31.67,30.25,30.69,13.0143,1976400
2004-10-12,30.77,31.7,30.5,30.86,13.0864,1289900
2004-10-13,30.87,30.87,28.2,28.81,12.2171,2203500
2004-10-14,28.81,30.03,28.75,29.56,12.5351,1325700
2004-10-15,29.75,29.81,28.18,28.8,12.2128,1320800
2004-10-18,28.81,29.44,28.16,28.23,11.9711,872400
2004-10-19,28.23,28.9,27.85,28.28,11.9923,956200
2004-10-20,28.5,29.88,28.3,29.82,12.6454,1429900
2004-10-21,30.06,30.34,29.5,30,12.7217,1031500
2004-10-22,30.55,31.38,30.5,30.75,13.0397,1037300
2004-10-25,30.85,30.9,30.04,30.45,12.9125,619400
2004-10-26,30.6,31.51,30.13,31.42,13.3239,1536700
2004-10-27,31.61,31.99,30.5,30.88,13.0949,1110800
2004-10-28,30.65,30.94,29.55,29.8,12.6369,1081200
2004-10-29,29.86,30.69,29.86,30.28,12.8404,754900
2004-11-01,30.65,31.05,29.54,30,12.7217,1047600
2004-11-02,29.85,30.34,29.6,29.64,12.569,680100
2004-11-03,30.64,30.99,29.94,30.58,12.9677,910600
2004-11-04,29.2,30.1,29.01,29.31,12.4291,1619200
2004-11-05,29.35,29.99,28.84,29.13,12.3528,1058300
2004-11-08,28.73,28.98,27.75,28.25,11.9796,1041300
2004-11-09,28.25,29.25,28.07,29.1,12.34,1057700
