,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,16.587,16.667,16.5,16.5,16.5,58200
1,1998-01-02,16.587,16.92,16.54,16.833,16.833,76601
2,1998-01-05,16.92,17.54,16.92,17.46,17.46,104400
3,1998-01-06,17.293,17.42,16.92,16.92,16.92,35700
4,1998-01-07,16.92,17.253,16.833,17.127,17.127,87600
5,1998-01-08,17.207,17.707,16.127,16.42,16.42,97200
6,1998-01-09,16.587,16.627,15.667,16.0,16.0,62400
7,1998-01-12,15.92,15.96,15.627,15.833,15.833,35501
8,1998-01-13,15.92,16.253,15.92,16.04,16.04,34901
9,1998-01-14,16.04,16.04,15.0,15.587,15.587,140400
10,1998-01-15,15.5,15.793,15.5,15.627,15.627,46200
11,1998-01-16,15.793,15.833,15.46,15.587,15.587,49001
12,1998-01-20,15.587,15.753,15.253,15.5,15.5,38801
13,1998-01-21,15.5,16.04,15.5,15.627,15.627,41201
14,1998-01-22,15.54,15.833,15.54,15.833,15.833,54401
15,1998-01-23,15.873,15.873,15.707,15.873,15.873,49901
16,1998-01-26,15.92,15.92,15.253,15.373,15.373,24701
17,1998-01-27,15.54,15.873,15.5,15.627,15.627,23700
18,1998-01-28,15.46,16.333,15.46,16.333,16.333,49601
19,1998-01-29,16.333,16.92,16.167,16.253,16.253,96701
20,1998-01-30,16.207,16.5,16.127,16.293,16.293,19601
21,1998-02-02,16.333,16.92,16.293,16.833,16.833,87900
22,1998-02-03,16.667,17.167,16.667,17.04,17.04,38100
23,1998-02-04,17.04,17.333,16.793,17.207,17.207,53201
24,1998-02-05,17.373,18.0,17.373,17.873,17.873,129101
25,1998-02-06,17.873,18.0,17.373,17.54,17.54,97301
26,1998-02-09,17.373,18.0,17.373,18.0,18.0,46500
27,1998-02-10,17.873,18.167,17.46,17.96,17.96,84300
28,1998-02-11,17.793,18.167,17.627,18.0,18.0,81701
29,1998-02-12,17.5,17.873,17.5,17.873,17.873,45600
30,1998-02-13,18.0,18.0,17.92,18.0,18.0,11501
31,1998-02-17,17.92,17.92,17.333,17.587,17.587,58800
32,1998-02-18,17.753,17.833,17.54,17.627,17.627,30401
33,1998-02-19,17.5,17.5,16.96,17.127,17.127,24101
34,1998-02-20,17.207,17.207,16.627,16.667,16.667,33701
35,1998-02-23,16.667,17.253,16.667,17.167,17.167,40301
36,1998-02-24,17.127,17.253,17.087,17.167,17.167,35700
37,1998-02-25,17.253,17.5,17.253,17.373,17.373,38801
38,1998-02-26,17.42,17.667,17.42,17.5,17.5,16800
39,1998-02-27,17.46,17.667,17.253,17.5,17.5,33701
40,1998-03-02,17.5,17.667,17.253,17.333,17.333,24000
41,1998-03-03,17.253,17.587,17.253,17.587,17.587,24701
42,1998-03-04,17.587,17.873,17.46,17.873,17.873,57300
43,1998-03-05,17.873,18.293,17.873,17.96,17.96,125400
44,1998-03-06,18.0,19.333,18.0,18.627,18.627,197100
45,1998-03-09,19.0,19.42,18.92,19.253,19.253,129600
46,1998-03-10,19.42,21.333,19.253,20.833,20.833,345300
47,1998-03-11,21.0,21.0,20.0,20.667,20.667,206400
