,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1972-06-01,81.6864,81.8112,81.1248,81.6864,0.9257,825600
1,1972-06-02,82.5648,83.376,82.5648,83.1888,0.9427,2496000
2,1972-06-05,83.1888,84.1248,83.0016,83.3136,0.9441,960000
3,1972-06-06,83.3136,83.5008,79.8144,79.8144,0.9045,1824000
4,1972-06-07,79.8144,80.1888,79.5024,79.5024,0.9009,604800
5,1972-06-08,79.5024,80.5008,79.4352,79.6272,0.9023,1180800
6,1972-06-09,79.6272,79.752,78.624,79.248,0.898,451200
7,1972-06-12,79.5648,79.8144,79.5648,79.752,0.9037,153600
8,1972-06-13,80.1264,83.064,80.1264,83.064,0.9413,700800
9,1972-06-14,83.5008,84.8736,83.5008,84.4992,0.9575,787200
10,1972-06-15,84.4992,85.5024,84.1248,84.4368,0.9568,787200
11,1972-06-16,84.1872,84.1872,83.1264,83.8752,0.9505,576000
12,1972-06-19,83.5632,83.5632,83.0016,83.5008,0.9462,720000
13,1972-06-20,84.1248,84.8736,84.1248,84.8736,0.9618,460800
14,1972-06-21,84.8736,85.6272,84.3744,84.3744,0.9561,1872000
15,1972-06-22,84.3744,84.4992,84.0,84.4368,0.9568,604800
16,1972-06-23,84.624,85.4352,84.624,85.3728,0.9674,787200
17,1972-06-26,85.248,85.248,84.8112,85.248,0.966,470400
18,1972-06-27,85.248,85.5024,84.0,84.624,0.959,1008000
19,1972-06-28,84.4992,84.4992,84.0,84.0,0.9519,57600
20,1972-06-29,83.3136,83.3136,82.752,82.8768,0.9392,326400
21,1972-06-30,83.1888,84.8736,83.1888,84.3744,0.9561,441600
22,1972-07-03,84.2496,84.2496,83.7504,84.0,0.9519,422400
23,1972-07-05,84.0,87.2496,83.8752,86.6256,0.9816,1065600
24,1972-07-06,87.0,87.8736,87.0,87.7488,0.9944,1008000
25,1972-07-07,87.7488,89.0016,87.624,89.0016,1.0086,1094400
26,1972-07-10,88.6272,88.6272,87.0,87.0,0.9859,1344000
27,1972-07-11,87.0,87.6864,86.6256,87.0,0.9859,739200
28,1972-07-12,87.0,87.6864,86.5008,86.5008,0.9802,604800
29,1972-07-13,86.5008,86.5008,85.6272,85.8768,0.9732,422400
30,1972-07-14,86.0016,86.688,86.0016,86.0016,0.9746,364800
31,1972-07-17,86.0016,86.0016,83.6256,83.6256,0.9476,547200
32,1972-07-18,83.1264,83.1264,81.3744,82.4352,0.9342,1161600
