,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1980-03-17,21.5,24.25,21.5,21.5,1.3237,26100
1,1980-03-18,21.5,21.5,20.876,21.5,1.3237,38500
2,1980-03-19,21.75,22.25,21.626,21.75,1.3391,133000
3,1980-03-20,22.0,22.0,21.376,22.0,1.3545,46300
4,1980-03-21,22.0,22.876,22.0,22.0,1.3545,32100
5,1980-03-24,22.0,22.0,21.75,22.0,1.3545,30300
6,1980-03-25,22.75,22.75,22.0,22.75,1.4007,5400
7,1980-03-26,23.376,23.376,22.876,23.376,1.4392,7400
8,1980-03-27,23.626,24.0,23.126,23.626,1.4546,52500
9,1980-03-28,24.876,24.876,23.75,24.876,1.5316,8900
10,1980-03-31,25.25,25.25,24.5,25.25,1.5546,65800
11,1980-04-01,24.876,25.126,24.876,24.876,1.5316,6300
12,1980-04-02,23.876,24.876,23.876,23.876,1.47,6900
13,1980-04-03,23.126,23.876,23.126,23.126,1.4238,44200
14,1980-04-07,22.876,23.25,22.876,22.876,1.4084,61800
15,1980-04-08,22.25,22.876,22.126,22.25,1.3699,18600
16,1980-04-09,22.626,23.0,22.376,22.626,1.3931,15900
17,1980-04-10,22.626,23.0,22.626,22.626,1.3931,6200
18,1980-04-11,23.0,23.5,22.5,23.0,1.4161,19500
19,1980-04-14,22.876,23.126,22.75,22.876,1.4084,8100
20,1980-04-15,22.626,22.876,22.5,22.626,1.3931,13300
21,1980-04-16,22.626,23.0,22.626,22.626,1.3931,12000
22,1980-04-17,22.376,22.876,22.376,22.376,1.3776,15500
23,1980-04-18,22.5,22.75,22.5,22.5,1.3853,3400
24,1980-04-21,22.25,22.876,22.25,22.25,1.3699,23800
25,1980-04-22,22.0,22.5,21.5,22.0,1.3545,38300
26,1980-04-23,21.5,22.25,21.5,21.5,1.3237,44000
27,1980-04-24,21.0,21.626,21.0,21.0,1.2929,18600
28,1980-04-25,21.876,21.876,20.626,21.876,1.3469,17300
29,1980-04-28,22.5,22.75,22.25,22.5,1.3853,15000
30,1980-04-29,23.0,23.376,22.5,23.0,1.4161,77500
31,1980-04-30,23.0,23.5,22.626,23.0,1.4161,26000
32,1980-05-01,22.626,23.0,22.626,22.626,1.3931,8800
33,1980-05-02,22.626,22.75,22.376,22.626,1.3931,13200
34,1980-05-05,22.5,22.75,22.126,22.5,1.3853,13200
35,1980-05-06,22.75,22.876,22.75,22.75,1.4007,13800
36,1980-05-07,23.25,23.5,23.0,23.25,1.4315,9800
37,1980-05-08,23.626,23.876,23.25,23.626,1.4546,21800
38,1980-05-09,23.25,23.876,23.25,23.25,1.4315,62900
39,1980-05-12,23.126,23.5,22.876,23.126,1.4238,7300
40,1980-05-13,22.75,22.876,22.376,22.75,1.4007,6400
41,1980-05-14,23.126,23.25,22.75,23.126,1.4238,50500
42,1980-05-15,23.126,23.626,23.0,23.126,1.4238,14800
43,1980-05-16,23.0,23.25,23.0,23.0,1.4161,12300
44,1980-05-19,23.376,23.876,23.25,23.376,1.4392,8600
45,1980-05-20,23.626,24.0,23.626,23.626,1.4546,25100
46,1980-05-21,23.5,23.876,23.5,23.5,1.4468,7000
47,1980-05-22,23.876,23.876,23.5,23.876,1.47,20000
48,1980-05-23,23.25,23.876,23.25,23.25,1.4315,5400
49,1980-05-27,24.75,24.75,23.5,24.75,1.5238,16800
50,1980-05-28,24.876,24.876,24.5,24.876,1.5316,27000
51,1980-05-29,24.0,25.126,24.0,24.0,1.4776,39200
52,1980-05-30,24.5,25.0,24.126,24.5,1.5084,28100
53,1980-06-02,24.626,24.626,24.25,24.626,1.5162,44100
54,1980-06-03,24.626,24.876,24.126,24.626,1.5162,27400
55,1980-06-04,24.626,24.75,24.126,24.626,1.5162,13900
56,1980-06-05,24.75,25.25,24.75,24.75,1.5238,31700
57,1980-06-06,24.25,24.75,24.126,24.25,1.493,37400
58,1980-06-09,23.626,23.75,23.25,23.626,1.4546,18000
59,1980-06-10,23.126,23.626,23.126,23.126,1.4238,14300
60,1980-06-11,23.0,23.376,23.0,23.0,1.4161,66900
61,1980-06-12,24.0,24.0,22.75,24.0,1.4776,77500
62,1980-06-13,24.126,24.376,23.876,24.126,1.4854,12000
63,1980-06-16,24.75,24.876,24.376,24.75,1.5238,24900
64,1980-06-17,24.25,24.876,24.25,24.25,1.493,8800
65,1980-06-18,24.126,24.376,23.876,24.126,1.4854,9400
66,1980-06-19,23.5,24.25,23.5,23.5,1.4468,16400
67,1980-06-20,23.75,24.126,23.25,23.75,1.4623,72600
68,1980-06-23,23.876,24.25,23.75,23.876,1.47,7400
69,1980-06-24,24.0,24.376,23.876,24.0,1.4776,18100
70,1980-06-25,24.5,24.5,24.25,24.5,1.5084,12000
71,1980-06-26,24.626,24.876,24.5,24.626,1.5162,12100
72,1980-06-27,24.876,25.126,24.75,24.876,1.5316,22600
73,1980-06-30,24.876,25.0,24.626,24.876,1.5316,28200
74,1980-07-01,24.626,24.876,24.5,24.626,1.5162,28900
75,1980-07-02,24.75,25.0,24.5,24.75,1.5238,12500
76,1980-07-03,25.376,25.376,24.876,25.376,1.5623,29600
77,1980-07-07,25.5,25.626,25.126,25.5,1.57,20200
78,1980-07-08,26.0,26.126,25.626,26.0,1.6008,28100
79,1980-07-09,27.25,27.876,25.876,27.25,1.6777,46800
80,1980-07-10,26.5,27.126,26.5,26.5,1.6315,24800
81,1980-07-11,26.876,26.876,26.25,26.876,1.6547,24100
82,1980-07-14,28.0,28.126,26.626,28.0,1.7239,24300
83,1980-07-15,27.5,28.0,27.126,27.5,1.6931,64100
84,1980-07-16,27.25,27.626,27.0,27.25,1.6777,33600
85,1980-07-17,27.75,27.75,27.25,27.75,1.7085,20900
86,1980-07-18,27.75,27.876,27.5,27.75,1.7085,23300
87,1980-07-21,27.626,27.75,27.376,27.626,1.7009,29800
88,1980-07-22,26.876,27.626,26.75,26.876,1.6547,20900
89,1980-07-23,26.0,27.0,26.0,26.0,1.6008,9700
90,1980-07-24,26.25,26.5,26.0,26.25,1.6162,22800
91,1980-07-25,26.5,26.5,26.126,26.5,1.6315,14300
92,1980-07-28,26.75,27.0,26.25,26.75,1.647,63200
93,1980-07-29,26.75,27.0,26.75,26.75,1.647,31200
94,1980-07-30,27.376,27.376,27.0,27.376,1.6855,40800
95,1980-07-31,27.126,27.376,27.126,27.126,1.6701,7900
96,1980-08-01,28.0,28.0,27.0,28.0,1.7239,97200
97,1980-08-04,29.5,29.5,27.876,29.5,1.8162,34800
98,1980-08-05,29.0,29.376,29.0,29.0,1.7855,48300
99,1980-08-06,28.876,29.126,28.876,28.876,1.7778,73100
100,1980-08-07,28.5,29.0,28.5,28.5,1.7547,87800
101,1980-08-08,27.876,29.0,27.876,27.876,1.7163,34600
102,1980-08-11,27.876,28.376,27.626,27.876,1.7163,12900
103,1980-08-12,28.126,28.376,27.626,28.126,1.7317,79400
104,1980-08-13,28.25,28.626,28.126,28.25,1.7393,15300
105,1980-08-14,27.876,28.126,27.876,27.876,1.7163,33800
106,1980-08-15,27.75,28.0,27.75,27.75,1.7085,5900
107,1980-08-18,27.626,28.0,27.626,27.626,1.7009,14900
108,1980-08-19,28.126,28.376,27.626,28.126,1.7317,99700
109,1980-08-20,28.5,28.626,28.25,28.5,1.7547,25200
110,1980-08-21,28.25,28.626,28.126,28.25,1.7393,67000
111,1980-08-22,28.126,28.626,28.126,28.126,1.7317,24500
112,1980-08-25,28.126,28.25,27.876,28.126,1.7317,30800
113,1980-08-26,28.126,28.5,28.0,28.126,1.7317,115900
114,1980-08-27,27.75,28.376,27.626,27.75,1.7085,15400
115,1980-08-28,26.626,27.75,26.626,26.626,1.6393,9600
116,1980-08-29,26.5,26.876,25.876,26.5,1.6315,12400
117,1980-09-02,26.376,26.75,26.376,26.376,1.6239,32600
118,1980-09-03,27.376,27.376,26.126,27.376,1.6855,43500
119,1980-09-04,27.376,27.75,27.25,27.376,1.6855,24300
120,1980-09-05,27.126,27.5,27.0,27.126,1.6701,20500
121,1980-09-08,26.626,27.25,26.626,26.626,1.6393,7300
122,1980-09-09,26.0,26.25,25.75,26.0,1.6008,15100
123,1980-09-10,26.0,26.376,26.0,26.0,1.6008,40200
124,1980-09-11,25.876,26.126,25.876,25.876,1.5931,81200
125,1980-09-12,26.25,26.376,26.126,26.25,1.6162,84200
126,1980-09-15,25.626,26.0,25.5,25.626,1.5778,53500
