,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,88.12,91.0,88.12,90.12,90.12,2240500
1,1998-01-02,89.5,89.76,86.88,89.5,89.5,1540900
2,1998-01-05,89.5,91.0,89.12,91.0,91.0,1498200
3,1998-01-06,90.26,91.26,89.76,91.0,91.0,1903600
4,1998-01-07,90.0,90.26,88.62,89.12,89.12,1138400
5,1998-01-08,89.0,89.38,87.0,88.76,88.76,1186600
6,1998-01-09,89.0,90.12,85.12,86.0,86.0,1643300
7,1998-01-12,85.0,88.38,84.76,88.26,88.26,1033900
8,1998-01-13,90.0,90.0,87.76,89.38,89.38,1082200
9,1998-01-14,89.88,89.88,87.38,89.76,89.76,830400
10,1998-01-15,89.5,91.0,88.88,90.76,90.76,869200
11,1998-01-16,91.62,91.88,89.0,89.26,89.26,1057700
12,1998-01-20,89.38,91.62,88.5,91.38,91.38,1082400
13,1998-01-21,91.12,91.12,87.88,89.38,89.38,1197700
14,1998-01-22,89.0,89.26,86.38,88.0,88.0,1052900
15,1998-01-23,87.5,89.5,84.76,88.62,88.62,1416600
16,1998-01-26,87.76,88.0,86.76,87.62,87.62,1027700
17,1998-01-27,87.62,88.76,86.5,86.76,86.76,1830800
18,1998-01-28,87.26,88.12,86.62,87.76,87.76,1025500
19,1998-01-29,88.0,89.5,87.88,88.88,88.88,1922900
20,1998-01-30,89.0,89.12,88.5,88.76,88.76,1300300
21,1998-02-02,89.0,90.26,89.0,89.88,89.88,1125100
22,1998-02-03,89.38,92.12,89.26,91.88,91.88,1668400
23,1998-02-04,91.88,93.62,91.26,92.0,92.0,1213400
24,1998-02-05,91.88,92.26,90.88,92.12,92.12,863600
25,1998-02-06,92.0,92.76,91.5,92.76,92.76,828600
26,1998-02-09,92.38,92.5,91.5,92.0,92.0,497800
27,1998-02-10,92.0,92.76,91.62,92.5,92.5,900200
28,1998-02-11,93.0,93.88,90.5,91.0,91.0,909400
29,1998-02-12,91.0,93.88,90.5,93.62,93.62,879900
30,1998-02-13,93.62,93.88,92.76,93.88,93.88,992300
31,1998-02-17,94.0,96.26,94.0,94.88,94.88,983500
32,1998-02-18,95.12,96.88,94.76,96.62,96.62,903800
33,1998-02-19,96.26,97.62,95.5,97.5,97.5,1268700
34,1998-02-20,96.76,96.88,94.12,95.62,95.62,838400
35,1998-02-23,96.0,96.12,94.0,94.62,94.62,786100
36,1998-02-24,95.12,97.12,94.5,97.12,97.12,1137500
37,1998-02-25,97.0,98.12,96.26,96.62,96.62,827100
38,1998-02-26,96.62,99.0,95.5,99.0,99.0,763200
39,1998-02-27,99.0,101.5,98.76,101.26,101.26,1159900
40,1998-03-02,100.0,101.5,98.5,101.5,101.5,1152200
41,1998-03-03,102.0,106.0,102.0,104.76,104.76,9241100
42,1998-03-04,104.76,106.62,104.26,105.88,105.88,2636400
43,1998-03-05,104.0,105.5,103.76,104.88,104.88,1412900
44,1998-03-06,105.12,106.5,104.62,106.0,106.0,1962700
45,1998-03-09,105.0,105.88,103.76,104.5,104.5,1524800
46,1998-03-10,104.88,106.26,104.88,105.5,105.5,1148600
47,1998-03-11,105.76,106.0,105.12,105.5,105.5,702000
48,1998-03-12,107.26,108.5,106.76,107.26,107.26,1593800
49,1998-03-13,107.88,109.26,107.26,108.76,108.76,3569300
50,1998-03-16,109.5,112.62,109.5,112.0,112.0,1603500
51,1998-03-17,112.62,112.88,110.38,111.26,111.26,1691400
52,1998-03-18,109.5,110.62,108.88,110.0,110.0,1567800
53,1998-03-19,109.5,111.0,109.26,110.88,110.88,697400
54,1998-03-20,112.0,113.88,111.0,113.0,113.0,1732400
55,1998-03-23,112.62,113.38,111.38,111.62,111.62,996700
56,1998-03-24,111.88,112.12,111.12,111.26,111.26,1412900
57,1998-03-25,112.26,114.88,111.12,112.76,112.76,1832000
58,1998-03-26,112.88,114.0,110.26,112.12,112.12,1308300
59,1998-03-27,113.5,114.38,109.5,110.62,110.62,993900
60,1998-03-30,110.88,111.0,107.0,107.5,107.5,1292000
61,1998-03-31,108.0,110.5,108.0,109.26,109.26,1265500
62,1998-04-01,109.0,112.88,108.0,112.26,112.26,1293900
63,1998-04-02,111.26,112.38,110.26,111.88,111.88,866800
64,1998-04-03,111.88,111.88,107.0,108.0,108.0,1606700
65,1998-04-06,108.0,108.5,107.12,107.62,107.62,2165900
66,1998-04-07,107.12,107.38,105.76,106.12,106.12,1309500
67,1998-04-08,105.5,106.88,105.38,106.62,106.62,1171500
68,1998-04-09,107.12,108.62,106.76,108.0,108.0,725600
69,1998-04-13,108.26,108.26,104.88,105.5,105.5,897600
70,1998-04-14,106.26,108.5,106.0,108.0,108.0,1409300
71,1998-04-15,108.0,109.88,107.0,109.62,109.62,878800
72,1998-04-16,109.0,109.0,106.62,107.5,107.5,1166900
73,1998-04-17,107.5,107.5,106.38,106.62,106.62,871600
74,1998-04-20,108.0,111.12,107.5,110.26,110.26,1179000
75,1998-04-21,112.0,113.5,111.76,112.26,112.26,1256000
76,1998-04-22,112.26,114.26,112.26,113.12,113.12,879700
77,1998-04-23,112.5,114.26,111.0,112.38,112.38,908600
78,1998-04-24,108.0,112.26,108.0,111.5,111.5,1930300
79,1998-04-27,110.0,110.12,105.76,107.76,107.76,1244800
80,1998-04-28,108.76,108.88,104.0,105.12,105.12,1441100
81,1998-04-29,105.62,107.62,104.76,105.38,105.38,1046400
82,1998-04-30,106.38,110.5,106.0,109.26,109.26,1150400
83,1998-05-01,109.76,111.76,109.26,111.38,111.38,981000
84,1998-05-04,110.88,112.76,108.5,109.76,109.76,1133100
85,1998-05-05,108.76,109.76,107.26,108.0,108.0,894100
86,1998-05-06,106.26,107.0,105.38,105.76,105.76,1564800
87,1998-05-07,105.62,105.76,103.12,103.88,103.88,990300
88,1998-05-08,104.38,104.76,103.62,103.76,103.76,1908400
89,1998-05-11,103.88,104.5,102.88,103.12,103.12,854300
90,1998-05-12,103.0,106.5,103.0,106.5,106.5,2289400
91,1998-05-13,106.5,107.76,105.76,106.12,106.12,1195900
92,1998-05-14,106.62,106.88,105.12,106.0,106.0,1020100
93,1998-05-15,106.5,107.12,105.12,105.76,105.76,1162300
94,1998-05-18,107.5,109.0,106.5,108.38,108.38,1740400
95,1998-05-19,109.12,112.12,108.5,111.26,111.26,1475900
96,1998-05-20,112.5,113.5,111.5,113.38,113.38,1110000
97,1998-05-21,113.5,114.26,111.62,112.88,112.88,1226300
98,1998-05-22,113.38,113.38,111.38,111.38,111.38,538700
99,1998-05-26,108.76,108.76,105.26,107.5,107.5,5424000
100,1998-05-27,106.38,107.88,105.0,107.76,107.76,2903400
101,1998-05-28,107.88,111.62,105.62,111.62,111.62,3847100
102,1998-05-29,111.76,112.0,110.5,110.76,110.76,2087300
103,1998-06-01,110.5,111.0,108.0,109.0,109.0,1944200
104,1998-06-02,110.0,110.0,108.5,108.76,108.76,1885900
105,1998-06-03,109.0,109.12,105.62,106.12,106.12,1516900
106,1998-06-04,106.12,108.12,105.0,108.0,108.0,1463200
