,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2016-03-23,41.4061,41.4061,41.2075,41.2075,41.2075,201
1,2016-03-24,40.582,40.582,40.582,40.582,40.582,101
2,2016-03-30,41.1877,41.704,41.1777,41.704,41.704,3751
3,2016-03-31,41.704,41.704,41.426,41.426,41.426,604
4,2016-04-01,40.8004,40.8004,40.8004,40.8004,40.8004,101
5,2016-04-04,40.4827,41.8629,40.4628,40.4628,40.4628,957
6,2016-04-05,40.2146,41.7338,40.2146,40.8004,40.8004,1712
7,2016-04-06,41.0586,41.704,40.7706,41.5054,41.5054,721
8,2016-04-07,41.7934,41.8331,41.2671,41.2671,41.2671,5959
9,2016-04-08,41.3167,44.0374,41.0302,43.7098,43.7098,3627838
10,2016-04-11,43.3324,43.3721,40.6812,41.1678,41.1678,4123927
11,2016-04-12,40.9593,41.3664,39.9465,41.3565,41.3565,3638840
12,2016-04-13,41.0387,42.3792,41.0387,41.5054,41.5054,4456798
13,2016-04-14,41.6941,42.5579,41.6146,41.9324,41.9324,2543924
14,2016-04-15,41.5253,41.7536,40.8998,41.704,41.704,2360721
15,2016-04-18,41.0983,42.2402,41.0983,42.121,42.121,2559765
16,2016-04-19,42.2501,43.0544,41.9522,42.6969,42.6969,1656225
17,2016-04-20,42.5579,43.2629,42.4487,42.4586,42.4586,2283438
18,2016-04-21,46.0233,46.2021,43.68,45.4077,45.4077,3294176
19,2016-04-22,45.1595,45.8545,43.7793,44.7424,44.7424,2415847
20,2016-04-25,44.5736,44.5835,43.7991,43.9481,43.9481,2122493
21,2016-04-26,43.8984,44.5736,43.5409,43.6402,43.6402,2196556
22,2016-04-27,43.8786,43.8984,41.4557,41.8629,41.8629,1289968
23,2016-04-28,41.8132,42.7863,41.5451,41.5948,41.5948,1456095
24,2016-04-29,41.416,41.5948,40.1848,40.5124,40.5124,1978337
25,2016-05-02,40.2841,40.5323,39.5989,39.9862,39.9862,1464117
26,2016-05-03,39.1422,40.1848,39.1422,39.8372,39.8372,1550143
27,2016-05-04,38.5762,38.6258,36.7789,37.1265,37.1265,4548211
28,2016-05-05,37.1364,37.901,36.8188,37.2258,37.2258,1129592
29,2016-05-06,36.7392,37.0868,36.0144,36.1236,36.1236,1356499
