,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1984-11-05,10.75,11.0,10.5,10.75,0.6292,13200
1,1984-11-06,10.75,11.0,10.5,10.75,0.6292,15800
2,1984-11-07,10.875,11.25,10.5,10.875,0.6365,22000
3,1984-11-08,11.0,11.25,10.75,11.0,0.6439,9000
4,1984-11-09,11.0,11.25,10.75,11.0,0.6439,15000
5,1984-11-13,11.0,11.25,10.75,11.0,0.6439,3800
6,1984-11-14,11.0,11.25,10.75,11.0,0.6439,1600
7,1984-11-15,11.0,11.25,10.75,11.0,0.6439,9000
8,1984-11-16,11.0,11.25,10.75,11.0,0.6439,1000
9,1984-11-19,11.0,11.25,10.75,11.0,0.6439,400
10,1984-11-20,11.0,11.25,10.75,11.0,0.6439,3000
11,1984-11-26,11.0,11.25,10.75,11.0,0.6439,5000
12,1984-11-27,11.0,11.25,10.75,11.0,0.6439,200
13,1984-11-28,11.0,11.25,10.75,11.0,0.6439,1000
14,1984-11-29,10.875,11.0,10.75,10.875,0.6365,5400
15,1984-11-30,10.75,11.0,10.5,10.75,0.6292,16400
16,1984-12-03,10.5,10.75,10.25,10.5,0.6146,1800
17,1984-12-04,10.5,10.75,10.25,10.5,0.6146,3800
18,1984-12-05,10.5,10.75,10.25,10.5,0.6146,26000
19,1984-12-06,10.5,10.75,10.25,10.5,0.6146,3600
20,1984-12-07,10.5,10.75,10.25,10.5,0.6146,6600
21,1984-12-10,10.5,10.75,10.25,10.5,0.6146,2400
22,1984-12-11,10.5,10.75,10.25,10.5,0.6146,5000
23,1984-12-12,10.5,10.75,10.25,10.5,0.6146,4000
24,1984-12-13,10.5,10.75,10.25,10.5,0.6146,1400
25,1984-12-14,10.5,10.75,10.25,10.5,0.6146,800
26,1984-12-17,10.5,10.75,10.25,10.5,0.6146,1000
27,1984-12-18,10.5,10.75,10.25,10.5,0.6146,29400
28,1984-12-19,10.5,10.75,10.25,10.5,0.6146,10000
29,1984-12-20,10.5,10.625,10.375,10.5,0.6146,3000
30,1984-12-21,10.5,10.625,10.375,10.5,0.6146,400
31,1984-12-24,10.4375,10.5625,10.3125,10.4375,0.6109,2000
32,1984-12-26,10.4375,10.5625,10.3125,10.4375,0.6109,20000
33,1984-12-27,10.4375,10.5625,10.3125,10.4375,0.6109,10800
34,1984-12-28,10.4375,10.5625,10.3125,10.4375,0.6109,5000
35,1984-12-31,10.4375,10.5625,10.3125,10.4375,0.6109,1400
36,1985-01-03,10.5,10.625,10.375,10.5,0.6146,5600
37,1985-01-04,10.5625,10.6875,10.4375,10.5625,0.6183,21600
38,1985-01-07,10.5625,10.6875,10.4375,10.5625,0.6183,21600
39,1985-01-08,10.875,11.0,10.75,10.875,0.6365,6800
40,1985-01-09,10.875,11.0,10.75,10.875,0.6365,2200
41,1985-01-10,11.125,11.25,11.0,11.125,0.6512,17400
42,1985-01-11,11.1875,11.3125,11.0625,11.1875,0.6548,6800
43,1985-01-14,11.25,11.5,11.0,11.25,0.6585,3600
44,1985-01-15,11.5,11.75,11.25,11.5,0.6731,9200
45,1985-01-16,11.5,11.75,11.25,11.5,0.6731,9200
46,1985-01-17,11.5,11.75,11.25,11.5,0.6731,6800
47,1985-01-18,11.375,11.5,11.25,11.375,0.6658,8200
48,1985-01-22,11.25,11.75,11.25,11.25,0.6585,11400
49,1985-01-23,11.75,11.75,11.25,11.75,0.6878,800
50,1985-01-24,11.75,11.75,11.75,11.75,0.6878,1600
51,1985-01-28,11.5,12.0,11.5,11.5,0.6731,8200
52,1985-01-29,11.75,11.75,11.75,11.75,0.6878,6000
53,1985-01-30,11.75,12.0,11.75,11.75,0.6878,4200
54,1985-01-31,12.0,12.0,11.625,12.0,0.7024,3800
55,1985-02-01,11.75,11.875,11.625,11.75,0.6878,32800
56,1985-02-04,11.75,12.0,11.625,11.75,0.6878,25200
57,1985-02-06,12.0,12.0,12.0,12.0,0.7024,8000
58,1985-02-07,11.75,12.0,11.75,11.75,0.6878,1800
59,1985-02-08,12.0,12.0,12.0,12.0,0.7024,3600
60,1985-02-11,11.5,12.0,11.5,11.5,0.6731,600
61,1985-02-12,12.5,12.75,11.5,12.5,0.7317,19400
62,1985-02-13,12.5,13.0,12.25,12.5,0.7317,51200
63,1985-02-14,12.75,13.0,12.75,12.75,0.7463,76400
64,1985-02-15,12.625,12.75,12.25,12.625,0.739,31000
65,1985-02-19,12.75,12.75,12.25,12.75,0.7463,21600
66,1985-02-20,12.5,12.75,12.5,12.5,0.7317,11000
67,1985-02-21,12.75,12.75,12.5,12.75,0.7463,3200
68,1985-02-22,13.0,13.0,12.625,13.0,0.7609,39400
69,1985-02-25,13.0,13.25,13.0,13.0,0.7609,11000
70,1985-02-26,13.0,13.25,12.75,13.0,0.7609,26400
71,1985-02-27,13.0,13.25,13.0,13.0,0.7609,11200
72,1985-02-28,13.0,13.375,13.0,13.0,0.7609,7000
73,1985-03-01,13.25,13.25,13.0,13.25,0.7756,21800
74,1985-03-04,13.25,13.25,13.0,13.25,0.7756,5000
75,1985-03-05,13.0,13.25,12.875,13.0,0.7609,40600
76,1985-03-06,13.25,13.25,13.0,13.25,0.7756,3600
77,1985-03-07,13.0,13.0,12.75,13.0,0.7609,3800
78,1985-03-08,13.0,13.0,12.75,13.0,0.7609,2200
79,1985-03-11,12.875,13.0,12.75,12.875,0.7536,12200
80,1985-03-12,13.0,13.0,13.0,13.0,0.7609,800
81,1985-03-13,12.75,13.0,12.75,12.75,0.7463,1800
82,1985-03-14,13.0,13.0,13.0,13.0,0.7609,200
83,1985-03-15,12.75,13.0,12.75,12.75,0.7463,2400
84,1985-03-18,13.0,13.0,12.75,13.0,0.7609,1000
85,1985-03-19,13.0,13.0,13.0,13.0,0.7609,2200
86,1985-03-20,13.0,13.125,13.0,13.0,0.7609,5000
87,1985-03-21,12.875,13.375,12.875,12.875,0.7536,109400
88,1985-03-22,13.0,13.0,13.0,13.0,0.7609,27400
89,1985-03-26,13.0,13.25,12.875,13.0,0.7609,23200
90,1985-03-27,13.25,13.25,13.0,13.25,0.7756,1400
91,1985-03-28,13.25,13.25,13.25,13.25,0.7756,1400
92,1985-03-29,13.25,13.25,13.25,13.25,0.7756,200
93,1985-04-01,13.25,13.5,13.25,13.25,0.7756,5400
94,1985-04-02,13.5,13.5,13.375,13.5,0.7902,12600
95,1985-04-03,13.25,13.5,13.25,13.25,0.7756,800
96,1985-04-04,13.375,13.5,13.25,13.375,0.7829,9400
97,1985-04-08,13.5,13.5,13.5,13.5,0.8039,7400
98,1985-04-09,13.5,13.5,13.25,13.5,0.8039,4400
99,1985-04-10,13.75,13.75,13.25,13.75,0.8188,25800
100,1985-04-11,14.0,14.0,13.5,14.0,0.8337,16000
101,1985-04-12,13.5,13.625,13.5,13.5,0.8039,10200
102,1985-04-15,13.75,13.75,13.5,13.75,0.8188,6400
103,1985-04-16,14.0,14.0,14.0,14.0,0.8337,200
104,1985-04-17,13.75,14.0,13.75,13.75,0.8188,6400
105,1985-04-18,13.75,13.875,13.5,13.75,0.8188,27600
106,1985-04-19,14.0,14.0,14.0,14.0,0.8337,4000
107,1985-04-22,14.0,14.0,13.5,14.0,0.8337,4000
108,1985-04-23,13.5,14.0,13.5,13.5,0.8039,7800
109,1985-04-24,13.5,14.0,13.5,13.5,0.8039,10800
110,1985-04-25,14.0,14.0,13.5,14.0,0.8337,6600
111,1985-04-26,13.5,14.0,13.5,13.5,0.8039,2800
112,1985-04-29,13.875,13.875,13.875,13.875,0.8262,1000
113,1985-04-30,13.875,14.0,13.875,13.875,0.8262,4600
114,1985-05-01,13.875,13.875,13.75,13.875,0.8262,14800
115,1985-05-02,13.875,13.875,13.5,13.875,0.8262,4800
116,1985-05-03,13.875,13.875,13.5,13.875,0.8262,8000
117,1985-05-06,13.5,13.75,13.5,13.5,0.8039,3200
118,1985-05-07,13.875,13.875,13.875,13.875,0.8262,800
119,1985-05-08,13.875,13.875,13.5,13.875,0.8262,15200
120,1985-05-09,13.625,13.875,13.625,13.625,0.8113,22600
121,1985-05-10,13.875,13.875,13.25,13.875,0.8262,3000
122,1985-05-13,13.25,13.25,13.25,13.25,0.789,1200
123,1985-05-14,13.75,13.875,13.25,13.75,0.8188,2000
124,1985-05-15,13.75,13.75,13.75,13.75,0.8188,200
125,1985-05-16,13.625,13.75,13.25,13.625,0.8113,10800
126,1985-05-17,13.625,13.625,13.625,13.625,0.8113,6800
127,1985-05-20,13.375,13.5,13.25,13.375,0.7964,27400
128,1985-05-21,13.625,13.625,13.625,13.625,0.8113,400
129,1985-05-22,13.625,13.625,13.25,13.625,0.8113,1400
130,1985-05-23,13.625,13.625,13.5,13.625,0.8113,1400
131,1985-05-24,13.5,13.625,13.5,13.5,0.8039,3400
132,1985-05-28,13.25,13.5,13.25,13.25,0.789,19000
133,1985-05-29,13.25,13.25,13.25,13.25,0.789,800
134,1985-05-30,13.375,13.375,13.375,13.375,0.7964,4800
135,1985-05-31,13.25,13.5,13.25,13.25,0.789,4600
136,1985-06-03,13.5,13.5,13.25,13.5,0.8039,1600
137,1985-06-04,13.5,13.5,13.25,13.5,0.8039,3600
138,1985-06-05,13.5,13.5,13.5,13.5,0.8039,3000
139,1985-06-06,13.25,13.25,13.25,13.25,0.789,200
140,1985-06-07,13.375,13.375,13.25,13.375,0.7964,50200
141,1985-06-11,13.25,13.375,13.25,13.25,0.789,11400
142,1985-06-12,13.25,13.625,13.25,13.25,0.789,8200
143,1985-06-13,13.5,13.625,13.25,13.5,0.8039,4200
144,1985-06-14,13.375,13.375,13.25,13.375,0.7964,2600
145,1985-06-17,13.25,13.25,13.25,13.25,0.789,4000
146,1985-06-18,13.25,13.25,13.25,13.25,0.789,4600
147,1985-06-19,13.25,13.5,13.25,13.25,0.789,6400
148,1985-06-20,13.0,13.5,13.0,13.0,0.7741,2400
149,1985-06-21,13.0,13.0,13.0,13.0,0.7741,1200
150,1985-06-25,13.0,13.0,13.0,13.0,0.7741,2200
151,1985-06-26,13.0,13.25,12.75,13.0,0.7741,19800
152,1985-06-27,13.25,13.25,12.75,13.25,0.789,6800
153,1985-06-28,13.25,13.5,13.25,13.25,0.789,6200
154,1985-07-01,13.5,13.5,13.5,13.5,0.8039,400
155,1985-07-02,13.5,13.5,13.25,13.5,0.8039,8000
156,1985-07-03,13.5,13.5,13.25,13.5,0.8039,5200
157,1985-07-05,13.5,13.5,13.375,13.5,0.8039,14200
158,1985-07-08,13.5,13.5,13.375,13.5,0.8178,4000
159,1985-07-09,13.75,13.75,13.375,13.75,0.833,23600
160,1985-07-10,14.0,14.0,14.0,14.0,0.8481,2600
161,1985-07-11,13.5,13.5,13.5,13.5,0.8178,2200
162,1985-07-12,14.25,14.25,13.75,14.25,0.8633,14000
163,1985-07-15,13.75,14.125,13.75,13.75,0.833,2000
164,1985-07-16,13.75,14.0,13.75,13.75,0.833,39800
165,1985-07-17,14.0,14.0,13.75,14.0,0.8481,215200
166,1985-07-18,14.25,14.25,14.0,14.25,0.8633,7800
167,1985-07-19,14.0,14.5,14.0,14.0,0.8481,1000
168,1985-07-22,14.25,14.25,14.0,14.25,0.8633,800
169,1985-07-23,14.25,14.5,14.0,14.25,0.8633,9200
170,1985-07-24,14.5,14.5,14.5,14.5,0.8784,400
171,1985-07-26,14.5,14.5,14.25,14.5,0.8784,6200
172,1985-07-29,14.125,14.5,14.0,14.125,0.8557,3800
173,1985-07-30,14.0,14.0,14.0,14.0,0.8481,200
174,1985-07-31,14.0,14.0,14.0,14.0,0.8481,200
175,1985-08-02,14.5,14.5,14.5,14.5,0.8784,200
176,1985-08-05,14.0,14.0,14.0,14.0,0.8481,1800
177,1985-08-06,14.0,14.5,14.0,14.0,0.8481,10400
178,1985-08-07,14.0,14.375,14.0,14.0,0.8481,7200
179,1985-08-08,14.25,14.25,14.25,14.25,0.8633,1400
180,1985-08-09,14.125,14.375,14.0,14.125,0.8557,25400
181,1985-08-12,14.0,14.5,14.0,14.0,0.8481,3200
182,1985-08-13,14.0,14.25,14.0,14.0,0.8481,5000
183,1985-08-14,14.25,14.25,14.0,14.25,0.8633,8800
184,1985-08-15,14.25,14.25,14.25,14.25,0.8633,1600
185,1985-08-16,14.5,14.5,14.5,14.5,0.8784,2800
186,1985-08-19,14.0,14.0,14.0,14.0,0.8481,2000
187,1985-08-20,14.0,14.375,14.0,14.0,0.8481,2600
188,1985-08-21,14.0,14.25,14.0,14.0,0.8481,12200
189,1985-08-22,14.25,14.25,13.875,14.25,0.8633,24600
190,1985-08-23,14.25,14.25,14.0,14.25,0.8633,8400
191,1985-08-26,14.25,14.25,14.0,14.25,0.8633,9800
192,1985-08-27,14.0,14.25,14.0,14.0,0.8481,1000
193,1985-08-28,14.0,14.25,14.0,14.0,0.8481,1200
194,1985-08-29,14.125,14.25,14.0,14.125,0.8557,22800
195,1985-08-30,14.125,14.25,14.125,14.125,0.8557,13800
196,1985-09-03,14.0,14.125,14.0,14.0,0.8481,4000
197,1985-09-04,14.125,14.125,14.125,14.125,0.8557,6200
198,1985-09-05,14.125,14.125,14.0,14.125,0.8557,3200
199,1985-09-06,14.0,14.125,14.0,14.0,0.8481,10800
