Date,Open,High,Low,Close,Adjusted_close,Volume
1986-11-06,28,28.625,27.5,28,3.1959,17902800
1986-11-07,27.875,28,27.375,27.875,3.1816,6289600
1986-11-10,27.125,27.625,27,27.125,3.096,3060000
1986-11-11,27.5,27.5,27.125,27.5,3.1388,1150000
1986-11-12,27.5,27.75,27.25,27.5,3.1388,2082800
1986-11-13,27.25,27.375,27.25,27.25,3.1103,891200
1986-11-14,27.5,27.5,27.125,27.5,3.1388,952000
1986-11-17,27,27.375,27,27,3.0818,1055200
1986-11-18,26.5,27.125,26.375,26.5,3.0247,2426400
1986-11-19,26.125,26.5,26,26.125,2.9819,2026000
1986-11-20,26.5,26.625,26.125,26.5,3.0247,3253600
1986-11-21,26.875,26.875,26.625,26.875,3.0675,639600
1986-11-24,26.625,26.875,26.625,26.625,3.039,660000
1986-11-25,26.75,26.875,26.25,26.75,3.0532,1080000
1986-11-26,26.75,27,26.25,26.75,3.0532,963200
1986-11-28,26.875,26.875,26.625,26.875,3.0675,521600
1986-12-01,27,27,26.75,27,3.0818,662000
1986-12-02,27.5,27.5,27,27.5,3.1388,1161200
1986-12-03,27.875,28.25,27.5,27.875,3.1816,1210400
1986-12-04,27.625,27.875,27.5,27.625,3.1531,1446400
1986-12-05,27.375,27.625,27.375,27.375,3.1246,737600
1986-12-08,27,27.375,27,27,3.0818,703600
1986-12-09,27,27.125,27,27,3.0818,444800
1986-12-10,26.875,27.125,26.875,26.875,3.0675,902400
1986-12-11,26.75,27.125,26.375,26.75,3.0532,550400
1986-12-12,27,27,26.625,27,3.0818,356800
1986-12-15,26.875,27,26.625,26.875,3.0675,521200
1986-12-16,26.625,26.875,26.5,26.625,3.039,835600
1986-12-17,26.5,26.625,26.5,26.5,3.0247,803600
1986-12-18,26.375,26.625,26.125,26.375,3.0104,1108000
1986-12-19,26.5,26.5,26,26.5,3.0247,556000
1986-12-22,26.25,26.25,26,26.25,2.9962,1938400
1986-12-23,26.25,26.25,26,26.25,2.9962,577200
1986-12-24,26.125,26.75,26,26.125,2.9819,322400
1986-12-26,26.25,26.25,26,26.25,2.9962,486000
1986-12-29,26.125,26.125,25.875,26.125,2.9819,693200
