,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2008-03-19,59.5,69.0,55.0,56.5,12.7511,708240376
1,2008-03-20,58.4,65.0,57.5,64.35,14.5227,198710564
2,2008-03-24,67.24,67.7,59.0,59.73,13.48,149497408
3,2008-03-25,60.58,64.25,59.82,63.25,14.2744,87077204
4,2008-03-26,62.73,64.48,61.57,63.96,14.4346,43094600
5,2008-03-27,64.05,64.74,62.65,62.91,14.1977,39821444
6,2008-03-28,63.37,63.44,62.16,62.76,14.1638,24670716
7,2008-03-31,62.6,63.48,62.05,62.36,14.0736,22155448
8,2008-04-01,63.06,63.68,60.31,61.61,13.9043,60402280
9,2008-04-02,61.72,62.32,60.5,62.32,14.0645,43833360
10,2008-04-03,61.95,66.29,61.82,65.5,14.7822,100657244
11,2008-04-04,64.9,65.32,63.75,64.48,14.552,36386844
12,2008-04-07,65.1,65.8,64.02,65.04,14.6784,28301468
13,2008-04-08,64.9,68.24,64.81,68.09,15.3667,53902240
14,2008-04-09,68.44,68.72,65.61,65.79,14.8476,48339760
15,2008-04-10,66.16,66.73,65.11,66.11,14.9199,22385132
16,2008-04-11,65.25,66.77,65.25,66.11,14.9199,26434408
17,2008-04-14,66.7,67.24,65.53,65.68,14.8228,28446192
18,2008-04-15,66.29,66.55,64.0,64.35,14.5227,23903372
19,2008-04-16,64.56,66.95,64.56,66.14,14.9266,25148748
20,2008-04-17,66.26,67.75,66.01,67.04,15.1297,22462216
21,2008-04-18,68.01,70.447,67.2,69.0,15.5721,104122960
22,2008-04-21,69.48,72.5,68.85,70.97,16.0167,58885200
23,2008-04-22,71.92,72.4,70.0,70.28,15.861,47378240
24,2008-04-23,70.95,71.7,69.69,70.08,15.8158,37336612
25,2008-04-24,71.2,72.99,70.04,72.3,16.3168,39082416
26,2008-04-25,76.0,76.08,73.91,75.1,16.9487,101459960
27,2008-04-28,76.5,77.29,74.9,75.63,17.0684,132517280
28,2008-04-29,74.15,80.88,71.0,80.88,18.2532,197308124
29,2008-04-30,81.4,84.81,81.07,83.45,18.8332,147543236
30,2008-05-01,84.39,87.64,83.9,85.4,19.2733,116395360
31,2008-05-02,87.29,87.5,81.0,82.75,18.6752,136648484
32,2008-05-05,82.85,85.5,80.82,85.06,19.1965,70376920
33,2008-05-06,85.47,88.15,84.75,87.53,19.754,75912960
34,2008-05-07,88.83,89.84,87.66,88.5,19.9729,100464476
35,2008-05-08,89.5,89.75,85.94,87.3,19.7021,92866680
36,2008-05-09,85.81,86.6699,82.52,82.86,18.7,94311796
37,2008-05-12,83.65,84.48,78.1,81.9,18.4834,147550908
38,2008-05-13,81.83,83.5,80.79,82.38,18.5917,53271320
39,2008-05-14,83.3,84.35,81.45,82.23,18.5579,51400320
40,2008-05-15,82.53,82.93,81.11,82.25,18.5624,36728236
41,2008-05-16,82.71,82.85,81.26,82.37,18.5895,34066532
42,2008-05-19,82.27,84.74,82.15,83.32,18.8039,45651280
43,2008-05-20,82.88,83.84,81.91,82.74,18.673,40706360
44,2008-05-21,82.68,83.43,80.52,80.85,18.2464,41831280
45,2008-05-22,80.57,80.6,76.16,77.31,17.4475,85317360
46,2008-05-23,75.84,77.31,75.12,76.35,17.2309,42223720
47,2008-05-27,76.92,78.94,74.36,78.74,17.7702,62814680
48,2008-05-28,80.29,81.95,79.55,81.92,18.4879,53034680
49,2008-05-29,83.43,86.95,83.01,85.25,19.2394,100613040
50,2008-05-30,86.02,87.56,85.81,86.36,19.4899,72048204
51,2008-06-02,86.21,86.95,84.6,86.07,19.4245,36855820
52,2008-06-03,87.01,87.95,86.03,87.56,19.7608,48484240
53,2008-06-04,87.08,88.1,85.28,85.48,19.2913,40704520
54,2008-06-05,86.46,87.24,85.59,87.24,19.6885,27059472
55,2008-06-06,85.9,85.99,83.55,83.65,18.8783,41771760
56,2008-06-09,84.0,84.95,80.56,82.14,18.5376,45239640
57,2008-06-10,80.3,82.87,79.61,80.31,18.1246,36086056
58,2008-06-11,81.0,81.0,77.6,77.74,17.5445,57036280
59,2008-06-12,78.95,80.77,78.55,79.56,17.9553,44605280
60,2008-06-13,80.26,81.81,80.15,81.53,18.3999,30717744
61,2008-06-16,81.48,83.5,81.1,83.27,18.7926,34406824
62,2008-06-17,84.1,84.98,83.68,84.67,19.1085,33289932
63,2008-06-18,83.72,84.7,83.44,83.86,18.9257,33757696
64,2008-06-19,83.48,84.4,81.6201,84.27,19.0183,36933648
65,2008-06-20,82.97,84.5,82.75,83.57,18.8603,42584720
66,2008-06-23,83.85,84.35,81.02,81.06,18.2938,30170024
67,2008-06-24,80.06,82.94,78.51,82.66,18.6549,49908360
68,2008-06-25,83.36,84.42,81.86,82.06,18.5195,50724640
69,2008-06-26,80.6,80.74,78.02,79.1,17.8515,76583680
70,2008-06-27,78.8,82.87,78.55,82.6,18.6414,176046376
71,2008-06-30,82.01,82.84,80.3,81.31,18.3502,49329680
72,2008-07-01,79.64,81.41,79.2,81.41,18.3728,44930600
73,2008-07-02,81.9,82.4,79.3,79.42,17.9237,33843932
74,2008-07-03,79.36,79.81,77.25,78.07,17.619,28757860
75,2008-07-07,78.5,79.94,74.0,75.62,17.0661,79957156
76,2008-07-08,74.89,79.5,72.25,79.06,17.8425,95812524
77,2008-07-09,79.0,79.1,75.4,75.87,17.1225,55330120
78,2008-07-10,75.76,77.62,73.89,77.25,17.434,52851040
79,2008-07-11,75.6,77.45,74.0,74.55,16.8246,54645200
80,2008-07-14,76.09,76.18,72.5,72.58,16.38,42694080
81,2008-07-15,71.26,71.31,67.29,68.42,15.4412,84298720
82,2008-07-16,68.33,72.56,66.51,72.23,16.301,92488756
83,2008-07-17,73.7,75.06,71.35,75.06,16.9397,67292080
84,2008-07-18,74.24,74.49,72.12,73.4,16.5651,46633360
85,2008-07-21,73.91,74.94,71.57,71.9,16.2266,52937080
86,2008-07-22,69.6,74.23,67.9,74.05,16.7118,65422920
87,2008-07-23,73.5,75.0,72.6,73.25,16.5312,49953600
88,2008-07-24,72.92,73.73,69.96,70.08,15.8158,36631956
89,2008-07-25,70.54,72.35,69.07,71.96,16.2401,38690424
90,2008-07-28,72.41,73.6,70.25,70.55,15.9219,35711196
91,2008-07-29,71.03,75.97,71.01,75.97,17.1451,49077720
92,2008-07-30,77.25,78.9,74.27,78.45,17.7048,76089116
93,2008-07-31,76.22,78.15,71.49,73.06,16.4884,148909516
94,2008-08-01,73.3,74.1,70.35,71.73,16.1882,61735680
95,2008-08-04,71.76,73.6,71.5,72.5,16.362,42692360
96,2008-08-05,73.2,74.23,72.32,73.6,16.6102,34366708
97,2008-08-06,72.8,72.81,71.07,71.48,16.1318,40923680
98,2008-08-07,70.78,71.25,69.34,69.5,15.6849,43883720
99,2008-08-08,69.77,72.85,69.11,72.6,16.3845,36358700
100,2008-08-11,72.44,76.5,71.95,74.79,16.8788,55289880
101,2008-08-12,74.2,74.8,72.6,72.8,16.4297,33741700
102,2008-08-13,72.75,74.17,72.48,73.93,16.7088,29934972
103,2008-08-14,73.87,75.79,73.6,75.78,17.1269,25853928
104,2008-08-15,75.99,76.53,74.83,75.79,17.1291,26009212
105,2008-08-18,75.62,76.25,74.14,74.94,16.937,25859280
106,2008-08-19,74.45,75.24,73.61,73.74,16.6658,21123104
107,2008-08-20,74.1,74.71,73.66,74.57,16.8534,18119400
108,2008-08-21,73.96,74.64,73.19,74.38,16.8105,15550500
109,2008-08-22,75.36,75.79,73.84,74.09,16.7449,20961812
110,2008-08-25,73.52,74.89,73.13,73.32,16.5709,18039904
111,2008-08-26,73.67,74.3,72.87,73.34,16.5754,18678624
112,2008-08-27,73.03,74.5,72.85,74.45,16.8263,19145960
113,2008-08-28,74.75,75.81,74.17,75.65,17.0975,26746496
114,2008-08-29,74.96,76.0,74.7,75.9,17.154,19327936
115,2008-09-02,76.83,77.5,74.39,74.99,16.9483,29899784
116,2008-09-03,74.56,75.34,72.07,73.05,16.5099,35400480
117,2008-09-04,72.52,72.63,69.75,70.5,15.9335,37675936
118,2008-09-05,69.97,71.98,69.25,71.76,16.2183,40643560
119,2008-09-08,73.51,74.29,68.68,70.1,15.8431,56676080
120,2008-09-09,70.35,70.35,67.18,67.49,15.2533,49881600
121,2008-09-10,67.27,69.9,66.63,69.04,15.6036,43955360
122,2008-09-11,67.41,71.36,67.05,70.95,16.0352,47137680
123,2008-09-12,69.93,71.66,69.25,71.65,16.1935,28242212
124,2008-09-15,68.66,70.98,68.26,69.38,15.6804,38742128
125,2008-09-16,66.62,68.96,65.0,66.35,14.9956,83596204
126,2008-09-17,65.81,67.95,64.01,64.09,14.4848,67539000
127,2008-09-18,64.2,67.24,58.38,66.9,15.1199,84189080
128,2008-09-19,71.01,71.16,67.04,69.57,15.7234,68949116
129,2008-09-22,68.92,68.99,64.9,65.18,14.7312,46284320
130,2008-09-23,65.85,67.47,64.11,66.9,15.1199,43849880
131,2008-09-24,67.05,67.72,65.5,65.68,14.8442,24543208
