Date,Open,High,Low,Close,Adjusted_close,Volume
1980-03-17,29,30.25,28.376,29,0.4474,22800
1980-03-18,29.876,30.25,28.376,29.876,0.4611,17800
1980-03-19,29.876,30.5,29.5,29.876,0.4611,16300
1980-03-20,29.876,30,29.626,29.876,0.4611,3700
1980-03-21,29.25,29.5,29,29.25,0.4515,4500
1980-03-24,27,29.5,27,27,0.4165,21900
1980-03-25,26,26.876,25.75,26,0.4007,35100
1980-03-26,24.5,26.25,24.5,24.5,0.3779,29700
1980-03-27,24,24,23,24,0.3704,34700
1980-03-28,24.5,25.126,24.25,24.5,0.3779,47900
1980-03-31,25.25,25.5,24.126,25.25,0.3895,14300
1980-04-01,25,25.25,24.75,25,0.3852,35400
1980-04-02,25.626,25.75,25.25,25.626,0.3952,8000
1980-04-03,25.626,26.126,25.626,25.626,0.3952,10900
1980-04-07,25,25.876,25,25,0.3852,5500
1980-04-08,25.5,25.5,24.626,25.5,0.3933,5400
1980-04-09,26.25,26.25,25.25,26.25,0.4052,9400
1980-04-10,26.25,26.376,25.5,26.25,0.4052,10300
1980-04-11,25,26,24.75,25,0.3852,23200
1980-04-14,24.626,24.626,24.25,24.626,0.3799,8200
1980-04-15,24.25,25,24.25,24.25,0.3743,23300
1980-04-16,23.876,24.876,23.876,23.876,0.3684,34900
1980-04-17,23.126,24.5,23.126,23.126,0.3564,15300
1980-04-18,21.876,23.376,21.876,21.876,0.3374,37300
1980-04-21,21.5,21.876,21,21.5,0.3314,17900
1980-04-22,22.25,22.5,21.376,22.25,0.3432,85200
1980-04-23,22,22.626,22,22,0.3392,42400
1980-04-24,22.626,22.876,21.75,22.626,0.3489,26700
1980-04-25,22.626,22.75,22.25,22.626,0.3489,26900
1980-04-28,22.876,23,22.376,22.876,0.3528,8600
1980-04-29,24,24.126,22.75,24,0.3704,18000
1980-04-30,23.75,24.126,23.626,23.75,0.3664,16000
1980-05-01,23.25,24,23.126,23.25,0.3586,29100
1980-05-02,23,23.5,23,23,0.3545,14900
1980-05-05,23,23.376,22.75,23,0.3545,14300
1980-05-06,22.376,22.876,22.25,22.376,0.3449,9100
1980-05-07,22.876,23,22.25,22.876,0.3528,22400
1980-05-08,22.5,22.876,22.376,22.5,0.3469,9400
1980-05-09,22.5,22.75,22.376,22.5,0.3469,26000
1980-05-12,22,22.126,21.5,22,0.3392,12400
1980-05-13,23.25,23.376,22.25,23.25,0.3586,27000
1980-05-14,24,24.25,23.75,24,0.3704,71800
1980-05-15,24.626,25.126,24,24.626,0.3799,28900
1980-05-16,25,25.25,24.75,25,0.3852,17700
1980-05-19,24.626,25,24.626,24.626,0.3799,3100
1980-05-20,24.5,24.626,24.25,24.5,0.3779,18000
1980-05-21,24.5,24.5,24.126,24.5,0.3779,15400
1980-05-22,24.626,24.876,24.376,24.626,0.3799,5700
1980-05-23,25.126,25.126,24.75,25.126,0.3872,15000
1980-05-27,26.376,26.376,25.376,26.376,0.407,20500
1980-05-28,27.25,27.25,26.126,27.25,0.4203,13000
1980-05-29,25.876,27.626,25.876,25.876,0.3989,35100
1980-05-30,26.626,26.75,25.5,26.626,0.411,38300
1980-06-02,27,27.25,26.376,27,0.4165,11100
1980-06-03,26.25,26.876,26.25,26.25,0.4052,41900
1980-06-04,26.5,26.5,26,26.5,0.409,6500
1980-06-05,26.5,26.75,26.5,26.5,0.409,11800
1980-06-06,26.126,26.5,26.126,26.126,0.4029,5800
1980-06-09,26.25,26.75,26.25,26.25,0.4052,7300
1980-06-10,26.25,26.376,25.876,26.25,0.4052,26600
1980-06-11,26,26.126,25.876,26,0.4007,2100
1980-06-12,26,26.25,25.75,26,0.4007,7900
1980-06-13,26,26,25.75,26,0.4007,5200
1980-06-16,25.5,25.75,24.75,25.5,0.3933,227700
1980-06-17,24.5,25.25,24.5,24.5,0.3779,9600
1980-06-18,25,25,24.5,25,0.3852,11300
1980-06-19,24.5,25,24.25,24.5,0.3779,8700
1980-06-20,24,24,23.75,24,0.3704,9500
1980-06-23,23.5,24,23.5,23.5,0.3628,150000
1980-06-24,23.876,23.876,23.5,23.876,0.3684,78600
1980-06-25,24,24,23.75,24,0.3704,23400
1980-06-26,23.126,24,23.126,23.126,0.3564,17200
1980-06-27,23.75,23.75,23,23.75,0.3664,21600
1980-06-30,23.25,23.876,23,23.25,0.3586,52300
1980-07-01,22.876,23,22.626,22.876,0.3528,20300
1980-07-02,23.25,23.25,22.75,23.25,0.3586,25300
1980-07-03,23.25,23.75,23,23.25,0.3586,39800
1980-07-07,22.626,23,21.5,22.626,0.3489,131900
1980-07-08,22.75,23.25,22.5,22.75,0.351,101100
1980-07-09,24,24.376,22.75,24,0.3704,193700
1980-07-10,24,24.376,24,24,0.3704,21900
1980-07-11,24.126,24.25,23.876,24.126,0.3722,39600
1980-07-14,24.876,25,24.126,24.876,0.3835,59300
1980-07-15,25.5,25.876,25.25,25.5,0.3933,74400
1980-07-16,25.75,26.25,25.75,25.75,0.397,63700
1980-07-17,26.75,26.75,25.876,26.75,0.4127,62400
1980-07-18,25.876,26.626,25.876,25.876,0.3989,13700
1980-07-21,26,26.376,25.75,26,0.4007,50800
1980-07-22,26.126,26.376,26,26.126,0.4029,13300
1980-07-23,25.5,26.376,25.25,25.5,0.3933,41900
1980-07-24,25,25.25,24.75,25,0.3852,10000
1980-07-25,25.75,26,25,25.75,0.397,31200
1980-07-28,25.876,26,25.126,25.876,0.3989,16100
1980-07-29,26.126,26.25,25.75,26.126,0.4029,11800
1980-07-30,27.5,27.5,25.876,27.5,0.4241,54100
1980-07-31,27,27.5,26.626,27,0.4165,43300
1980-08-01,28,28.25,27.25,28,0.4316,94300
1980-08-04,27.626,28.126,27.25,27.626,0.426,11500
1980-08-05,27.75,28,27.626,27.75,0.4278,25000
1980-08-06,28.376,28.876,27.25,28.376,0.4371,73500
1980-08-07,29.25,29.5,28.75,29.25,0.4515,94600
1980-08-08,30,30.25,29.376,30,0.4628,84500
