Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-24,36,36,34,34,33.8194,743500
2020-09-25,34,34,34,34,33.8194,0
2020-09-28,35,35,33,33,32.8247,150500
2020-09-29,30.5,30.5,30.5,30.5,30.338,220200
2020-09-30,30.75,31,30.75,31,30.8353,21900
2020-10-01,34,34,34,34,33.8194,43600
2020-10-02,35,35,35,35,34.8141,63600
2020-10-05,34.46,34.73,33.72,34.25,34.0681,1172100
2020-10-06,37.95,39,34.5,35,34.8141,42400
2020-10-07,35.5,35.5,34.25,34.25,34.0681,26000
2020-10-08,34.575,34.575,33,33.5,33.3221,193000
2020-10-09,32.5,32.9,28.1,28.28,28.1298,19985300
2020-10-12,28.27,29,27.62,27.85,27.7021,6532300
2020-10-13,28.29,28.42,26.364,26.76,26.6179,4937300
2020-10-14,26.8,28.2,26.43,28.01,27.8612,7992200
2020-10-15,27.34,28.11,26.51,27.75,27.6026,7194600
2020-10-16,28.11,28.95,27.63,28.26,28.1099,11035000
2020-10-19,28.3,28.56,27.76,28.25,28.0999,4852700
2020-10-20,28.3,28.88,28.1,28.44,28.2889,4868800
2020-10-21,28.37,29,28.05,28.55,28.3983,3869000
2020-10-22,28.68,29.91,28.65,29.86,29.7014,5510900
2020-10-23,29.6,30.49,29.51,30.29,30.1291,5701900
2020-10-26,30.26,30.31,29.25,29.49,29.3334,4594200
2020-10-27,29.5,29.53,28.26,28.66,28.5078,3144100
2020-10-28,28.16,29.23,27.95,28.26,28.1099,3398000
2020-10-29,29.12,29.48,28.14,28.28,28.1298,3320600
2020-10-30,28.15,28.75,27.63,28.74,28.5873,2948300
2020-11-02,28.91,29.96,28.83,29.96,29.8009,2303300
2020-11-03,30,30.5,29.43,29.81,29.6517,1518500
2020-11-04,29.6,30.23,29.21,29.5,29.3433,2307500
2020-11-05,29.56,30.08,29.08,29.35,29.1941,2331100
2020-11-06,29.04,29.39,28.1,28.94,28.7863,2295200
2020-11-09,30.19,31.07,28.5,28.54,28.3884,3059300
2020-11-10,28.5,29.1,28.15,28.26,28.1099,3128500
2020-11-11,28.6,29.23,28.6,29.01,28.8559,2961300
2020-11-12,29.31,29.45,28.1,28.54,28.3884,2002600
2020-11-13,28.61,28.98,28.29,28.57,28.4182,1764300
2020-11-16,28.75,29.3,28.5,29.11,28.9554,1572300
2020-11-17,29.43,30.88,28.96,30.64,30.4772,4329200
2020-11-18,30.67,32.23,30.25,31.19,31.0243,4008600
2020-11-19,30.95,31.39,30.14,30.72,30.5568,1438300
2020-11-20,30.54,31.49,30.23,31.18,31.0144,1956600
2020-11-23,31.16,32,30.8,31.8,31.6311,1623000
2020-11-24,32.23,32.96,31.97,32.76,32.586,1857700
2020-11-25,32.55,33.83,32.5,33.66,33.4812,3303400
2020-11-27,33.54,34.34,33.36,34.09,33.9089,610400
2020-11-30,34.2,34.37,32.19,33.17,32.9938,3411800
2020-12-01,33.17,33.82,32.81,33,32.8247,2161800
2020-12-02,32.96,33.46,32.71,33.09,32.9142,1191800
2020-12-03,33.05,33.6,32.96,33.18,33.0038,1146700
2020-12-04,32.98,33.53,32.775,33.07,32.8943,1358100
2020-12-07,33.31,33.42,32.3,32.51,32.3373,2353400
2020-12-08,32.545,32.77,31.6,32,31.83,1424100
2020-12-09,31.99,32.45,31.36,31.96,31.7902,2818500
2020-12-10,31.65,32.09,31.22,31.91,31.7405,1614400
2020-12-11,31.97,32,30.13,31.18,31.0144,2042800
2020-12-14,31.58,32.43,31.17,32.25,32.0787,2477600
