,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2009-10-07,27.0,28.97,26.41,27.22,26.5577,63747340
1,2009-10-08,27.33,27.44,26.5,26.6,25.9528,6906757
2,2009-10-09,26.83,27.49,26.38,26.4,25.7577,3361424
3,2009-10-12,27.29,27.9,26.1,26.25,25.6113,7176907
4,2009-10-13,26.67,27.26,26.54,27.19,26.5284,3295958
5,2009-10-14,27.25,28.2385,27.0,27.99,27.309,3222458
6,2009-10-15,28.28,28.8,27.75,28.31,27.6212,3181482
7,2009-10-16,28.45,28.6,27.55,28.568,27.8729,3974745
8,2009-10-19,28.52,28.89,27.5,27.5,26.8309,1894903
9,2009-10-20,27.5,28.1,27.35,28.06,27.3773,3387523
10,2009-10-21,28.0,28.35,27.86,28.0,27.3187,1078914
11,2009-10-22,27.76,28.48,27.32,27.89,27.2114,1172475
12,2009-10-23,28.0,28.39,27.5101,28.37,27.6797,2386137
13,2009-10-26,27.83,28.6,27.76,28.45,27.7578,834394
14,2009-10-27,28.54,29.25,27.93,28.56,27.8651,1579023
15,2009-10-28,28.21,28.55,27.56,27.69,27.0163,1153423
16,2009-10-29,27.88,28.0,27.75,27.89,27.2114,563440
17,2009-10-30,28.0,28.07,27.3,27.43,26.7626,819544
18,2009-11-02,27.38,27.65,26.6,27.37,26.7041,978000
19,2009-11-03,27.43,27.49,26.85,27.36,26.6943,696703
20,2009-11-04,27.33,27.48,26.95,26.96,26.304,461115
21,2009-11-05,27.02,27.6,26.97,27.3,26.6358,470579
22,2009-11-06,27.15,27.34,26.95,27.1,26.4406,310777
23,2009-11-09,27.25,27.69,27.05,27.58,26.909,615789
24,2009-11-10,27.25,28.26,27.25,27.67,26.9968,287251
25,2009-11-11,27.93,29.12,27.63,28.98,28.2749,1174507
26,2009-11-12,28.78,30.0,28.43,28.9,28.1968,1211526
27,2009-11-13,28.78,29.08,28.51,28.9,28.1968,414879
28,2009-11-16,28.75,29.01,28.25,28.85,28.1481,1424282
29,2009-11-17,28.55,28.96,27.4,27.85,27.1724,2495949
30,2009-11-18,28.39,29.0,28.16,28.5,27.8066,730870
31,2009-11-19,28.81,28.89,27.94,28.54,27.8456,1223539
32,2009-11-20,28.5,28.6399,28.42,28.55,27.8554,875684
33,2009-11-23,28.68,28.68,27.67,28.4,27.709,447578
34,2009-11-24,28.18,28.18,27.65,27.78,27.1041,685319
35,2009-11-25,27.72,27.811,27.17,27.3,26.6358,892721
36,2009-11-27,26.96,27.18,26.66,26.99,26.3333,264523
37,2009-11-30,27.34,27.4,26.73,26.91,26.2553,888667
38,2009-12-01,26.91,28.05,26.91,27.78,27.1041,617140
39,2009-12-02,27.76,27.81,27.35,27.51,26.8407,820836
40,2009-12-03,27.81,27.94,27.5,27.72,27.0455,491713
41,2009-12-04,27.85,28.44,27.85,28.43,27.7383,535447
42,2009-12-07,28.2,28.98,27.94,28.74,28.0407,361479
43,2009-12-08,28.41,28.92,27.9,28.61,27.9139,398170
44,2009-12-09,28.33,28.7,28.18,28.65,27.9529,449527
45,2009-12-10,28.57,28.7,28.13,28.4,27.709,435119
46,2009-12-11,28.02,28.81,28.0,28.66,27.9627,590697
47,2009-12-14,28.56,29.04,28.56,28.99,28.2846,502251
48,2009-12-15,28.93,29.47,28.77,29.3,28.5871,891837
49,2009-12-16,29.27,30.97,29.15,30.39,29.6506,1572382
50,2009-12-17,30.25,30.64,30.0,30.4,29.6603,929195
51,2009-12-18,30.38,31.0,29.73,30.56,29.8164,8298486
52,2009-12-21,30.78,30.78,29.8901,30.5,29.7579,885841
53,2009-12-22,30.34,30.85,30.1,30.58,29.836,420842
54,2009-12-23,30.68,30.94,30.21,30.68,29.9335,845670
55,2009-12-24,30.79,31.18,30.68,30.8,30.0506,170787
56,2009-12-28,30.89,31.12,30.62,30.96,30.2067,250091
57,2009-12-29,30.92,31.14,30.7014,31.0,30.2457,283345
58,2009-12-30,30.91,31.0,30.45,31.0,30.2457,175131
59,2009-12-31,30.86,31.0,30.21,30.28,29.5433,154557
60,2010-01-04,30.41,30.5,29.67,29.85,29.1237,389942
61,2010-01-05,29.85,30.07,29.49,30.05,29.3189,429920
62,2010-01-06,30.0,30.87,30.0,30.44,29.6994,848818
63,2010-01-07,30.36,30.68,29.8,30.39,29.6506,426510
64,2010-01-08,30.21,30.27,29.98,30.0,29.2701,253115
65,2010-01-11,30.03,30.105,29.75,29.93,29.2018,676448
66,2010-01-12,29.99,30.38,29.84,30.16,29.4262,741988
67,2010-01-13,30.1,30.29,30.1,30.15,29.4164,394343
68,2010-01-14,30.09,30.1,29.89,29.91,29.1823,301084
69,2010-01-15,29.77,29.92,28.66,28.95,28.2456,765986
70,2010-01-19,28.84,28.84,27.81,27.95,27.27,1531617
71,2010-01-20,27.81,28.1,27.685,27.99,27.309,957535
72,2010-01-21,27.99,28.4,27.91,28.04,27.3578,681738
73,2010-01-22,28.2,28.37,27.93,28.01,27.3285,595568
74,2010-01-25,27.98,28.24,27.91,27.95,27.27,256491
75,2010-01-26,27.83,28.75,27.83,28.35,27.6602,302504
76,2010-01-27,28.23,29.24,28.01,28.9,28.1968,475122
77,2010-01-28,28.75,29.025,28.57,28.77,28.07,495161
78,2010-01-29,28.83,28.9,28.0,28.12,27.4358,389702
79,2010-02-01,28.21,28.46,28.2,28.41,27.7188,401270
80,2010-02-02,28.39,28.59,27.9,27.96,27.2797,536176
81,2010-02-03,27.96,28.13,27.9,27.99,27.309,309227
82,2010-02-04,27.93,27.94,27.71,27.75,27.0748,617654
83,2010-02-05,27.75,27.82,26.65,27.7,27.026,645422
84,2010-02-08,27.73,27.91,27.38,27.63,26.9577,632431
85,2010-02-09,27.58,28.1,27.58,27.84,27.1626,1450903
86,2010-02-10,27.96,28.09,27.51,27.84,27.1626,496525
87,2010-02-11,27.7,28.18,27.7,28.02,27.3383,346832
88,2010-02-12,27.71,28.39,27.53,28.31,27.6212,875569
89,2010-02-16,28.1,28.41,27.95,28.25,27.5627,213499
90,2010-02-17,28.07,28.3,27.85,27.94,27.2602,456067
91,2010-02-18,27.77,28.1,27.66,28.0,27.3187,613769
92,2010-02-19,27.83,28.23,27.83,28.01,27.3285,152455
93,2010-02-22,28.0,28.42,27.89,28.24,27.5529,290447
94,2010-02-23,28.42,28.42,27.82,28.01,27.3285,390398
95,2010-02-24,27.99,28.0,27.88,27.96,27.2797,262959
96,2010-02-25,27.83,28.055,27.83,27.98,27.2992,328833
97,2010-02-26,28.08,28.3,27.96,28.3,27.6114,632740
98,2010-03-01,28.46,28.74,28.22,28.4,27.709,321783
99,2010-03-02,28.4,28.65,27.79,28.02,27.3383,467988
100,2010-03-03,27.94,28.13,27.37,27.63,26.9577,663185
101,2010-03-04,27.57,27.94,27.05,27.24,26.5772,294676
102,2010-03-05,27.27,27.58,27.26,27.38,26.7138,716315
103,2010-03-08,27.24,29.35,27.17,29.03,28.3237,680012
104,2010-03-09,28.77,28.92,27.97,28.45,27.7578,706945
105,2010-03-10,28.35,28.7885,28.35,28.53,27.8358,412919
106,2010-03-11,28.59,28.6,28.0,28.19,27.5041,479068
107,2010-03-12,28.43,28.705,28.0,28.2,27.5139,537775
108,2010-03-15,28.07,28.19,27.89,28.1,27.4163,463301
109,2010-03-16,28.06,28.15,27.98,28.05,27.3675,623726
110,2010-03-17,28.15,28.15,28.0,28.01,27.3285,415170
111,2010-03-18,28.01,28.5,28.0,28.37,27.6797,232717
112,2010-03-19,28.35,28.53,27.78,28.29,27.6017,461959
113,2010-03-22,28.22,28.77,28.14,28.2,27.5139,253766
114,2010-03-23,28.05,28.42,27.81,28.0,27.3187,341500
115,2010-03-24,28.0,28.26,27.82,28.02,27.3383,628598
116,2010-03-25,28.07,28.44,27.92,28.0,27.3187,230253
117,2010-03-26,28.02,28.13,27.97,28.07,27.387,314232
118,2010-03-29,28.06,28.23,27.75,28.0,27.3187,316929
119,2010-03-30,28.11,28.22,27.835,27.91,27.2309,732900
120,2010-03-31,27.93,28.36,27.93,28.2,27.5139,480166
121,2010-04-01,28.25,28.42,27.87,27.99,27.309,536905
122,2010-04-05,27.68,28.06,27.53,27.89,27.2114,406323
123,2010-04-06,27.72,28.19,27.59,28.16,27.4748,543681
124,2010-04-07,28.02,28.175,27.52,27.81,27.1334,548480
125,2010-04-08,27.66,27.93,27.52,27.65,26.9773,318231
126,2010-04-09,27.81,28.09,27.64,27.98,27.2992,411400
127,2010-04-12,27.88,28.29,27.77,28.04,27.3578,181216
128,2010-04-13,28.0,28.34,27.99,28.07,27.387,938686
129,2010-04-14,28.02,28.64,28.02,28.56,27.8651,1022403
130,2010-04-15,28.39,28.52,28.13,28.19,27.5041,438901
131,2010-04-16,28.06,28.2,28.0,28.02,27.3383,356637
132,2010-04-19,28.02,28.49,27.9,28.24,27.5529,295451
133,2010-04-20,28.33,28.73,28.19,28.29,27.6017,177039
134,2010-04-21,28.36,28.6,28.0,28.16,27.4748,406006
135,2010-04-22,28.01,28.36,28.0,28.2,27.5139,225752
136,2010-04-23,28.08,28.39,28.06,28.31,27.6212,211635
137,2010-04-26,28.21,28.64,28.21,28.56,27.8651,344734
138,2010-04-27,28.525,28.595,28.29,28.51,27.8163,221107
139,2010-04-28,28.33,28.33,27.75,27.8,27.1236,518566
140,2010-04-29,27.86,28.07,27.69,28.03,27.348,531985
141,2010-04-30,27.92,28.73,27.92,28.02,27.3383,269571
142,2010-05-03,27.9,28.2382,27.79,28.15,27.4651,530333
143,2010-05-04,28.02,28.46,27.94,28.35,27.6602,471534
144,2010-05-05,28.08,28.56,28.0,28.3,27.6114,423097
145,2010-05-06,28.2,28.45,27.78,27.99,27.309,604425
146,2010-05-07,27.78,28.23,27.4635,27.72,27.0455,1907759
147,2010-05-10,28.48,28.49,27.65,27.83,27.1529,889010
148,2010-05-11,27.67,28.51,27.56,28.46,27.7675,584200
149,2010-05-12,28.85,30.32,28.32,29.92,29.192,2098879
150,2010-05-13,29.66,31.48,29.55,30.3,29.5628,1505343
151,2010-05-14,30.18,30.94,30.1,30.83,30.0799,1102686
152,2010-05-17,30.78,31.75,30.53,30.75,30.0018,1406173
153,2010-05-18,30.8,31.145,30.11,30.3,29.5628,1480626
154,2010-05-19,30.04,30.49,29.6,29.99,29.2603,734956
155,2010-05-20,29.47,30.28,28.97,29.24,28.5286,572187
156,2010-05-21,28.88,29.2595,28.46,29.01,28.3042,1018562
157,2010-05-24,28.81,29.73,28.81,29.23,28.5188,964210
158,2010-05-25,28.62,29.73,28.42,29.73,29.0066,1114377
159,2010-05-26,30.05,30.21,29.01,29.25,28.5383,4949647
160,2010-05-27,29.45,29.93,29.32,29.76,29.0359,736187
161,2010-05-28,29.58,30.4,29.58,30.25,29.514,515870
162,2010-06-01,30.33,30.48,29.61,29.7,28.9774,672965
163,2010-06-02,29.57,30.26,29.25,30.26,29.5237,757438
164,2010-06-03,30.1,30.8,30.05,30.71,29.9628,667204
165,2010-06-04,30.28,30.5,29.91,30.02,29.2896,896073
166,2010-06-07,30.07,30.58,29.56,29.58,28.8603,692035
167,2010-06-08,29.49,29.73,29.32,29.58,28.8603,935607
168,2010-06-09,29.81,29.99,28.85,28.95,28.2456,791105
169,2010-06-10,29.21,29.54,28.82,29.47,28.753,640832
170,2010-06-11,29.2,29.61,29.2,29.55,28.831,234722
171,2010-06-14,29.65,30.52,29.56,30.4,29.6603,424629
172,2010-06-15,30.5,30.66,29.66,30.53,29.7872,688331
173,2010-06-16,30.34,30.47,30.12,30.22,29.4847,390864
174,2010-06-17,30.41,30.6,30.19,30.35,29.6116,279888
175,2010-06-18,30.4,30.5,30.2,30.4,29.6603,332777
176,2010-06-21,30.5,30.5999,29.89,29.97,29.2408,223651
177,2010-06-22,30.14,30.78,30.14,30.66,29.914,797584
178,2010-06-23,30.5,30.57,30.01,30.37,29.6311,468866
179,2010-06-24,30.32,30.48,30.1,30.12,29.3872,211498
180,2010-06-25,30.11,30.93,30.11,30.93,30.1774,1496320
181,2010-06-28,30.81,31.11,30.56,30.82,30.0701,634383
182,2010-06-29,30.4,30.76,29.64,29.7,28.9774,295373
183,2010-06-30,29.59,30.52,29.5,29.9,29.1725,503344
