,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1989-09-19,1.3557,1.4584,1.3557,1.3557,0.301,2164782
1,1989-09-20,1.3351,1.3967,1.3146,1.3351,0.2964,884531
2,1989-09-21,1.3557,1.3557,1.3146,1.3557,0.301,232031
3,1989-09-22,1.294,1.3351,1.2735,1.294,0.2873,655031
4,1989-09-25,1.2324,1.294,1.2324,1.2324,0.2736,225000
5,1989-09-26,1.2735,1.2735,1.2324,1.2735,0.2828,169031
6,1989-09-27,1.253,1.2735,1.2324,1.253,0.2782,114187
7,1989-09-28,1.253,1.294,1.2324,1.253,0.2782,214594
8,1989-09-29,1.253,1.294,1.253,1.253,0.2782,201094
9,1989-10-02,1.294,1.3146,1.253,1.294,0.2873,46125
10,1989-10-03,1.294,1.3351,1.294,1.294,0.2873,66375
11,1989-10-04,1.3146,1.3146,1.294,1.3146,0.2919,72281
12,1989-10-05,1.3146,1.3146,1.294,1.3146,0.2919,38531
13,1989-10-06,1.3557,1.3967,1.294,1.3557,0.301,550687
14,1989-10-09,1.3762,1.3762,1.3351,1.3762,0.3056,25594
15,1989-10-10,1.3762,1.3762,1.3351,1.3762,0.3056,99563
16,1989-10-11,1.3967,1.3967,1.3351,1.3967,0.3101,37406
17,1989-10-12,1.3557,1.3967,1.3557,1.3557,0.301,122344
18,1989-10-13,1.3967,1.3967,1.3557,1.3967,0.3101,46969
19,1989-10-16,1.294,1.3557,1.2735,1.294,0.2873,131906
20,1989-10-17,1.2735,1.3351,1.2735,1.2735,0.2828,40781
21,1989-10-18,1.2735,1.3146,1.2735,1.2735,0.2828,11813
22,1989-10-19,1.2735,1.3146,1.2735,1.2735,0.2828,23906
23,1989-10-20,1.2735,1.3146,1.2735,1.2735,0.2828,52875
24,1989-10-23,1.2735,1.3146,1.2735,1.2735,0.2828,12094
25,1989-10-24,1.2735,1.3146,1.2735,1.2735,0.2828,37969
26,1989-10-25,1.2735,1.3146,1.2735,1.2735,0.2828,26438
27,1989-10-26,1.2735,1.3146,1.2735,1.2735,0.2828,106312
28,1989-10-27,1.3146,1.3146,1.2735,1.3146,0.2919,18281
29,1989-10-30,1.3146,1.3146,1.2735,1.3146,0.2919,10125
30,1989-10-31,1.3146,1.3146,1.2735,1.3146,0.2919,11531
31,1989-11-01,1.2735,1.3146,1.2735,1.2735,0.2828,20250
32,1989-11-02,1.2735,1.3146,1.2735,1.2735,0.2828,1688
33,1989-11-03,1.3146,1.3146,1.2735,1.3146,0.2919,156094
34,1989-11-06,1.3146,1.3146,1.2735,1.3146,0.2919,67781
35,1989-11-07,1.2735,1.3146,1.2735,1.2735,0.2828,14063
36,1989-11-08,1.3146,1.3146,1.2735,1.3146,0.2919,3656
37,1989-11-09,1.3146,1.3146,1.253,1.3146,0.2919,26156
38,1989-11-10,1.2735,1.294,1.2735,1.2735,0.2828,8719
39,1989-11-13,1.253,1.3146,1.253,1.253,0.2782,21375
40,1989-11-14,1.3146,1.3146,1.253,1.3146,0.2919,4781
41,1989-11-15,1.253,1.3146,1.253,1.253,0.2782,1406
42,1989-11-16,1.253,1.3146,1.253,1.253,0.2782,4500
43,1989-11-17,1.3146,1.3146,1.2735,1.3146,0.2919,1406
44,1989-11-20,1.253,1.253,1.253,1.253,0.2782,1406
45,1989-11-21,1.253,1.253,1.253,1.253,0.2782,8438
46,1989-11-22,1.2735,1.3146,1.2735,1.2735,0.2828,8719
47,1989-11-24,1.2735,1.2735,1.2735,1.2735,0.2828,1688
48,1989-11-27,1.3146,1.3146,1.3146,1.3146,0.2919,14344
49,1989-11-28,1.253,1.253,1.253,1.253,0.2782,1406
50,1989-11-29,1.253,1.253,1.253,1.253,0.2782,844
51,1989-11-30,1.2324,1.3146,1.2119,1.2324,0.2736,227250
52,1989-12-01,1.1503,1.2735,1.1503,1.1503,0.2554,68344
53,1989-12-04,1.1503,1.2324,1.1503,1.1503,0.2554,9281
54,1989-12-05,1.1503,1.2324,1.1503,1.1503,0.2554,3938
55,1989-12-06,1.1503,1.1913,1.1092,1.1503,0.2554,38813
56,1989-12-07,1.2735,1.294,1.1092,1.2735,0.2828,246375
57,1989-12-08,1.3146,1.3146,1.2324,1.3146,0.2919,26719
58,1989-12-11,1.3557,1.3557,1.2735,1.3557,0.301,18844
59,1989-12-12,1.2735,1.3557,1.2735,1.2735,0.2828,45563
60,1989-12-13,1.3557,1.3557,1.3557,1.3557,0.301,4500
61,1989-12-14,1.3146,1.3557,1.253,1.3146,0.2919,77906
62,1989-12-15,1.3557,1.3557,1.2735,1.3557,0.301,6188
63,1989-12-18,1.3557,1.3557,1.2735,1.3557,0.301,35156
64,1989-12-19,1.3146,1.3146,1.2735,1.3146,0.2919,14063
65,1989-12-20,1.2324,1.3146,1.2324,1.2324,0.2736,167344
66,1989-12-21,1.3146,1.3557,1.2735,1.3146,0.2919,16031
67,1989-12-22,1.3146,1.3557,1.3146,1.3146,0.2919,50906
68,1989-12-26,1.3146,1.3557,1.3146,1.3146,0.2919,48375
69,1989-12-27,1.3557,1.3557,1.3557,1.3557,0.301,281
70,1989-12-28,1.3351,1.3351,1.2735,1.3351,0.2964,15469
71,1989-12-29,1.3557,1.3557,1.3351,1.3557,0.301,4219
72,1990-01-02,1.3557,1.3557,1.3146,1.3557,0.301,1969
73,1990-01-03,1.2735,1.3557,1.2735,1.2735,0.2828,12375
74,1990-01-04,1.294,1.3146,1.294,1.294,0.2873,9563
75,1990-01-05,1.2735,1.3557,1.2735,1.2735,0.2828,7313
76,1990-01-08,1.3557,1.3557,1.2735,1.3557,0.301,10125
77,1990-01-09,1.3146,1.3557,1.2735,1.3146,0.2919,18000
78,1990-01-10,1.2735,1.3557,1.2735,1.2735,0.2828,64125
79,1990-01-11,1.3146,1.3146,1.2324,1.3146,0.2919,24469
80,1990-01-12,1.253,1.3146,1.2324,1.253,0.2782,10688
81,1990-01-15,1.2735,1.3146,1.2324,1.2735,0.2828,11531
82,1990-01-16,1.2324,1.3146,1.2324,1.2324,0.2736,3094
83,1990-01-17,1.3146,1.3146,1.3146,1.3146,0.2919,2531
84,1990-01-18,1.3146,1.3146,1.2324,1.3146,0.2919,11250
85,1990-01-19,1.3146,1.3146,1.3146,1.3146,0.2919,281
86,1990-01-22,1.2324,1.3146,1.2324,1.2324,0.2736,14344
87,1990-01-23,1.2735,1.3146,1.1913,1.2735,0.2828,29813
88,1990-01-24,1.1503,1.2324,1.1503,1.1503,0.2554,28688
89,1990-01-25,1.1503,1.2324,1.1503,1.1503,0.2554,25594
90,1990-01-26,1.2324,1.2324,1.1503,1.2324,0.2736,5906
91,1990-01-29,1.1092,1.1092,1.1092,1.1092,0.2463,563
92,1990-01-30,1.1503,1.1503,1.1092,1.1503,0.2554,6750
93,1990-01-31,1.1503,1.1503,1.1092,1.1503,0.2554,5344
94,1990-02-01,1.1092,1.2324,1.1092,1.1092,0.2463,1125
95,1990-02-02,1.1503,1.2324,1.1503,1.1503,0.2554,109406
96,1990-02-05,1.1092,1.2324,1.1092,1.1092,0.2463,1688
97,1990-02-06,1.2324,1.2324,1.1092,1.2324,0.2736,12094
98,1990-02-07,1.2119,1.2119,1.2119,1.2119,0.2691,2250
99,1990-02-08,1.2324,1.2324,1.2324,1.2324,0.2736,1688
100,1990-02-12,1.1503,1.1913,1.1503,1.1503,0.2554,1688
101,1990-02-13,1.1503,1.1913,1.1297,1.1503,0.2554,97875
102,1990-02-14,1.1503,1.1503,1.1503,1.1503,0.2554,1969
103,1990-02-15,1.1503,1.1503,1.1092,1.1503,0.2554,3938
104,1990-02-16,1.1503,1.1503,1.1503,1.1503,0.2554,4219
105,1990-02-20,1.1503,1.1503,1.1503,1.1503,0.2554,3094
106,1990-02-21,1.1092,1.1503,1.1092,1.1092,0.2463,2813
107,1990-02-22,1.1503,1.1503,1.1092,1.1503,0.2554,3938
108,1990-02-23,1.1503,1.1503,1.1503,1.1503,0.2554,2250
109,1990-02-26,1.1503,1.1503,1.1503,1.1503,0.2554,7031
110,1990-02-27,1.1913,1.1913,1.1092,1.1913,0.2645,51469
111,1990-02-28,1.1913,1.1913,1.1503,1.1913,0.2645,2250
112,1990-03-01,1.1503,1.2324,1.1503,1.1503,0.2554,15469
113,1990-03-02,1.1913,1.2324,1.1913,1.1913,0.2645,4500
114,1990-03-05,1.1913,1.2735,1.1913,1.1913,0.2645,2531
115,1990-03-06,1.1913,1.1913,1.1913,1.1913,0.2645,4781
116,1990-03-07,1.1913,1.2735,1.1913,1.1913,0.2645,21656
117,1990-03-08,1.3146,1.3146,1.2324,1.3146,0.2919,17719
118,1990-03-09,1.2324,1.3146,1.2324,1.2324,0.2736,11813
119,1990-03-12,1.2324,1.2324,1.2324,1.2324,0.2736,1688
120,1990-03-13,1.3557,1.3557,1.2324,1.3557,0.301,1969
121,1990-03-14,1.3557,1.3557,1.2735,1.3557,0.301,17719
122,1990-03-15,1.3146,1.3146,1.2735,1.3146,0.2919,29813
123,1990-03-16,1.3146,1.3146,1.2735,1.3146,0.2919,3656
124,1990-03-19,1.2735,1.294,1.2735,1.2735,0.2828,6750
125,1990-03-20,1.294,1.294,1.2735,1.294,0.2873,34313
126,1990-03-21,1.3146,1.3557,1.2735,1.3146,0.2919,17719
127,1990-03-22,1.3146,1.3557,1.294,1.3146,0.2919,76219
128,1990-03-23,1.2735,1.2735,1.2735,1.2735,0.2828,1688
129,1990-03-26,1.2735,1.2735,1.2735,1.2735,0.2828,1969
130,1990-03-27,1.3146,1.3146,1.3146,1.3146,0.2919,563
131,1990-03-28,1.2735,1.2735,1.2735,1.2735,0.2828,9563
132,1990-03-29,1.3146,1.3146,1.2735,1.3146,0.2919,6750
133,1990-03-30,1.2735,1.3146,1.2735,1.2735,0.2828,3938
134,1990-04-02,1.253,1.2735,1.1913,1.253,0.2782,8156
135,1990-04-03,1.1913,1.2735,1.1913,1.1913,0.2645,2531
136,1990-04-04,1.1913,1.2735,1.1913,1.1913,0.2645,5625
137,1990-04-05,1.1913,1.2735,1.1913,1.1913,0.2645,8438
138,1990-04-06,1.2735,1.2735,1.1913,1.2735,0.2828,11813
139,1990-04-09,1.1913,1.2735,1.1913,1.1913,0.2645,7313
140,1990-04-10,1.2735,1.2735,1.1913,1.2735,0.2828,1406
141,1990-04-11,1.2735,1.2735,1.1913,1.2735,0.2828,4219
142,1990-04-12,1.2119,1.2735,1.1913,1.2119,0.2691,14625
143,1990-04-16,1.2735,1.2735,1.1913,1.2735,0.2828,15188
144,1990-04-17,1.2735,1.2735,1.1913,1.2735,0.2828,3938
145,1990-04-18,1.1913,1.2735,1.1913,1.1913,0.2645,20531
146,1990-04-19,1.253,1.2735,1.1913,1.253,0.2782,23906
147,1990-04-20,1.2735,1.2735,1.2324,1.2735,0.2828,2531
148,1990-04-23,1.2324,1.2735,1.2324,1.2324,0.2736,2250
149,1990-04-24,1.2324,1.2324,1.1913,1.2324,0.2736,13500
150,1990-04-25,1.2324,1.2324,1.1913,1.2324,0.2736,23344
151,1990-04-26,1.2324,1.2324,1.1913,1.2324,0.2736,2531
152,1990-04-27,1.2324,1.2324,1.1913,1.2324,0.2736,30094
153,1990-04-30,1.2324,1.2324,1.1913,1.2324,0.2736,12375
154,1990-05-01,1.1913,1.1913,1.1913,1.1913,0.2645,25031
155,1990-05-02,1.1913,1.2324,1.1913,1.1913,0.2645,10125
156,1990-05-03,1.2324,1.2324,1.1913,1.2324,0.2736,3375
157,1990-05-04,1.2324,1.2324,1.1913,1.2324,0.2736,5063
158,1990-05-07,1.2324,1.3146,1.2324,1.2324,0.2736,26719
159,1990-05-09,1.2324,1.2324,1.2324,1.2324,0.2736,9000
160,1990-05-10,1.2735,1.3146,1.2324,1.2735,0.2828,10688
161,1990-05-11,1.3146,1.3146,1.2324,1.3146,0.2919,78750
162,1990-05-14,1.3146,1.3146,1.2324,1.3146,0.2919,9563
163,1990-05-15,1.3557,1.3557,1.2735,1.3557,0.301,109125
164,1990-05-16,1.3146,1.3557,1.3146,1.3146,0.2919,24469
165,1990-05-17,1.3146,1.3146,1.2735,1.3146,0.2919,32625
166,1990-05-18,1.3351,1.3967,1.3146,1.3351,0.2964,37969
167,1990-05-21,1.3557,1.4378,1.3557,1.3557,0.301,18844
168,1990-05-22,1.4789,1.4789,1.3967,1.4789,0.3284,15750
169,1990-05-23,1.4789,1.4789,1.3557,1.4789,0.3284,9281
170,1990-05-24,1.4789,1.4789,1.3557,1.4789,0.3284,127969
171,1990-05-25,1.3967,1.4789,1.3967,1.3967,0.3101,16313
172,1990-05-29,1.4789,1.4789,1.3967,1.4789,0.3284,32906
173,1990-05-30,1.52,1.52,1.3967,1.52,0.3375,25313
174,1990-05-31,1.52,1.52,1.4378,1.52,0.3375,286031
175,1990-06-01,1.52,1.52,1.4789,1.52,0.3375,68062
176,1990-06-04,1.52,1.52,1.4789,1.52,0.3375,16875
177,1990-06-05,1.52,1.52,1.4789,1.52,0.3375,14063
178,1990-06-06,1.4789,1.52,1.4789,1.4789,0.3284,25031
179,1990-06-07,1.4789,1.52,1.4789,1.4789,0.3284,28969
180,1990-06-08,1.4378,1.52,1.4378,1.4378,0.3192,11531
181,1990-06-11,1.4789,1.52,1.3967,1.4789,0.3284,30938
182,1990-06-12,1.4789,1.4789,1.4789,1.4789,0.3284,14906
183,1990-06-13,1.3967,1.4789,1.3967,1.3967,0.3101,57375
184,1990-06-14,1.4789,1.4789,1.3967,1.4789,0.3284,6188
185,1990-06-15,1.4789,1.4789,1.4378,1.4789,0.3284,13500
186,1990-06-18,1.4789,1.4789,1.3967,1.4789,0.3284,2813
187,1990-06-19,1.4789,1.4789,1.3967,1.4789,0.3284,15750
188,1990-06-20,1.4789,1.4789,1.4584,1.4789,0.3284,3656
189,1990-06-21,1.4789,1.52,1.3967,1.4789,0.3284,87750
190,1990-06-22,1.4994,1.5611,1.4789,1.4994,0.3329,50344
191,1990-06-25,1.5611,1.5611,1.4789,1.5611,0.3466,14625
192,1990-06-26,1.4789,1.5611,1.4789,1.4789,0.3284,22219
193,1990-06-27,1.7665,1.8486,1.52,1.7665,0.3922,197156
194,1990-06-28,1.8075,1.8897,1.6843,1.8075,0.4013,111375
195,1990-06-29,1.7665,1.8075,1.6843,1.7665,0.3922,32625
196,1990-07-02,1.8075,1.8075,1.6843,1.8075,0.4013,77344
197,1990-07-03,1.8075,1.8075,1.6843,1.8075,0.4013,23344
198,1990-07-05,1.7665,1.7665,1.6843,1.7665,0.3922,20250
199,1990-07-06,1.7459,1.7665,1.6843,1.7459,0.3877,44719
200,1990-07-09,1.7665,1.7665,1.6843,1.7665,0.3922,42469
201,1990-07-10,1.7665,1.8075,1.7665,1.7665,0.3922,38813
202,1990-07-11,1.8075,1.8075,1.7254,1.8075,0.4013,14063
203,1990-07-12,1.8075,1.8075,1.7254,1.8075,0.4013,18281
204,1990-07-13,1.7665,1.8075,1.7254,1.7665,0.3922,86344
205,1990-07-16,1.9308,1.9308,1.7254,1.9308,0.4287,94500
206,1990-07-17,1.8897,1.9308,1.8075,1.8897,0.4196,30938
207,1990-07-18,1.9308,1.9308,1.8075,1.9308,0.4287,184500
208,1990-07-19,2.0951,2.0951,1.8486,2.0951,0.4652,224438
209,1990-07-20,2.1362,2.2594,1.9719,2.1362,0.4743,149625
210,1990-07-23,2.0951,2.2594,1.9719,2.0951,0.4652,79594
211,1990-07-24,2.054,2.1362,1.9719,2.054,0.4561,95344
212,1990-07-25,2.0951,2.1773,2.054,2.0951,0.4652,23344
213,1990-07-26,2.3827,2.3827,2.1362,2.3827,0.529,272250
214,1990-07-27,2.3827,2.3827,2.2183,2.3827,0.529,81844
215,1990-07-30,2.3621,2.3827,2.2594,2.3621,0.5245,147375
216,1990-07-31,2.2594,2.3827,2.2594,2.2594,0.5017,92812
217,1990-08-01,2.4032,2.4237,2.2594,2.4032,0.5336,225562
218,1990-08-02,2.3005,2.4237,2.3005,2.3005,0.5108,92812
219,1990-08-03,2.1773,2.3827,2.0951,2.1773,0.4834,276750
