,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1983-11-21,70.6247,70.7501,65.6255,70.2502,1.2527,5020667
1,1983-11-22,70.2502,71.25,69.8748,70.0003,1.2482,2666896
2,1983-11-23,70.0003,70.2502,69.2503,69.6248,1.2415,1151978
3,1983-11-25,69.6248,69.7503,68.875,68.875,1.2282,1772000
4,1983-11-28,68.5004,68.5004,66.7498,66.9997,1.1947,2368004
5,1983-11-29,66.8752,66.8752,66.1253,66.2498,1.1814,1630560
6,1983-11-30,66.2498,66.7498,65.9999,66.2498,1.1814,2423157
7,1983-12-01,66.2498,66.7498,65.8754,66.2498,1.1814,6249147
8,1983-12-02,66.2498,66.9997,65.7499,66.1253,1.1791,1763994
9,1983-12-05,66.1253,66.2498,65.3754,65.3754,1.1658,1084372
10,1983-12-06,65.3754,65.8754,65.3754,65.6255,1.1702,2176749
11,1983-12-07,65.6255,66.7498,65.6255,66.2498,1.1814,4856099
12,1983-12-08,66.2498,66.6253,66.1253,66.3752,1.1836,7360205
13,1983-12-09,66.3752,66.8752,66.3752,66.4999,1.1858,5222597
14,1983-12-12,66.4999,66.8752,66.3752,66.6253,1.1881,2835022
15,1983-12-13,66.7498,67.875,66.7498,67.6252,1.2059,6693036
16,1983-12-14,67.6252,68.125,67.6252,67.875,1.2103,2521008
17,1983-12-15,67.875,67.875,67.3751,67.3751,1.2014,2323526
18,1983-12-16,67.3751,67.9996,67.3751,67.7497,1.2081,2452512
19,1983-12-19,67.7497,67.7497,67.4997,67.4997,1.2037,1610990
20,1983-12-20,67.4997,67.7497,66.9997,67.1252,1.197,1937458
21,1983-12-21,67.1252,67.3751,66.4999,66.7498,1.1903,1935679
22,1983-12-22,66.6253,66.6253,65.8754,65.8754,1.1747,4871221
23,1983-12-23,65.8754,65.9999,65.3754,65.5,1.168,2338649
24,1983-12-27,65.3754,65.3754,65.0,65.1246,1.1613,3004928
25,1983-12-28,65.1246,65.7499,65.1246,65.6255,1.1702,4580336
26,1983-12-29,65.6255,65.8754,65.5,65.5,1.168,2998701
27,1983-12-30,65.5,65.6255,65.1246,65.2499,1.1635,1745313
28,1984-01-03,65.6255,67.2496,65.6255,67.1252,1.197,1973930
29,1984-01-04,67.4997,70.3747,67.4997,69.1249,1.2326,3632956
30,1984-01-05,69.6248,71.1247,69.6248,69.7503,1.2438,3759273
31,1984-01-06,69.5003,71.5,69.5003,71.0001,1.2661,4508281
32,1984-01-09,71.0001,71.0001,70.1247,70.1247,1.2505,1791570
