,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1972-06-01,42.2496,42.3744,42.2496,42.2496,0.1497,249600
1,1972-06-02,42.3744,42.7488,42.3744,42.3744,0.1502,172800
2,1972-06-05,42.3744,42.9984,42.2496,42.9984,0.1524,302400
3,1972-06-06,42.9984,43.752,42.8736,42.9984,0.1524,196800
4,1972-06-07,42.9984,42.9984,42.624,42.624,0.151,48000
5,1972-06-08,42.624,42.9984,42.4992,42.7488,0.1515,144000
6,1972-06-09,42.7488,42.9984,42.4992,42.7488,0.1515,43200
7,1972-06-12,42.9984,43.248,42.9984,43.248,0.1532,24000
8,1972-06-13,43.1232,43.1232,42.4992,42.4992,0.1506,76800
9,1972-06-14,42.4992,42.7488,42.4992,42.4992,0.1506,244800
10,1972-06-15,42.7488,42.8736,42.7488,42.8736,0.1519,206400
11,1972-06-16,42.8736,43.248,42.8736,43.248,0.1532,48000
12,1972-06-19,42.9984,42.9984,42.8736,42.8736,0.1519,91200
13,1972-06-20,42.8736,42.9984,42.8736,42.9984,0.1524,14400
14,1972-06-21,42.9984,42.9984,42.8736,42.8736,0.1519,48000
15,1972-06-22,42.8736,43.248,42.7488,43.248,0.1532,86400
16,1972-06-23,43.5024,43.8768,43.5024,43.8768,0.1555,96000
17,1972-06-26,43.8768,44.0016,43.5024,44.0016,0.1559,62400
18,1972-06-27,44.2512,44.5008,44.2512,44.2512,0.1568,67200
19,1972-06-28,44.6256,45.4992,44.6256,45.4992,0.1612,144000
20,1972-06-29,45.3744,45.3744,45.3744,45.3744,0.1608,28800
21,1972-06-30,45.4992,45.9984,45.4992,45.9984,0.163,72000
22,1972-07-03,45.9984,46.752,45.9984,46.752,0.1657,57600
23,1972-07-05,46.752,46.752,46.248,46.248,0.1639,211200
24,1972-07-06,46.5024,48.4992,46.5024,48.4992,0.1719,254400
25,1972-07-07,48.4992,49.248,48.4992,48.7488,0.1727,412800
26,1972-07-10,48.7488,48.9984,48.4992,48.9984,0.1736,0
27,1972-07-11,48.9984,49.1232,48.7488,48.9984,0.1736,2904000
28,1972-07-12,48.9984,49.248,48.9984,48.9984,0.1736,259200
29,1972-07-13,48.9984,49.5024,48.9984,49.5024,0.1754,225600
30,1972-07-14,49.5024,49.5024,49.1232,49.5024,0.1754,172800
31,1972-07-17,49.5024,49.6272,49.248,49.6272,0.1759,62400
32,1972-07-18,49.6272,50.0016,49.3728,49.752,0.1763,220800
33,1972-07-19,49.752,50.0016,49.5024,50.0016,0.1772,24000
34,1972-07-20,50.0016,50.0016,49.6272,49.8768,0.1767,76800
35,1972-07-21,49.8768,50.2512,49.8768,50.2512,0.1781,273600
36,1972-07-24,50.2512,50.2512,50.0016,50.1264,0.1776,225600
37,1972-07-25,50.1264,50.7504,50.1264,50.6256,0.1794,278400
38,1972-07-26,50.7504,50.8752,50.7504,50.8752,0.1803,86400
39,1972-07-27,50.8752,50.8752,50.0016,50.0016,0.1772,518400
40,1972-07-28,50.2512,50.5008,50.2512,50.376,0.1785,67200
41,1972-07-31,50.376,50.376,50.1264,50.376,0.1798,86400
42,1972-08-01,50.376,51.2496,50.1264,51.0,0.1821,264000
43,1972-08-02,51.0,51.7488,50.7504,51.4992,0.1839,211200
44,1972-08-03,51.4992,51.7488,51.0,51.7488,0.1847,264000
45,1972-08-04,51.9984,52.5024,51.9984,52.248,0.1865,681600
46,1972-08-07,52.752,53.0016,52.752,52.8768,0.1888,206400
47,1972-08-08,52.8768,52.8768,52.752,52.752,0.1883,547200
48,1972-08-09,52.752,53.0016,52.5024,52.5024,0.1874,244800
49,1972-08-10,52.752,53.0016,52.752,53.0016,0.1892,153600
50,1972-08-11,53.0016,53.0016,52.8768,53.0016,0.1892,86400
51,1972-08-14,53.0016,53.5008,53.0016,53.2512,0.1901,124800
52,1972-08-15,53.5008,54.0,53.5008,53.6256,0.1914,120000
53,1972-08-16,54.0,54.4992,54.0,54.2496,0.1937,81600
54,1972-08-17,54.3744,54.4992,54.3744,54.3744,0.1941,67200
55,1972-08-18,54.9984,55.752,54.9984,55.3728,0.1977,321600
56,1972-08-21,55.3728,55.6272,55.3728,55.6272,0.1986,19200
57,1972-08-22,55.752,56.5008,55.752,56.5008,0.2017,350400
58,1972-08-23,56.5008,56.7504,56.2512,56.7504,0.2026,177600
59,1972-08-24,56.7504,57.0,56.7504,57.0,0.2035,72000
60,1972-08-25,56.8752,56.8752,56.5008,56.6256,0.2022,244800
61,1972-08-28,56.6256,56.7504,56.376,56.376,0.2013,81600
62,1972-08-29,56.2512,56.2512,56.2512,56.2512,0.2008,52800
63,1972-08-30,56.2512,56.376,56.0016,56.0016,0.1999,91200
64,1972-08-31,56.1264,56.2512,56.1264,56.1264,0.2004,33600
65,1972-09-01,56.1264,56.376,56.1264,56.376,0.2013,48000
66,1972-09-05,56.376,56.5008,56.1264,56.1264,0.2004,172800
67,1972-09-06,56.0016,56.0016,55.752,55.8768,0.1995,100800
68,1972-09-07,55.6272,55.6272,55.248,55.248,0.1972,33600
69,1972-09-08,54.9984,54.9984,54.2496,54.8736,0.1959,211200
70,1972-09-11,54.8736,54.9984,54.7488,54.9984,0.1963,33600
71,1972-09-12,55.1232,55.6272,55.1232,55.5024,0.1981,139200
72,1972-09-13,55.5024,55.752,55.5024,55.5024,0.1981,134400
73,1972-09-14,55.5024,55.752,55.5024,55.5024,0.1981,230400
74,1972-09-15,55.5024,55.752,55.5024,55.752,0.199,0
75,1972-09-18,55.5024,55.5024,55.1232,55.5024,0.1981,91200
76,1972-09-19,55.5024,55.5024,55.5024,55.5024,0.1981,52800
77,1972-09-20,55.5024,55.5024,54.9984,54.9984,0.1963,187200
78,1972-09-21,55.1232,55.5024,55.1232,55.5024,0.1981,72000
79,1972-09-22,55.5024,55.752,55.5024,55.5024,0.1981,67200
80,1972-09-25,55.5024,55.6272,55.248,55.248,0.1972,144000
81,1972-09-26,55.248,55.248,54.624,54.9984,0.1963,134400
82,1972-09-27,54.7488,54.7488,54.0,54.2496,0.1937,192000
83,1972-09-28,54.0,54.0,53.5008,53.5008,0.191,129600
84,1972-09-29,53.5008,53.8752,53.2512,53.7504,0.1919,148800
85,1972-10-02,54.0,54.4992,54.0,54.4992,0.1946,72000
86,1972-10-03,54.4992,54.9984,54.2496,54.7488,0.1955,124800
87,1972-10-04,54.9984,55.5024,54.9984,55.5024,0.1981,67200
88,1972-10-05,55.752,56.1264,55.752,55.8768,0.1995,432000
89,1972-10-06,55.8768,56.1264,55.8768,56.0016,0.1999,787200
90,1972-10-09,56.2512,56.5008,56.2512,56.5008,0.2017,57600
91,1972-10-10,56.376,56.376,56.0016,56.2512,0.2008,115200
92,1972-10-11,56.2512,56.376,56.0016,56.376,0.2013,163200
93,1972-10-12,56.376,56.376,56.0016,56.0016,0.1999,33600
94,1972-10-13,55.752,55.752,54.7488,54.7488,0.1955,86400
95,1972-10-16,54.3744,54.3744,53.2512,53.2512,0.1901,67200
96,1972-10-17,53.1264,53.1264,52.6272,53.0016,0.1892,96000
97,1972-10-18,53.5008,54.0,53.5008,54.0,0.1928,139200
98,1972-10-19,54.0,54.2496,54.0,54.0,0.1928,57600
99,1972-10-20,54.0,54.624,54.0,54.3744,0.1941,96000
100,1972-10-23,54.7488,56.5008,54.7488,56.5008,0.2017,192000
101,1972-10-24,56.5008,56.8752,56.2512,56.5008,0.2017,124800
102,1972-10-25,56.5008,56.5008,56.0016,56.0016,0.1999,38400
103,1972-10-26,56.0016,56.7504,55.6272,55.6272,0.1986,172800
104,1972-10-27,55.752,55.8768,55.752,55.752,0.199,76800
105,1972-10-30,55.752,56.2512,55.752,56.2512,0.2022,72000
106,1972-10-31,56.2512,56.7504,56.1264,56.5008,0.2031,148800
107,1972-11-01,56.5008,57.0,56.5008,57.0,0.2049,96000
108,1972-11-02,57.0,57.4992,57.0,57.0,0.2049,230400
109,1972-11-03,57.2496,57.4992,57.2496,57.2496,0.2058,110400
110,1972-11-06,57.2496,57.4992,57.0,57.0,0.2049,105600
111,1972-11-08,57.0,57.2496,57.0,57.2496,0.2058,96000
112,1972-11-09,57.2496,57.7488,57.2496,57.3744,0.2062,124800
113,1972-11-10,57.624,58.248,57.624,58.248,0.2094,201600
114,1972-11-13,58.248,58.3728,57.9984,58.3728,0.2098,57600
115,1972-11-14,57.9984,57.9984,57.8736,57.8736,0.208,52800
116,1972-11-15,57.8736,58.248,57.7488,58.1232,0.2089,86400
117,1972-11-16,58.1232,58.1232,57.9984,57.9984,0.2085,33600
118,1972-11-17,57.9984,58.248,57.624,57.9984,0.2085,177600
119,1972-11-20,57.8736,57.8736,57.624,57.624,0.2071,33600
120,1972-11-21,57.624,57.624,57.4992,57.4992,0.2067,158400
121,1972-11-22,57.7488,58.1232,57.7488,57.7488,0.2076,163200
122,1972-11-24,57.7488,58.248,57.7488,57.9984,0.2085,76800
123,1972-11-27,57.7488,57.7488,57.4992,57.7488,0.2076,144000
124,1972-11-28,57.7488,57.7488,57.4992,57.4992,0.2067,182400
125,1972-11-29,57.4992,57.4992,57.4992,57.4992,0.2067,4800
126,1972-11-30,57.4992,57.4992,57.2496,57.2496,0.2058,316800
127,1972-12-01,57.2496,57.7488,57.2496,57.624,0.2071,172800
128,1972-12-04,57.624,57.7488,57.4992,57.4992,0.2067,67200
129,1972-12-05,57.4992,57.7488,57.3744,57.7488,0.2076,72000
130,1972-12-06,57.7488,57.7488,57.2496,57.3744,0.2062,153600
131,1972-12-07,57.3744,57.624,57.2496,57.624,0.2071,144000
132,1972-12-08,57.624,57.624,57.2496,57.3744,0.2062,62400
133,1972-12-11,57.3744,57.7488,57.3744,57.4992,0.2067,86400
134,1972-12-12,57.4992,57.7488,57.3744,57.3744,0.2062,216000
135,1972-12-13,57.3744,57.4992,57.2496,57.4992,0.2067,86400
136,1972-12-14,57.4992,57.8736,57.3744,57.4992,0.2067,172800
137,1972-12-15,57.4992,57.8736,57.3744,57.8736,0.208,110400
138,1972-12-18,57.8736,57.9984,57.4992,57.7488,0.2076,52800
139,1972-12-19,57.7488,58.248,57.624,57.9984,0.2085,124800
140,1972-12-20,57.9984,58.248,57.8736,58.248,0.2094,81600
141,1972-12-21,58.248,58.752,57.7488,58.752,0.2112,96000
142,1972-12-22,58.752,58.752,58.1232,58.3728,0.2098,76800
143,1972-12-26,58.3728,58.3728,58.3728,58.3728,0.2098,14400
144,1972-12-27,58.3728,59.0016,58.248,58.752,0.2112,168000
145,1972-12-29,59.0016,61.248,59.0016,61.248,0.2201,182400
146,1973-01-02,62.0016,62.7504,62.0016,62.7504,0.2255,96000
147,1973-01-03,62.7504,63.2496,62.2512,62.2512,0.2237,76800
148,1973-01-04,62.2512,62.7504,62.1264,62.7504,0.2255,48000
149,1973-01-05,62.7504,62.8752,62.1264,62.6256,0.2251,72000
150,1973-01-08,62.5008,62.5008,62.0016,62.0016,0.2228,86400
151,1973-01-09,62.0016,62.0016,62.0016,62.0016,0.2228,139200
152,1973-01-10,62.376,62.7504,62.376,62.7504,0.2255,86400
153,1973-01-11,62.7504,63.9984,62.6256,63.7488,0.2291,225600
154,1973-01-12,63.7488,64.5024,63.7488,63.7488,0.2291,91200
155,1973-01-15,63.7488,64.248,63.7488,64.248,0.2309,67200
156,1973-01-16,64.248,64.5024,63.8736,64.5024,0.2318,100800
157,1973-01-17,64.5024,64.752,63.0,63.1248,0.2269,350400
158,1973-01-18,63.1248,63.3744,62.7504,63.2496,0.2273,67200
159,1973-01-19,63.2496,63.4992,62.7504,63.2496,0.2273,48000
160,1973-01-22,63.4992,63.8736,63.4992,63.8736,0.2296,43200
161,1973-01-23,63.8736,63.9984,63.0,63.3744,0.2278,216000
162,1973-01-24,63.3744,63.7488,63.2496,63.7488,0.2291,81600
163,1973-01-26,63.1248,63.1248,61.752,61.752,0.2219,235200
164,1973-01-29,61.752,62.2512,61.752,62.2512,0.2251,139200
165,1973-01-30,62.0016,62.0016,61.248,61.248,0.2215,331200
166,1973-01-31,61.248,61.752,61.248,61.248,0.2215,48000
167,1973-02-01,60.4992,60.4992,59.7504,59.7504,0.2161,206400
168,1973-02-02,59.7504,60.0,59.0016,59.5008,0.2152,48000
169,1973-02-05,59.5008,59.5008,58.5024,58.5024,0.2116,115200
170,1973-02-06,57.9984,57.9984,57.0,57.0,0.2061,273600
171,1973-02-07,56.2512,56.2512,54.9984,54.9984,0.1989,158400
172,1973-02-08,54.9984,54.9984,54.2496,54.7488,0.198,398400
173,1973-02-09,54.9984,56.0016,54.9984,56.0016,0.2025,91200
174,1973-02-12,56.2512,57.0,56.2512,56.2512,0.2034,427200
175,1973-02-13,56.2512,56.5008,56.0016,56.5008,0.2043,115200
176,1973-02-14,56.5008,56.5008,56.0016,56.0016,0.2025,105600
177,1973-02-15,55.5024,55.5024,54.9984,54.9984,0.1989,76800
178,1973-02-16,54.9984,54.9984,54.2496,54.2496,0.1962,81600
179,1973-02-20,54.2496,54.2496,54.0,54.0,0.1953,72000
180,1973-02-21,54.0,54.4992,53.8752,54.4992,0.1971,52800
181,1973-02-22,54.2496,54.2496,53.8752,53.8752,0.1948,62400
182,1973-02-23,53.6256,53.6256,53.1264,53.1264,0.1921,105600
183,1973-02-26,53.1264,53.2512,52.752,53.2512,0.1926,120000
184,1973-02-27,53.2512,53.5008,53.0016,53.5008,0.1935,206400
185,1973-02-28,53.376,53.376,53.1264,53.376,0.193,24000
186,1973-03-01,53.6256,54.0,53.6256,53.6256,0.1939,100800
187,1973-03-02,53.6256,54.0,53.376,53.8752,0.1948,52800
188,1973-03-05,54.4992,55.248,54.4992,54.9984,0.1989,96000
189,1973-03-06,54.9984,55.248,54.7488,54.7488,0.198,57600
190,1973-03-07,54.7488,54.7488,54.2496,54.4992,0.1971,81600
191,1973-03-08,54.624,55.752,54.624,55.5024,0.2007,148800
192,1973-03-09,55.5024,55.752,55.248,55.752,0.2016,62400
193,1973-03-12,55.752,55.752,55.5024,55.752,0.2016,76800
194,1973-03-13,55.752,55.752,55.248,55.6272,0.2012,48000
195,1973-03-14,56.0016,56.376,56.0016,56.376,0.2039,38400
196,1973-03-15,56.376,56.6256,56.1264,56.6256,0.2048,72000
197,1973-03-16,56.6256,57.0,56.5008,56.5008,0.2043,100800
198,1973-03-19,56.5008,56.8752,56.376,56.6256,0.2048,38400
199,1973-03-20,56.5008,56.5008,55.752,56.0016,0.2025,264000
200,1973-03-21,56.0016,56.0016,55.752,56.0016,0.2025,105600
201,1973-03-22,56.0016,56.0016,55.752,55.752,0.2016,153600
202,1973-03-23,55.6272,55.6272,55.5024,55.6272,0.2012,52800
203,1973-03-26,55.752,56.0016,55.752,56.0016,0.2025,76800
204,1973-03-27,56.0016,56.0016,56.0016,56.0016,0.2025,4800
205,1973-03-28,56.5008,56.7504,56.5008,56.7504,0.2052,28800
206,1973-03-29,56.7504,57.0,56.2512,56.8752,0.2057,57600
207,1973-03-30,56.8752,57.2496,56.5008,56.5008,0.2043,96000
208,1973-04-02,56.2512,56.2512,55.5024,55.752,0.2016,153600
209,1973-04-03,55.752,55.752,55.752,55.752,0.2016,96000
210,1973-04-04,56.0016,56.2512,56.0016,56.2512,0.2034,28800
211,1973-04-05,56.2512,56.5008,55.752,55.752,0.2016,72000
212,1973-04-06,55.752,56.1264,55.752,55.752,0.2016,48000
213,1973-04-09,56.0016,56.5008,56.0016,56.5008,0.2043,105600
214,1973-04-10,57.0,57.2496,57.0,57.0,0.2061,19200
215,1973-04-11,57.0,57.2496,56.7504,57.2496,0.207,38400
216,1973-04-12,57.0,57.0,56.7504,56.7504,0.2052,67200
217,1973-04-13,56.7504,56.7504,56.0016,56.5008,0.2043,163200
218,1973-04-16,56.6256,57.2496,56.6256,56.7504,0.2052,57600
219,1973-04-17,56.7504,57.0,56.7504,57.0,0.2061,14400
220,1973-04-18,57.4992,57.4992,57.4992,57.4992,0.2079,76800
221,1973-04-19,57.4992,57.7488,57.0,57.7488,0.2088,192000
222,1973-04-23,57.7488,57.9984,57.4992,57.7488,0.2088,62400
223,1973-04-24,57.7488,57.9984,57.2496,57.9984,0.2097,91200
224,1973-04-25,57.9984,57.9984,57.4992,57.9984,0.2097,57600
225,1973-04-26,57.7488,57.7488,57.2496,57.2496,0.207,52800
226,1973-04-27,57.2496,57.4992,56.5008,56.5008,0.2043,115200
227,1973-04-30,56.1264,56.1264,54.9984,56.1264,0.2043,508800
228,1973-05-01,56.1264,56.5008,56.1264,56.5008,0.2057,273600
229,1973-05-02,56.5008,56.5008,56.1264,56.1264,0.2043,38400
230,1973-05-03,56.1264,56.6256,56.1264,56.6256,0.2061,268800
231,1973-05-04,56.6256,57.1248,56.1264,57.1248,0.2079,1185600
232,1973-05-07,56.6256,56.6256,56.1264,56.1264,0.2043,52800
233,1973-05-08,56.6256,57.1248,56.6256,57.1248,0.2079,38400
234,1973-05-09,57.1248,57.1248,56.6256,57.1248,0.2079,76800
235,1973-05-10,56.6256,56.6256,56.1264,56.1264,0.2043,552000
236,1973-05-11,56.1264,56.1264,56.1264,56.1264,0.2043,28800
237,1973-05-14,55.6272,55.6272,55.6272,55.6272,0.2025,67200
238,1973-05-15,55.6272,55.6272,55.248,55.6272,0.2025,62400
239,1973-05-16,55.6272,56.1264,55.6272,55.6272,0.2025,172800
240,1973-05-17,55.248,55.248,54.2496,54.2496,0.1975,81600
241,1973-05-18,54.2496,54.7488,54.2496,54.2496,0.1975,360000
242,1973-05-21,54.2496,54.2496,53.7504,53.7504,0.1957,148800
243,1973-05-22,53.7504,53.7504,53.7504,53.7504,0.1957,100800
244,1973-05-23,53.7504,53.7504,53.2512,53.7504,0.1957,124800
245,1973-05-24,53.7504,53.7504,53.2512,53.7504,0.1957,14400
246,1973-05-25,53.7504,53.7504,52.752,53.7504,0.1957,57600
247,1973-05-29,53.7504,54.2496,53.7504,54.2496,0.1975,43200
248,1973-05-30,54.2496,55.248,54.2496,54.7488,0.1993,168000
249,1973-05-31,54.7488,55.248,54.2496,55.248,0.2011,72000
250,1973-06-01,55.248,56.1264,55.248,55.6272,0.2025,33600
251,1973-06-04,55.6272,55.6272,55.248,55.6272,0.2025,57600
252,1973-06-05,55.6272,57.1248,55.6272,56.6256,0.2061,331200
253,1973-06-06,57.1248,57.1248,57.1248,57.1248,0.2079,28800
254,1973-06-07,57.1248,57.1248,57.1248,57.1248,0.2079,115200
255,1973-06-08,57.1248,57.1248,56.6256,56.6256,0.2061,91200
256,1973-06-11,56.6256,56.6256,56.6256,56.6256,0.2061,33600
257,1973-06-12,56.6256,57.624,56.6256,57.624,0.2098,96000
258,1973-06-13,57.624,57.624,57.1248,57.1248,0.2079,297600
259,1973-06-14,57.1248,57.1248,57.1248,57.1248,0.2079,19200
260,1973-06-15,56.6256,56.6256,56.6256,56.6256,0.2061,19200
261,1973-06-18,57.1248,57.1248,57.1248,57.1248,0.2079,24000
262,1973-06-19,57.1248,57.1248,56.6256,56.6256,0.2061,201600
263,1973-06-20,56.6256,56.6256,55.6272,56.6256,0.2061,81600
264,1973-06-21,56.6256,56.6256,56.1264,56.6256,0.2061,43200
265,1973-06-22,56.6256,56.6256,56.1264,56.1264,0.2043,76800
266,1973-06-25,56.6256,56.6256,56.6256,56.6256,0.2061,105600
267,1973-06-26,56.6256,56.6256,56.1264,56.6256,0.2061,120000
268,1973-06-27,56.1264,56.1264,56.1264,56.1264,0.2043,14400
269,1973-06-28,56.1264,56.1264,56.1264,56.1264,0.2043,19200
270,1973-06-29,57.1248,57.1248,57.1248,57.1248,0.2079,148800
271,1973-07-02,57.1248,57.1248,56.6256,57.1248,0.2079,48000
272,1973-07-03,57.1248,57.624,57.1248,57.1248,0.2079,254400
273,1973-07-05,57.1248,57.1248,56.6256,56.6256,0.2061,72000
274,1973-07-06,56.6256,56.6256,56.6256,56.6256,0.2061,38400
275,1973-07-09,56.6256,57.1248,56.6256,57.1248,0.2079,48000
276,1973-07-10,57.624,58.1232,57.624,57.624,0.2098,240000
277,1973-07-11,58.1232,59.5008,58.1232,59.0016,0.2148,288000
278,1973-07-12,59.0016,59.5008,58.5024,59.5008,0.2166,206400
279,1973-07-13,59.0016,59.0016,58.5024,58.5024,0.213,57600
280,1973-07-16,58.5024,59.0016,58.1232,58.5024,0.213,38400
281,1973-07-17,58.5024,59.0016,58.1232,58.5024,0.213,33600
282,1973-07-18,58.5024,58.5024,58.5024,58.5024,0.213,0
283,1973-07-19,58.5024,59.0016,58.1232,59.0016,0.2148,28800
284,1973-07-20,58.5024,58.5024,58.1232,58.5024,0.213,67200
285,1973-07-23,58.5024,58.5024,57.1248,57.1248,0.2079,62400
286,1973-07-24,57.1248,58.1232,56.6256,58.1232,0.2116,192000
287,1973-07-25,58.5024,59.0016,58.5024,59.0016,0.2148,288000
288,1973-07-26,59.0016,60.4992,59.0016,60.0,0.2184,456000
289,1973-07-27,60.0,60.0,60.0,60.0,0.2184,129600
290,1973-07-30,60.0,60.0,59.0016,59.0016,0.2162,33600
291,1973-07-31,59.0016,59.0016,58.5024,58.5024,0.2144,9600
292,1973-08-01,58.5024,58.5024,58.5024,58.5024,0.2144,33600
293,1973-08-02,58.5024,59.0016,58.5024,59.0016,0.2162,24000
294,1973-08-03,60.4992,60.9984,60.4992,60.4992,0.2217,268800
295,1973-08-06,60.0,60.0,60.0,60.0,0.2199,33600
296,1973-08-07,60.0,60.0,59.0016,59.0016,0.2162,38400
297,1973-08-08,58.5024,58.5024,58.1232,58.1232,0.213,57600
298,1973-08-09,57.624,57.624,56.6256,57.1248,0.2093,412800
299,1973-08-10,57.1248,57.1248,56.6256,56.6256,0.2075,67200
300,1973-08-13,56.6256,56.6256,56.6256,56.6256,0.2075,14400
