,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1997-12-31,6.219,6.423,6.188,6.391,6.391,3662400
1,1998-01-02,6.36,6.423,6.086,6.141,6.141,2352000
2,1998-01-05,6.235,6.235,5.875,6.079,6.079,3129600
3,1998-01-06,6.094,6.094,5.969,6.0,6.0,2175200
4,1998-01-07,6.0,6.016,5.938,5.969,5.969,1284800
5,1998-01-08,5.938,5.969,5.758,5.805,5.805,3770400
6,1998-01-09,5.798,5.875,5.61,5.798,5.798,2343200
7,1998-01-12,5.688,5.719,5.579,5.719,5.719,2109600
8,1998-01-13,5.719,5.829,5.563,5.766,5.766,2331200
9,1998-01-14,5.781,6.11,5.719,6.031,6.031,2708000
10,1998-01-15,6.235,6.235,6.101,6.156,6.156,3276800
11,1998-01-16,6.173,6.235,6.079,6.204,6.204,1708000
12,1998-01-20,6.219,6.235,6.0,6.048,6.048,2235200
13,1998-01-21,5.969,6.25,5.923,6.219,6.219,2358400
14,1998-01-22,6.173,6.204,6.063,6.063,6.063,765600
15,1998-01-23,6.125,6.164,5.938,6.016,6.016,2728000
16,1998-01-26,6.125,6.173,6.063,6.094,6.094,1074400
17,1998-01-27,6.079,6.141,6.0,6.079,6.079,1519200
18,1998-01-28,6.094,6.438,6.031,6.344,6.344,3615200
19,1998-01-29,6.406,6.563,6.298,6.423,6.423,2557600
20,1998-01-30,6.531,6.531,6.266,6.281,6.281,1438400
21,1998-02-02,6.406,6.469,6.298,6.375,6.375,1772000
22,1998-02-03,6.329,6.516,6.329,6.485,6.485,2948800
23,1998-02-04,6.5,6.704,6.438,6.688,6.688,3702400
24,1998-02-05,6.704,6.844,6.548,6.61,6.61,2917600
25,1998-02-06,6.563,6.641,6.469,6.563,6.563,1243200
26,1998-02-09,6.656,6.766,6.563,6.766,6.766,3504000
27,1998-02-10,6.86,7.492,6.86,7.438,7.438,10968800
28,1998-02-11,7.485,7.735,7.329,7.633,7.633,5724000
29,1998-02-12,7.531,7.766,7.5,7.742,7.742,2548000
30,1998-02-13,7.719,7.875,7.641,7.766,7.766,1880800
31,1998-02-17,7.781,7.798,7.688,7.766,7.766,3797600
32,1998-02-18,7.766,7.766,7.423,7.508,7.508,4496000
33,1998-02-19,7.469,7.508,7.313,7.485,7.485,6112800
34,1998-02-20,7.469,7.508,7.423,7.504,7.504,2148800
35,1998-02-23,7.531,7.531,7.344,7.344,7.344,4872000
36,1998-02-24,7.344,7.423,7.063,7.07,7.07,4773600
