Date,Open,High,Low,Close,Adjusted_close,Volume
2014-07-15,17.305,17.305,17.305,17.305,17.305,0
2014-07-16,17.09,17.09,17.09,17.09,17.09,0
2014-07-17,17.195,17.195,17.195,17.195,17.195,0
2014-07-18,16.87,16.87,16.87,16.87,16.87,0
2014-07-21,16.6,16.6,16.6,16.6,16.6,0
2014-07-22,16.425,16.425,16.425,16.425,16.425,0
2014-07-23,16.495,16.495,16.495,16.495,16.495,0
2014-07-24,15.97,15.97,15.97,15.97,15.97,0
2014-07-25,15.66,15.66,15.66,15.66,15.66,0
2014-07-28,15.65,15.65,15.65,15.65,15.65,0
2014-07-29,15.86,15.86,15.86,15.86,15.86,0
2014-07-30,15.855,16.055,15.75,16.055,16.055,100
2014-07-31,15.855,15.855,15.855,15.855,15.855,0
2014-08-01,14.975,14.975,14.76,14.76,14.76,0
2014-08-04,14.555,14.555,14.555,14.555,14.555,0
2014-08-05,14.435,14.485,14.435,14.485,14.485,0
2014-08-06,14.525,14.82,14.525,14.82,14.82,0
2014-08-07,14.325,14.325,14.325,14.325,14.325,0
2014-08-08,16.03,16.03,15.955,15.955,15.955,12
2014-08-11,15.855,15.855,15.855,15.855,15.855,0
2014-08-12,16.065,16.065,16.065,16.065,16.065,0
2014-08-13,15.46,15.46,15.46,15.46,15.46,0
2014-08-14,15.765,15.765,15.765,15.765,15.765,0
2014-08-15,16.2,16.2,16.2,16.2,16.2,0
2014-08-18,15.87,15.87,15.87,15.87,15.87,0
2014-08-19,16.325,16.325,16.325,16.325,16.325,0
2014-08-20,16.37,16.37,16.37,16.37,16.37,0
2014-08-21,16.76,16.77,16.76,16.77,16.77,0
2014-08-22,16.77,17.135,16.77,17.095,17.095,0
2014-08-25,17.22,17.22,17.22,17.22,17.22,0
2014-08-26,16.92,17.17,16.92,17.17,17.17,350
2014-08-27,17.065,17.065,17.065,17.065,17.065,0
2014-08-28,16.73,16.73,16.73,16.73,16.73,0
2014-08-29,16.635,16.635,16.635,16.635,16.635,0
2014-09-02,16.825,16.825,16.8,16.8,16.8,0
2014-09-03,16.3,16.3,16.3,16.3,16.3,0
2014-09-04,16.305,16.305,16.305,16.305,16.305,350
2014-09-05,16.625,16.625,16.625,16.625,16.625,0
2014-09-08,16.85,16.85,16.85,16.85,16.85,0
2014-09-09,16.885,16.885,16.885,16.885,16.885,0
2014-09-10,16,16,16,16,16,0
2014-09-11,16.15,16.15,16.15,16.15,16.15,0
2014-09-12,16.315,16.315,16.315,16.315,16.315,0
2014-09-15,16.17,16.17,16.17,16.17,16.17,0
2014-09-16,15.455,15.455,15.455,15.455,15.455,0
2014-09-17,15.625,15.625,15.625,15.625,15.625,0
2014-09-18,15.99,15.99,15.99,15.99,15.99,0
2014-09-19,15.975,15.975,15.975,15.975,15.975,0
2014-09-22,15.74,15.74,15.74,15.74,15.74,0
2014-09-23,15.205,15.205,15.14,15.14,15.14,0
2014-09-24,14.9,14.9,14.9,14.9,14.9,0
2014-09-25,15.755,15.755,15.755,15.755,15.755,0
2014-09-26,15.115,15.115,15.115,15.115,15.115,0
