,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2005-02-09,15.55,15.75,15.25,15.31,119.9215,313526
1,2005-02-10,15.34,15.5,15.3,15.5,121.41,52226
2,2005-02-11,15.42,15.62,15.38,15.6,122.193,30440
3,2005-02-14,15.5,15.62,15.4,15.52,121.5665,16553
4,2005-02-15,15.51,15.66,15.5,15.5,121.41,13676
5,2005-02-16,15.4,16.0,15.4,15.85,124.1515,17050
6,2005-02-17,15.93,16.09,15.8,15.86,124.23,13106
7,2005-02-18,15.88,16.17,15.88,16.0,125.3265,20896
8,2005-02-22,15.9,15.9,15.45,15.52,121.5665,11883
9,2005-02-23,15.56,15.71,15.5,15.67,122.7415,14530
10,2005-02-24,15.68,15.8,15.6,15.65,122.585,6656
11,2005-02-25,15.62,15.75,15.6,15.69,122.898,11956
12,2005-02-28,15.65,15.7,15.43,15.61,122.2715,16926
13,2005-03-01,15.61,15.8,15.61,15.69,122.898,6910
14,2005-03-02,15.63,15.74,15.54,15.55,121.8015,4486
15,2005-03-03,15.6,15.6,15.45,15.49,121.3315,8226
16,2005-03-04,15.49,15.75,15.43,15.71,123.055,17543
17,2005-03-07,15.71,16.0,15.53,15.9,124.543,11120
18,2005-03-08,15.85,15.85,15.31,15.5,121.41,27780
19,2005-03-09,15.5,15.63,15.33,15.45,121.0185,15576
20,2005-03-10,15.45,15.45,15.2,15.3,119.8435,5583
21,2005-03-11,15.3,15.5,15.12,15.25,119.4515,9626
22,2005-03-14,15.2,15.3,14.59,15.03,117.7285,21963
23,2005-03-15,14.95,15.19,14.95,15.03,117.7285,15326
24,2005-03-16,14.93,15.0,14.8,14.82,116.0835,7206
25,2005-03-17,14.82,14.84,14.63,14.77,115.692,5263
26,2005-03-18,14.77,15.2,14.77,15.01,117.572,11013
27,2005-03-21,15.24,15.25,14.9,15.03,117.7285,12846
28,2005-03-22,14.98,15.1,14.8,15.0,117.4935,13196
29,2005-03-23,15.0,15.0,14.2,14.5,113.577,13236
30,2005-03-24,14.57,14.7,14.45,14.7,115.1435,10530
31,2005-03-28,14.7,14.77,14.52,14.6,114.3605,12063
32,2005-03-29,14.42,15.2,14.25,14.98,117.337,73236
33,2005-03-30,15.0,15.05,14.91,14.95,117.102,7770
34,2005-03-31,15.02,15.1,14.31,14.47,113.342,37840
35,2005-04-01,14.47,14.61,14.15,14.47,113.342,22766
36,2005-04-04,14.4,14.58,14.3,14.48,113.4205,5013
37,2005-04-05,14.4,14.8,14.4,14.6,114.3605,13790
38,2005-04-06,14.83,14.87,14.6,14.6,114.3605,4656
39,2005-04-07,14.6,14.68,14.4,14.67,114.9085,6850
40,2005-04-08,14.65,14.66,14.35,14.39,112.7155,12616
41,2005-04-11,14.45,14.5,14.2,14.5,113.577,9003
42,2005-04-12,14.5,14.59,14.15,14.5,113.577,15640
43,2005-04-13,14.4,14.47,14.3,14.36,112.4805,11530
44,2005-04-14,14.45,14.59,14.3,14.43,113.0285,6053
45,2005-04-15,14.43,14.43,14.15,14.16,110.914,6443
46,2005-04-18,14.32,14.32,13.61,14.05,110.052,7313
47,2005-04-19,14.1,14.3,13.81,14.3,112.0105,10610
48,2005-04-20,14.25,14.65,14.16,14.52,113.7335,6620
49,2005-04-21,14.55,14.6,13.87,14.0,109.6605,20626
50,2005-04-22,13.95,13.95,13.36,13.4,104.961,13160
51,2005-04-25,13.2,13.44,13.2,13.4,104.961,6623
52,2005-04-26,13.35,13.37,12.991,13.0,101.8275,8903
53,2005-04-27,12.96,13.0,12.51,12.84,100.5745,14153
54,2005-04-28,12.84,14.0,12.84,13.0,101.8275,37030
55,2005-04-29,13.1,13.58,13.1,13.5,105.744,20813
56,2005-05-02,13.5,13.58,13.27,13.38,104.804,15793
57,2005-05-03,13.1,13.26,13.1,13.24,103.7075,10140
58,2005-05-04,13.14,13.28,12.97,13.16,103.081,7556
59,2005-05-05,13.26,13.35,13.08,13.23,103.629,8400
60,2005-05-06,13.3,13.53,13.3,13.48,105.5875,7980
61,2005-05-09,13.48,13.6,13.42,13.6,106.5275,6220
62,2005-05-10,13.65,13.65,13.22,13.33,104.4125,6230
63,2005-05-11,13.32,13.74,13.28,13.61,106.6055,5623
64,2005-05-12,13.55,13.63,13.15,13.4,104.961,11046
65,2005-05-13,13.35,13.42,12.92,12.99,101.7495,11740
66,2005-05-16,13.07,13.19,12.97,13.13,102.846,12973
67,2005-05-17,13.14,13.44,13.0,13.3,104.1775,8723
68,2005-05-18,13.25,13.46,13.12,13.46,105.431,9896
69,2005-05-19,13.45,13.68,13.38,13.66,106.9975,7666
70,2005-05-20,13.67,13.75,13.42,13.68,107.154,6543
71,2005-05-23,13.78,13.83,13.57,13.65,106.919,7516
72,2005-05-24,13.6,13.6,13.25,13.25,103.786,6856
73,2005-05-25,13.2,13.38,13.18,13.3,104.1775,10936
74,2005-05-26,13.3,13.5,13.21,13.45,105.3525,13063
75,2005-05-27,13.48,13.65,13.42,13.6,106.5275,11476
76,2005-05-31,13.67,13.7,13.6,13.6,106.5275,6720
77,2005-06-01,13.7,14.15,13.7,13.97,109.4255,18550
78,2005-06-02,14.05,14.45,13.94,14.25,111.619,8623
79,2005-06-03,14.32,14.56,14.32,14.48,113.4205,9240
80,2005-06-06,14.4,14.6,14.18,14.3,112.0105,5463
81,2005-06-07,14.32,14.35,14.23,14.24,111.5405,2933
82,2005-06-08,14.14,14.35,14.02,14.12,110.6005,4643
