,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1972-08-25,32.512,33.1264,32.512,33.024,0.036,2508800
1,1972-08-28,33.024,33.2288,32.8704,32.8704,0.0358,972800
2,1972-08-29,32.768,32.768,32.512,32.512,0.0355,1945600
3,1972-08-30,32.512,32.512,32.256,32.512,0.0355,409600
4,1972-08-31,32.256,32.256,32.0,32.0,0.0349,870400
5,1972-09-01,32.1024,32.256,32.1024,32.256,0.0352,256000
6,1972-09-05,32.256,32.256,32.0,32.0,0.0349,563200
7,1972-09-06,32.256,32.256,32.256,32.256,0.0352,256000
8,1972-09-07,32.256,32.256,32.1024,32.1024,0.035,1177600
9,1972-09-08,32.0,32.0,31.8976,31.8976,0.0348,665600
10,1972-09-11,32.1024,32.1024,32.1024,32.1024,0.035,921600
11,1972-09-12,32.1024,32.1024,32.1024,32.1024,0.035,614400
12,1972-09-13,32.1024,32.1024,32.1024,32.1024,0.035,153600
13,1972-09-14,32.1024,32.3584,32.0,32.3584,0.0353,1280000
14,1972-09-15,32.256,32.256,32.1024,32.1024,0.035,512000
15,1972-09-18,32.256,32.3584,32.256,32.256,0.0352,1075200
16,1972-09-19,32.1024,32.1024,31.8976,32.0,0.0349,3123200
17,1972-09-20,31.744,31.744,31.744,31.744,0.0346,51200
18,1972-09-21,31.488,31.488,30.7712,30.7712,0.0336,1433600
19,1972-09-22,30.6176,30.6176,29.6448,29.6448,0.0323,870400
20,1972-09-25,29.4912,29.4912,28.7744,28.7744,0.0314,972800
21,1972-09-26,28.7744,28.7744,28.5184,28.6208,0.0312,716800
22,1972-09-27,28.3648,28.3648,28.0064,28.0064,0.0305,665600
23,1972-09-28,28.5184,28.9792,28.5184,28.7744,0.0314,1433600
24,1972-09-29,28.9792,29.1328,28.9792,29.1328,0.0318,256000
25,1972-10-02,29.3888,30.5152,29.3888,30.5152,0.0333,1638400
26,1972-10-03,30.7712,30.976,30.7712,30.976,0.0338,512000
27,1972-10-04,31.1296,31.8976,31.1296,31.6416,0.0345,1536000
28,1972-10-05,31.4368,31.4368,30.7712,30.7712,0.0336,1382400
29,1972-10-06,30.6176,30.6176,29.4912,29.4912,0.0322,9779200
30,1972-10-09,29.7472,30.0032,29.7472,30.0032,0.0327,1280000
31,1972-10-10,30.0032,30.0032,30.0032,30.0032,0.0327,0
32,1972-10-11,30.0032,30.1056,29.7472,30.1056,0.0328,460800
33,1972-10-12,30.0032,30.0032,29.9008,29.9008,0.0326,358400
34,1972-10-13,29.9008,29.9008,29.9008,29.9008,0.0326,51200
35,1972-10-16,29.7472,29.7472,29.1328,29.1328,0.0318,665600
36,1972-10-17,29.1328,29.7472,28.8768,29.6448,0.0323,2457600
37,1972-10-18,29.9008,32.0,29.9008,31.744,0.0346,7782400
38,1972-10-19,31.744,32.0,31.744,31.8976,0.0348,10598400
39,1972-10-20,31.6416,31.6416,31.6416,31.6416,0.0345,51200
40,1972-10-23,31.6416,31.6416,31.488,31.488,0.0343,460800
41,1972-10-24,31.6416,31.6416,31.6416,31.6416,0.0345,102400
42,1972-10-25,31.3856,31.3856,30.976,30.976,0.0338,1228800
43,1972-10-26,31.232,31.232,31.232,31.232,0.0341,51200
44,1972-10-27,31.3856,31.3856,31.3856,31.3856,0.0342,204800
45,1972-10-30,31.3856,31.488,31.1296,31.232,0.0341,1331200
46,1972-10-31,31.3856,32.256,31.3856,32.256,0.0352,716800
47,1972-11-01,32.6144,33.7408,32.6144,33.7408,0.0368,2252800
