,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2006-09-20,20.0,20.0,17.65,18.3,11.9154,10817200
1,2006-09-21,18.31,18.5,17.69,17.72,11.5377,4381400
2,2006-09-22,17.2,17.4,16.85,17.35,11.2968,11447700
3,2006-09-25,17.4,18.25,17.33,18.03,11.7396,2744800
4,2006-09-26,18.12,19.09,18.12,19.0,12.3712,5491200
5,2006-09-27,19.1,19.65,19.02,19.4,12.6316,2592300
6,2006-09-28,19.25,19.5,19.23,19.37,12.6121,1916300
7,2006-09-29,19.0,19.23,18.84,19.13,12.4558,6111900
8,2006-10-02,19.2,20.08,19.17,19.76,12.866,7111800
9,2006-10-03,19.89,20.04,19.63,20.0,13.0223,11416000
10,2006-10-04,20.0,20.05,19.5,19.78,12.879,10722800
11,2006-10-05,19.95,19.95,19.59,19.64,12.7879,8782400
12,2006-10-06,19.7,19.78,19.32,19.57,12.7423,6281700
13,2006-10-09,19.9,19.96,19.51,19.73,12.8465,3518000
14,2006-10-10,19.58,19.82,19.5,19.71,12.8334,6132200
15,2006-10-11,19.68,19.68,19.28,19.31,12.573,9504800
16,2006-10-12,19.42,19.42,18.95,19.03,12.3907,8323700
17,2006-10-13,19.0,19.02,18.57,18.87,12.2865,10659500
18,2006-10-16,19.06,19.22,18.72,18.74,12.2019,9966300
19,2006-10-17,18.5,18.68,18.36,18.58,12.0977,4902400
20,2006-10-18,18.55,19.12,18.55,19.0,12.3712,6590900
21,2006-10-19,19.4,19.75,19.2,19.5,12.6967,8959200
22,2006-10-20,19.6,20.0,19.44,19.63,12.7814,5712600
23,2006-10-23,19.66,19.88,19.14,19.58,12.7488,6779100
24,2006-10-24,20.0,21.0,19.9,19.95,12.9897,14763500
25,2006-10-25,20.06,22.2,20.05,21.85,14.2268,11829500
26,2006-10-26,21.72,23.04,21.65,22.34,14.5459,13484800
27,2006-10-27,22.1,22.34,21.52,21.95,14.2919,4564700
28,2006-10-30,21.98,22.2,21.45,22.11,14.3961,5795000
29,2006-10-31,22.493,22.78,21.81,22.05,14.3571,4165200
30,2006-11-01,22.49,22.58,21.94,21.97,14.305,8517800
31,2006-11-02,21.68,22.08,21.44,21.83,14.2138,7359000
32,2006-11-03,22.08,22.29,21.34,21.54,14.025,4821000
33,2006-11-06,22.05,22.41,21.79,22.23,14.4743,5462100
34,2006-11-07,22.13,22.94,22.13,22.5,14.6501,5057500
35,2006-11-08,22.4,22.88,22.22,22.62,14.7282,4660200
36,2006-11-09,22.6,23.55,22.5,23.28,15.1579,8613100
37,2006-11-10,23.28,23.5,22.76,22.83,14.8649,4421300
38,2006-11-13,23.2,23.44,22.88,23.24,15.1319,5379500
39,2006-11-14,23.48,23.55,22.9,23.42,15.2491,4358300
40,2006-11-15,23.63,23.8,23.31,23.35,15.2035,4149600
41,2006-11-16,23.5,23.8,23.1,23.12,15.0537,4629000
42,2006-11-17,22.98,23.2,22.65,22.68,14.7673,4082900
43,2006-11-20,22.68,22.82,22.21,22.51,14.6566,3844400
44,2006-11-21,22.63,22.84,22.54,22.55,14.6826,4081200
45,2006-11-22,22.45,22.66,22.36,22.54,14.6761,2753500
46,2006-11-24,22.52,22.55,22.36,22.36,14.5589,886000
47,2006-11-27,22.168,22.37,21.72,21.85,14.2268,4876600
48,2006-11-28,21.66,22.5,21.49,21.62,14.0771,4878100
49,2006-11-29,22.5,23.84,21.52,22.16,14.4287,5716900
50,2006-11-30,22.19,22.94,22.09,22.8,14.8454,6002400
51,2006-12-01,22.41,22.85,22.41,22.85,14.8779,4519400
52,2006-12-04,23.05,23.75,22.9,23.5,15.3012,5347100
53,2006-12-05,23.5,24.14,23.38,24.12,15.7049,7449000
54,2006-12-06,24.1,24.1,23.35,23.45,15.2686,5195700
55,2006-12-07,23.45,24.06,23.34,23.91,15.5681,5155300
56,2006-12-08,23.84,24.1,23.74,23.85,15.5291,3518300
57,2006-12-11,23.65,23.75,23.24,23.57,15.3467,3447100
58,2006-12-12,23.45,23.65,22.95,23.3,15.1709,3343700
59,2006-12-13,23.3,23.31,22.5,22.84,14.8778,4472900
60,2006-12-14,23.02,23.24,22.55,22.77,14.8322,5321800
61,2006-12-15,22.6,23.08,22.6,22.99,14.9755,5120800
62,2006-12-18,22.99,23.09,22.75,22.88,14.9039,4316100
63,2006-12-19,22.89,23.03,22.55,22.55,14.6889,2284000
64,2006-12-20,22.7,22.7,22.33,22.39,14.5847,2778400
65,2006-12-21,22.31,22.5,22.14,22.22,14.474,3918900
66,2006-12-22,22.21,22.4,21.92,21.98,14.3176,3743900
67,2006-12-26,22.2,22.25,22.0,22.12,14.4088,1584800
68,2006-12-27,22.17,22.56,22.13,22.5,14.6563,2409600
69,2006-12-28,22.41,22.5,22.2,22.35,14.5586,1717900
70,2006-12-29,22.35,22.58,22.3,22.42,14.6042,2157700
71,2007-01-03,22.9,23.34,22.42,22.71,14.7931,5910100
72,2007-01-04,22.6,23.04,22.5,22.91,14.9234,2834300
73,2007-01-05,22.9,22.97,22.3,22.33,14.5456,5548800
74,2007-01-08,22.32,22.37,21.82,21.96,14.3046,2829800
75,2007-01-09,21.95,22.34,21.85,22.25,14.4935,3595300
76,2007-01-10,22.9,23.09,22.38,22.46,14.6303,5745000
77,2007-01-11,22.56,22.77,22.24,22.64,14.7475,3325900
78,2007-01-12,22.65,22.91,22.58,22.79,14.8452,4191600
79,2007-01-16,22.95,23.0,22.16,22.2,14.4609,6111500
80,2007-01-17,22.2,22.4,21.65,21.72,14.1483,5909800
81,2007-01-18,21.95,21.98,21.54,21.6,14.0701,2606300
82,2007-01-19,21.7,21.71,21.24,21.41,13.9463,4957200
83,2007-01-22,21.16,21.56,21.01,21.03,13.6988,5065800
84,2007-01-23,21.11,21.87,21.02,21.8,14.2004,5130300
85,2007-01-24,21.26,21.86,21.26,21.4,13.9398,4683400
86,2007-01-25,21.41,21.63,20.97,21.07,13.7249,5218300
87,2007-01-26,21.1,21.22,20.74,20.94,13.6402,3867700
88,2007-01-29,20.86,21.58,20.8,21.19,13.803,4412800
89,2007-01-30,21.33,21.8865,21.25,21.72,14.1483,3882600
90,2007-01-31,21.6,22.56,21.55,22.34,14.5521,5334100
91,2007-02-01,22.1,23.56,21.65,23.55,15.3403,10378600
92,2007-02-02,23.38,23.55,22.82,23.02,14.9951,5619700
93,2007-02-05,23.15,23.22,22.85,22.85,14.8843,4096100
