,Date,Open,High,Low,Close,Adjusted_close,Volume
0,2001-07-25,28.5965,30.0021,28.5965,28.8485,25.5019,2439400
1,2001-07-26,28.0149,28.0149,27.1425,27.2394,24.0794,2675400
2,2001-07-27,27.3363,28.1215,27.3363,27.5302,24.3365,1398200
3,2001-07-30,27.5302,27.6756,27.5302,27.5884,24.3879,766900
4,2001-07-31,27.5884,27.7725,27.5593,27.7241,24.5079,974600
5,2001-08-01,28.1118,28.9358,28.1118,28.5965,25.2791,1863700
6,2001-08-02,28.5771,28.7904,27.6271,27.7725,24.5507,785000
7,2001-08-03,27.5302,27.5787,27.0455,27.1425,23.9937,1204500
8,2001-08-06,27.1425,27.3363,26.4639,26.9098,23.7881,1565500
9,2001-08-07,27.6271,29.5659,27.3363,29.023,25.6562,7815800
10,2001-08-08,28.7904,28.8389,27.1909,27.8113,24.585,5274500
11,2001-08-09,27.2394,27.5787,26.7062,27.4914,24.3022,2997300
12,2001-08-10,27.1425,27.4817,26.5899,27.1425,23.9937,3193700
13,2001-08-13,26.9001,26.997,26.0277,26.4639,23.3939,4809800
14,2001-08-14,26.4639,27.2394,26.367,26.8516,23.7367,3667700
15,2001-08-15,26.9001,27.5302,26.8516,27.22,24.0623,2622100
16,2001-08-16,27.1715,27.2394,26.4639,27.2394,24.0794,2132100
17,2001-08-17,26.8516,27.1425,25.7175,27.1425,23.9937,1747200
18,2001-08-20,26.8032,26.871,25.9792,26.367,23.3082,2066600
19,2001-08-21,26.367,26.5996,26.27,26.5027,23.4282,1870500
20,2001-08-22,26.27,26.4251,25.5915,26.4251,23.3596,2549800
21,2001-08-23,26.3185,26.3573,25.9113,25.9307,22.9226,2343000
22,2001-08-24,25.446,25.9017,25.2522,25.8726,22.8712,1909700
23,2001-08-27,25.7853,25.9792,25.4945,25.8435,22.8455,1461800
24,2001-08-28,25.3006,25.4945,25.068,25.2231,22.297,2378300
25,2001-08-29,25.2231,25.9307,25.1552,25.5915,22.6227,2020500
26,2001-08-30,25.5915,26.4639,25.5915,26.1246,23.094,2443000
27,2001-08-31,25.9792,26.367,25.6884,26.367,23.3082,1448000
28,2001-09-04,26.27,27.1425,26.2603,26.9292,23.8052,1697200
29,2001-09-05,26.8032,26.9777,26.3185,26.8032,23.6938,1655000
30,2001-09-06,26.7062,26.7547,26.1731,26.4057,23.3425,2030900
31,2001-09-07,25.6884,27.0164,25.5915,25.8435,22.8455,1748200
32,2001-09-10,25.6884,26.0083,25.4945,25.6302,22.6569,1020100
33,2001-09-17,24.3313,25.2425,24.0211,24.4767,21.6372,1665200
34,2001-09-18,24.4767,24.5833,23.9435,24.3313,21.5087,1687700
35,2001-09-19,24.0405,25.32,24.0405,24.2537,21.4401,1494700
36,2001-09-20,24.2343,25.6787,24.0986,24.9614,22.0657,1993600
37,2001-09-21,24.2343,26.0277,24.1859,25.0583,22.1514,1945900
38,2001-09-24,25.0098,26.2215,25.0098,25.8823,22.8797,1803600
39,2001-09-25,25.8823,26.1634,25.2037,25.4945,22.537,1586600
40,2001-09-26,25.446,26.1634,25.446,25.9792,22.9654,1020600
41,2001-09-27,25.7853,26.7547,25.7853,26.1731,23.1368,1637300
42,2001-09-28,26.1731,27.1425,26.1246,26.9001,23.7795,1019000
43,2001-10-01,26.9001,27.7822,26.6578,27.2491,24.088,1090300
44,2001-10-02,27.2879,27.8695,27.2588,27.6756,24.465,1174400
45,2001-10-03,27.6756,28.0149,27.472,27.9179,24.6793,814200
46,2001-10-04,27.9179,28.1118,27.443,27.9761,24.7307,1239600
47,2001-10-05,27.821,28.3057,27.6756,28.1603,24.8935,1076400
48,2001-10-08,28.0149,28.0537,27.6271,27.8404,24.6107,398600
49,2001-10-09,27.6271,27.8598,27.6271,27.8307,24.6022,797100
50,2001-10-10,27.7725,28.4026,27.7338,28.1215,24.8592,717100
51,2001-10-11,28.1215,28.8389,28.1215,28.519,25.2106,1052100
52,2001-10-12,28.0149,28.9067,28.0149,28.9067,25.5533,1221500
53,2001-10-15,28.8292,29.1297,28.6644,28.8582,25.5105,720900
54,2001-10-16,28.7904,29.0618,28.3154,29.0327,25.6647,1052000
55,2001-10-17,29.0618,29.12,28.8389,29.0521,25.6819,1675400
56,2001-10-18,27.6271,28.1603,27.6174,27.9373,24.6964,1677900
57,2001-10-19,27.9664,28.548,27.9664,28.4802,25.1763,590600
58,2001-10-22,28.4996,28.8679,28.3832,28.8389,25.4933,466500
59,2001-10-23,28.8389,29.0812,28.8389,28.8776,25.5276,1017600
60,2001-10-24,28.9358,29.1781,28.7613,29.0327,25.6647,529000
61,2001-10-25,28.9358,29.2945,28.4996,28.6838,25.3562,703800
