,Date,Open,High,Low,Close,Adjusted_close,Volume
0,1991-08-15,18.2501,18.75,17.5001,18.2501,4.0556,10640249
1,1991-08-16,18.0,18.5,17.7501,18.0,4.0,2114550
2,1991-08-19,17.0001,17.2502,16.0001,17.0001,3.7778,1482750
3,1991-08-20,16.7499,17.2502,16.7499,16.7499,3.7222,1048500
4,1991-08-21,18.0,18.2501,17.0001,18.0,4.0,1281150
5,1991-08-22,18.5,18.5,18.0,18.5,4.1111,790650
6,1991-08-23,18.5,18.75,18.0,18.5,4.1111,800100
7,1991-08-26,18.0,18.8751,18.0,18.0,4.0,526050
8,1991-08-27,18.0,18.5,18.0,18.0,4.0,168750
9,1991-08-28,18.0,18.5,18.0,18.0,4.0,1263150
10,1991-08-29,18.2501,18.75,18.2501,18.2501,4.0556,1110600
11,1991-08-30,18.5,18.9999,18.2501,18.5,4.1111,50850
12,1991-09-03,18.2501,18.75,18.2501,18.2501,4.0556,342450
13,1991-09-04,18.2501,18.75,18.2501,18.2501,4.0556,565200
14,1991-09-05,18.2501,18.75,18.2501,18.2501,4.0556,734400
15,1991-09-06,17.625,18.75,17.2502,17.625,3.9167,510300
16,1991-09-09,17.7501,18.0,17.2502,17.7501,3.9444,25650
17,1991-09-10,17.2502,18.0,17.2502,17.2502,3.8333,476100
18,1991-09-11,17.625,18.0,17.2502,17.625,3.9167,246600
19,1991-09-12,17.7501,18.0,17.2502,17.7501,3.9444,746100
20,1991-09-13,17.2502,18.0,17.2502,17.2502,3.8333,165600
21,1991-09-16,17.8749,18.0,17.2502,17.8749,3.9722,230850
22,1991-09-17,17.8749,18.0,17.5001,17.8749,3.9722,437850
23,1991-09-18,17.625,18.0,17.5001,17.625,3.9167,199350
24,1991-09-19,17.7501,18.2501,17.5001,17.7501,3.9444,216450
25,1991-09-20,18.2501,18.5,17.7501,18.2501,4.0556,127800
26,1991-09-23,18.75,18.75,18.2501,18.75,4.1667,137700
27,1991-09-24,18.2501,18.75,18.2501,18.2501,4.0556,78300
28,1991-09-25,18.2501,18.75,18.2501,18.2501,4.0556,49050
29,1991-09-26,18.2501,18.5,18.2501,18.2501,4.0556,39150
30,1991-09-27,18.2501,18.75,18.2501,18.2501,4.0556,37350
31,1991-09-30,17.625,18.75,17.2502,17.625,3.9167,287550
32,1991-10-01,17.5001,17.7501,17.2502,17.5001,3.8889,99900
33,1991-10-02,17.7501,17.7501,17.2502,17.7501,3.9444,20250
34,1991-10-03,17.5001,17.7501,17.0001,17.5001,3.8889,307800
35,1991-10-04,16.5,17.5001,16.5,16.5,3.6667,124200
36,1991-10-07,16.7499,17.0001,16.25,16.7499,3.7222,514800
37,1991-10-08,16.5,17.0001,16.25,16.5,3.6667,103050
38,1991-10-09,16.5,17.0001,16.5,16.5,3.6667,410850
39,1991-10-10,16.7499,17.0001,16.5,16.7499,3.7222,310950
40,1991-10-11,16.5,17.0001,16.5,16.5,3.6667,13950
41,1991-10-14,16.5,17.0001,16.5,16.5,3.6667,22950
42,1991-10-15,16.5,17.0001,16.25,16.5,3.6667,142650
43,1991-10-16,16.7499,16.7499,15.75,16.7499,3.7222,255600
44,1991-10-17,16.5,16.7499,16.25,16.5,3.6667,517500
45,1991-10-18,16.25,16.7499,16.25,16.25,3.6111,44100
46,1991-10-21,17.0001,17.0001,16.25,17.0001,3.7778,109800
47,1991-10-22,17.375,17.5001,16.5,17.375,3.8611,103050
48,1991-10-23,16.875,17.5001,16.7499,16.875,3.75,60300
49,1991-10-24,17.5001,17.5001,16.7499,17.5001,3.8889,370350
50,1991-10-25,16.5,17.5001,16.5,16.5,3.6667,37350
51,1991-10-28,17.2502,17.5001,16.5,17.2502,3.8333,37800
52,1991-10-29,16.7499,17.5001,16.7499,16.7499,3.7222,202050
53,1991-10-30,16.5,17.5001,16.5,16.5,3.6667,58500
54,1991-10-31,16.5,17.2502,16.5,16.5,3.6667,109350
55,1991-11-01,17.1251,17.5001,16.5,17.1251,3.8056,59850
56,1991-11-04,16.7499,17.2502,16.7499,16.7499,3.7222,31050
57,1991-11-05,16.7499,16.7499,16.7499,16.7499,3.7222,21600
58,1991-11-06,16.7499,17.2502,16.7499,16.7499,3.7222,18900
59,1991-11-07,16.7499,17.2502,16.7499,16.7499,3.7222,173700
60,1991-11-08,17.2502,17.375,16.7499,17.2502,3.8333,140850
61,1991-11-11,17.5001,17.5001,16.7499,17.5001,3.8889,176400
62,1991-11-12,17.7501,17.7501,17.0001,17.7501,3.9444,316800
63,1991-11-13,18.0,18.0,17.2502,18.0,4.0,368550
64,1991-11-14,17.7501,18.2501,17.5001,17.7501,3.9444,111600
